County,Muni,ReportingUnit,PollingPlaceName,PollingPlaceAddress,Phone,VotingRoomArea,TypeOfBuilding,Longitude,Latitude,ElectionName
ADAMS COUNTY,TOWN OF Easton,Wards 1-2,EASTON TOWN HALL,"1163 COUNTY ROAD A, ADAMS, WI 53910-9784",(608)576-5953,,Government,-89.809535,43.837756,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,TOWN OF Jackson,Wards 1-2,JACKSON TOWN HALL,"398 STATE ROAD 82, OXFORD, WI 53952",608-586-4842,,Government,-89.658653,43.77444,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,TOWN OF Leola,Ward 1,PONDEROSA PINES,"287 STATE ROAD 73, PLAINFIELD, WI 54966",(715) 335-4732,,Government,-89.636674,44.239011,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,TOWN OF Lincoln,Ward 1,LINCOLN TOWN HALL,"2181 COUNTY ROAD G, GRAND MARSH, WI 53936-9641",608-477-0514,,Government,-89.628161,43.94087,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,TOWN OF MONROE,Ward 1,MONROE TOWN HALL,"981 COUNTY ROAD Z, ARKDALE, WI 54613-7701",608-564-2417,,Government,-89.940529,44.114897,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,TOWN OF NEW CHESTER,Wards 1-3,NEW CHESTER TOWN HALL,"629 MASON ST, GRAND MARSH, WI 53936-9576",(608)472-6182,,Government,-89.704273,43.885825,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,TOWN OF NEW HAVEN,Ward 1,NEW HAVEN TOWN HALL,"330 GOLDEN CT, WISCONSIN DELLS, WI 53965-8616",(608) 253-4064,,Government,-89.644547,43.669711,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,TOWN OF PRESTON,Wards 1-2,PRESTON TOWN HALL,"1801 11TH AVE, FRIENDSHIP, WI 53934",608-339-6298,,Government,-89.79775,43.996011,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,TOWN OF QUINCY,Wards 1-3,QUINCY TOWN HALL,"2599 COUNTY ROAD Z, FRIENDSHIP, WI 53934-9617",608-339-7230,,Government,-89.938629,43.876672,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,TOWN OF RICHFIELD,Ward 1,RICHFIELD TOWN HALL,"1602 COUNTY ROAD G, COLOMA, WI 54930",715-228-3752,,Government,-89.61786,44.025246,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,TOWN OF ROME,Wards 1-5,ROME MUNICIPAL BUILDING,"1156 ALPINE DR, NEKOOSA, WI 54457-8616",715-325-8022,,Government,-89.809244,44.22195,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,TOWN OF SPRINGVILLE,Wards 1-2,Springville Townhall,"3143 STATE HIGHWAY 13, WISCONSIN DELLS, WI 53965",(608)678-7950,,Government,-89.838441,43.796952,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,TOWN OF STRONGS PRAIRIE,Wards 1-3,STRONGS PRAIRIE TOWN HALL,"1588 STATE HWY 21, ARKDALE, WI 54613",608-564-7626,,Government,-89.887306,44.026551,2020 Spring Election and Presidential Preference Vote
ADAMS COUNTY,VILLAGE OF FRIENDSHIP,Ward 1,Friendship Village Municipal Hall,"507 W LAKE ST, FRIENDSHIP, WI 53934-9301",(608)339-3243,,Government,-89.823056,43.973468,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,CITY OF ASHLAND,Ward 1,WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND,"2100 BEASER AVE, ASHLAND, WI 54806",715-682-4591,,School,-90.883579,46.568789,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,CITY OF ASHLAND,Ward 2,WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND,"2100 BEASER AVE, ASHLAND, WI 54806",715-682-4591,,School,-90.883579,46.568789,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,CITY OF ASHLAND,Ward 3,WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND,"2100 BEASER AVE, ASHLAND, WI 54806",715-682-4591,,School,-90.883579,46.568789,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,CITY OF ASHLAND,Ward 4,WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND,"2100 BEASER AVE, ASHLAND, WI 54806",715-682-4591,,School,-90.883579,46.568789,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,CITY OF ASHLAND,Ward 5,WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND,"2100 BEASER AVE, ASHLAND, WI 54806",715-682-4591,,School,-90.883579,46.568789,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,CITY OF ASHLAND,Ward 6,WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND,"2100 BEASER AVE, ASHLAND, WI 54806",715-682-4591,,School,-90.883579,46.568789,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,CITY OF ASHLAND,Ward 7,BRETTING COMMUNITY CENTER,"400 4TH AVE W, ASHLAND, WI 54806-1565",682-7059,,Government,-90.885426,46.587963,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,CITY OF ASHLAND,Ward 8,BRETTING COMMUNITY CENTER,"400 4TH AVE W, ASHLAND, WI 54806-1565",682-7059,,Government,-90.885426,46.587963,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,CITY OF ASHLAND,Ward 9,BRETTING COMMUNITY CENTER,"400 4TH AVE W, ASHLAND, WI 54806-1565",682-7059,,Government,-90.885426,46.587963,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,CITY OF ASHLAND,Ward 10,BRETTING COMMUNITY CENTER,"400 4TH AVE W, ASHLAND, WI 54806-1565",682-7059,,Government,-90.885426,46.587963,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,CITY OF ASHLAND,Ward 11,BRETTING COMMUNITY CENTER,"400 4TH AVE W, ASHLAND, WI 54806-1565",682-7059,,Government,-90.885426,46.587963,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,CITY OF MELLEN,Ward 1,MELLEN LIBRARY/SENIOR CITIZEN CENTER,"106 IRON ST, MELLEN, WI 54546-9798",715-274-2131,,Government,-90.658637,46.327258,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,TOWN OF AGENDA,Ward 1,AGENDA TOWN HALL,"13922 AGENDA RD, BUTTERNUT, WI 54514-8681",715-769-3538,,Government,-90.446782,46.02342,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,TOWN OF ASHLAND,Ward 1,ASHLAND TOWN HALL,"39227 STATE HIGHWAY 13, HIGH BRIDGE, WI 54846-3308",715-274-4700,,Government,-90.734552,46.388686,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,TOWN OF CHIPPEWA,Ward 1,CHIPPEWA TOWN HALL,"77504 WEST RD, BUTTERNUT, WI 54514-9154",(715) 769-3126,,Government,-90.561948,46.011385,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,TOWN OF GINGLES,Ward 1,GINGLES TOWN HALL,"49833 STATE HIGHWAY 112, ASHLAND, WI 54806-4411",(715) 682-5343,,Government,-90.90715,46.542637,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,TOWN OF GORDON,Ward 1,GORDON TOWN HALL,"24357 GORDON LAKE RD, GLIDDEN, WI 54527-9155",715-264-2460,,Government,-90.610759,46.169164,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,TOWN OF GORDON,Ward 2,GORDON TOWN HALL,"24357 GORDON LAKE RD, GLIDDEN, WI 54527-9155",715-264-2460,,Government,-90.610759,46.169164,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,TOWN OF JACOBS,Ward 1,JACOBS TOWN HALL,"23 N GRANT ST, GLIDDEN, WI 54527",(715) 264-4851,,Government,-90.576734,46.135553,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,TOWN OF LA POINTE,Ward 1,LA POINTE TOWN HALL,"240 BIG BAY RD, LA POINTE, WI 54850",715-747-6913,,Government,-90.78795,46.782153,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,TOWN OF MARENGO,Ward 1,MARENGO TOWN HALL,"63478 COUNTY HIGHWAY C, MARENGO, WI 54855-2409",(715) 274-4700,,Government,-90.850887,46.406696,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,TOWN OF MARENGO,Ward 2,MARENGO TOWN HALL,"63478 COUNTY HIGHWAY C, MARENGO, WI 54855-2409",(715) 274-4700,,Government,-90.850887,46.406696,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,TOWN OF MORSE,Ward 1,MORSE TOWN HALL,"402 2ND AVE, MELLEN, WI 54546-8904",(715) 274-2126,,Government,-90.655752,46.319045,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,TOWN OF MORSE,Ward 2,MORSE TOWN HALL,"402 2ND AVE, MELLEN, WI 54546-8904",(715) 274-2126,,Government,-90.655752,46.319045,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,TOWN OF MORSE,Ward 3,MORSE TOWN HALL,"402 2ND AVE, MELLEN, WI 54546-8904",(715) 274-2126,,Government,-90.655752,46.319045,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,TOWN OF PEEKSVILLE,Ward 1,PEEKSVILLE TOWN HALL,"78746 PEEKSVILLE RD, BUTTERNUT, WI 54514-9195",715-264-2418,,Government,-90.534973,46.09863,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,TOWN OF PEEKSVILLE,Ward 2,PEEKSVILLE TOWN HALL,"78746 PEEKSVILLE RD, BUTTERNUT, WI 54514-9195",715-264-2418,,Government,-90.534973,46.09863,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,TOWN OF SANBORN,Ward 1,SANBORN TOWN HALL,"69393 LAKE SHORE DR E, ASHLAND, WI 54806",(715) 682-2677,,Government,-90.729493,46.608553,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,TOWN OF SANBORN,Ward 2,SANBORN TOWN HALL,"69393 LAKE SHORE DR E, ASHLAND, WI 54806",(715) 682-2677,,Government,-90.729493,46.608553,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,TOWN OF SHANAGOLDEN,Ward 1,SHANAGOLDEN TOWN HALL,"74268 MERTIG RD, GLIDDEN, WI 54527-9737",715-264-5899,,Government,-90.627718,46.117857,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,TOWN OF WHITE RIVER,Ward 1,WHITE RIVER TOWN HALL,"61939 STATE HIGHWAY 112, ASHLAND, WI 54806",(715) 278-3752,,Government,-90.883809,46.442295,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,TOWN OF WHITE RIVER,Ward 2,WHITE RIVER TOWN HALL,"61939 STATE HIGHWAY 112, ASHLAND, WI 54806",(715) 278-3752,,Government,-90.883809,46.442295,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,VILLAGE OF BUTTERNUT,Ward 1,BUTTERNUT VILLAGE HALL,"301 W MICHIGAN ST, BUTTERNUT, WI 54514-9782",715-769-3113,,Government,-90.49534,46.013073,2020 Spring Election and Presidential Preference Vote
ASHLAND COUNTY,VILLAGE OF BUTTERNUT,Ward 2,BUTTERNUT VILLAGE HALL,"301 W MICHIGAN ST, BUTTERNUT, WI 54514-9782",715-769-3113,,Government,-90.49534,46.013073,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,CITY OF BARRON,Wards 1-7,BARRON CITY HALL,"1456 E LASALLE AVE, BARRON, WI 54812-1638",715-537-5631,,Government,-91.834895,45.40063,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,CITY OF CHETEK,Wards 1-4,CHETEK CITY HALL,"220 STOUT ST, CHETEK, WI 54728-8853",715-924-4838,,Government,-91.652231,45.316546,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,CITY OF CUMBERLAND,Wards 1-4,CUMBERLAND MUNICIPAL BUILDING,"950 1ST AVE, CUMBERLAND, WI 54829-9550",715-822-2752,,Government,-92.018456,45.527651,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,CITY OF RICE LAKE,Wards 1-13,RICE LAKE CITY HALL,"30 E EAU CLAIRE ST, RICE LAKE, WI 54868-1782",715-234-7089,,Government,-91.731703,45.503012,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF ALMENA,Wards 1-2,ALMENA TOWN HALL,"211 SOO AVE E, ALMENA, WI 54805-7105",715-357-6016,,Government,-92.034962,45.418122,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF ARLAND,Ward 1,ARLAND TOWN HALL,"653 9TH AVE, CLAYTON, WI 54004-9088",715-357-3919,,Government,-92.023004,45.338034,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF BARRON,Wards 1-2,BARRON TOWN HALL,"1307 16TH ST, BARRON, WI 54812-8724",715-418-1063,,Government,-91.82701,45.399992,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF BEAR LAKE,Ward 1,BEAR LAKE TOWN HALL,"2498 17TH ST, RICE LAKE, WI 54868-9517",715-234-6474,,Government,-91.807372,45.567056,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF CEDAR LAKE,Ward 1,CEDAR LAKE TOWN HALL,"2696 26 3/4 AVE, MIKANA, WI 54857",715-234-3817,,Government,-91.602512,45.592587,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF CHETEK,Wards 1-2,CHETEK TOWN HALL,"213 KNAPP ST, CHETEK, WI 54728",(715) 859-6708,,Government,-91.651954,45.314273,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF CLINTON,Ward 1,POSKIN COMMUNITY CENTER,"940 14TH AVE, POSKIN, WI 54812-9402",715-357-6188,,Private,-91.96262,45.409623,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF CRYSTAL LAKE,Ward 1,CRYSTAL LAKE TOWN HALL,"1876 STATE ROAD 63, COMSTOCK, WI 54826",715-822-8585,,Government,-92.074709,45.478238,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF CUMBERLAND,Ward 1,CUMBERLAND TOWN HALL,"902 20TH AVE, CUMBERLAND, WI 54829",715-822-4682,,Government,-91.970327,45.495793,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF DALLAS,Ward 1,DALLAS TOWN HALL,"410 W DALLAS ST, DALLAS, WI 54733",715-837-1792,,Government,-91.821807,45.258822,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF DOVRE,Ward 1,DOVRE TOWN HALL,"304 25 1/2 ST, NEW AUBURN, WI 54757",715-237-2530,,Government,-91.634703,45.250721,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF DOYLE,Wards 1-2,DOYLE TOWN HALL,"2248 27TH ST, RICE LAKE, WI 54868-9062",000-000-0000,,Government,-91.601282,45.529935,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF LAKELAND,Wards 1-2,LAKELAND TOWN HALL,"791 29 11/16 AVE, BARRONETT, WI 54813-9414",715-822-2775,,Government,-91.993396,45.635785,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF MAPLE GROVE,Wards 1-2,MAPLE GROVE TOWN HALL,"753 14 1/2 ST, BARRON, WI 54812-9375",715-837-1869,,Government,-91.859235,45.315798,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF MAPLE PLAIN,Ward 1,MAPLE PLAIN TOWN HALL,"393 26TH AVE, CUMBERLAND, WI 54829-9013",715-822-8913,,Government,-92.073447,45.580859,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF OAK GROVE,Wards 1-2,OAK GROVE TOWN HALL,"2798 22ND ST, RICE LAKE, WI 54868",000-000-0000,,Government,-91.703722,45.609339,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF PRAIRIE FARM,Wards 1-2,PRAIRIE FARM TOWN HALL,"865 3 2 3/4 AVE, PRAIRIE FARM, WI 54762",715-455-1188,,Government,-91.980413,45.248041,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF PRAIRIE LAKE,Wards 1-2,PRAIRIE LAKE MUNICIPAL BUILDING,"796 21ST ST, CHETEK, WI 54728-9723",715-924-2580,MEETING ROOM,Government,-91.726573,45.32104,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF RICE LAKE,Wards 1-4,Rice Lake Town Hall,"1830 MACAULEY AVE, RICE LAKE, WI 54868-2909",715-234-8087,,Government,-91.735739,45.481342,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF SIOUX CREEK,Ward 1,SIOUX CREEK MUNICIPAL BUILDING,"2077 3 1/2 AVE, CHETEK, WI 54728-9362",715-837-1007,,Government,-91.73242,45.258441,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF STANFOLD,Ward 1,STANFOLD TOWN HALL,"2097 15TH ST, RICE LAKE, WI 54868",715-234-3487,,Government,-91.846827,45.50891,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF STANLEY,Wards 1-4,STANLEY TOWN HALL,"2026 15TH AVE, CAMERON, WI 54822-4400",715-458-4783,,Government,-91.738562,45.423261,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF SUMNER,Ward 1,SUMNER TOWN HALL,"1550 24 1/2 ST, RICE LAKE, WI 54868-8725",715-859-6250,,Government,-91.654343,45.430437,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF TURTLE LAKE,Ward 1,TURTLE LAKE TOWN HALL,"1076 3RD ST, TURTLE LAKE, WI 54889-8867",715-986-2148,,Government,-92.095315,45.363424,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,TOWN OF VANCE CREEK,Ward 1,VANCE CREEK TOWN HALL,"174 2ND AVE, CLAYTON, WI 54004",715-263-2210,,Government,-92.121144,45.238795,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,VILLAGE OF ALMENA,Ward 1,ALMENA VILLAGE HALL,"131 SOO AVE E, ALMENA, WI 54805-7059",715-357-6600,,Government,-92.036008,45.418133,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,VILLAGE OF CAMERON,Wards 1-3,CAMERON VILLAGE HALL,"300 N 1ST ST, CAMERON, WI 54822-9708",715-458-2117,,Government,-91.736024,45.411849,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,VILLAGE OF DALLAS,Ward 1,DALLAS VILLAGE HALL,"100 DALLAS ST W, DALLAS, WI 54733-9706",715-837-1186,,Government,-91.816413,45.259929,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,VILLAGE OF HAUGEN,Ward 1,HAUGEN VILLAGE HALL,"104 3RD ST, HAUGEN, WI 54841-0234",715-234-8014,,Government,-91.775631,45.608054,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,VILLAGE OF NEW AUBURN,Wards 2-3,NEW AUBURN VILLAGE HALL,"130 E ELM ST, NEW AUBURN, WI 54757",715-237-2223,,Government,-91.560252,45.205035,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,VILLAGE OF PRAIRIE FARM,Ward 1,PRAIRIE FARM VILLAGE HALL,"115 RIVER AVE N, PRAIRIE FARM, WI 54762-9782",715-455-1714,,Government,-91.981442,45.239187,2020 Spring Election and Presidential Preference Vote
BARRON COUNTY,VILLAGE OF TURTLE LAKE,Ward 1,TURTLE LAKE MUNICIPAL OFFICE BUILDING,"114 MARTIN AVE E, TURTLE LAKE, WI 54889-9060",,Municipal Chambers,Government,-92.141123,45.39521,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,CITY OF ASHLAND,Ward 12,WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND,"2100 BEASER AVE, ASHLAND, WI 54806",715-682-4591,,School,-90.883579,46.568789,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,CITY OF BAYFIELD,"Wards 1,3",BAYFIELD CITY HALL,"125 S 1ST ST, BAYFIELD, WI 54814",715-779-5712,,Government,-90.814984,46.809098,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,CITY OF BAYFIELD,Ward 2,BAYFIELD CITY HALL,"125 S 1ST ST, BAYFIELD, WI 54814",715-779-5712,,Government,-90.814984,46.809098,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,CITY OF BAYFIELD,Ward 4,BAYFIELD CITY HALL,"125 S 1ST ST, BAYFIELD, WI 54814",715-779-5712,,Government,-90.814984,46.809098,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,CITY OF WASHBURN,Ward 1,WASHBURN CITY HALL,"119 WASHINGTON AVE, WASHBURN, WI 54891-1164",715-373-6160,,Government,-90.89517,46.671288,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,CITY OF WASHBURN,Ward 2,WASHBURN CITY HALL,"119 WASHINGTON AVE, WASHBURN, WI 54891-1164",715-373-6160,,Government,-90.89517,46.671288,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,CITY OF WASHBURN,Ward 3,WASHBURN CITY HALL,"119 WASHINGTON AVE, WASHBURN, WI 54891-1164",715-373-6160,,Government,-90.89517,46.671288,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,CITY OF WASHBURN,Ward 4,WASHBURN CITY HALL,"119 WASHINGTON AVE, WASHBURN, WI 54891-1164",715-373-6160,,Government,-90.89517,46.671288,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,TOWN OF BARKSDALE,Ward 1,BARKSDALE TOWN HALL,"29025 E ONDOSSAGON RD, ASHLAND, WI 54806-5622",715-682-3412,,Government,-90.970173,46.601359,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,TOWN OF BARNES,Ward 1,BARNES TOWN HALL,"3360 COUNTY HWY N, BARNES, WI 54873-6106",715-795-2782,,Government,-91.502846,46.345529,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,TOWN OF BAYFIELD,Ward 1,BAYFIELD TOWN HALL,"85450 COUNTY HIGHWAY J, BAYFIELD, WI 54814-4455",715-779-5671,,Government,-90.862288,46.809395,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,TOWN OF BAYVIEW,Ward 1,BAYVIEW TOWN HALL,"32030 MAKI RD, WASHBURN, WI 54891-6862",715-373-2813,,Government,-90.904383,46.702853,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,TOWN OF BELL,Ward 1,BELL COMMUNITY CENTER,"22615 COUNTY HIGHWAY C, CORNUCOPIA, WI 54827",715-742-3356,,Private,-91.101193,46.853242,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,TOWN OF CABLE,Ward 1,CABLE COMMUNITY CENTER,"13660 COUNTY HIGHWAY M, CABLE, WI 54821",___-___-____,,Private,-91.287646,46.208858,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,TOWN OF CLOVER,Ward 1,CLOVER TOWN HALL,"86780 LENAWEE RD, HERBSTER, WI 54844",715-774-3780,,Government,-91.261785,46.82862,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,TOWN OF DELTA,Ward 1,DELTA TOWN HALL,"15990 COUNTY HIGHWAY H, MASON, WI 54856-9530",715-372-4747,,Private,-91.240622,46.471732,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,TOWN OF DRUMMOND,Ward 1,DRUMMOND CIVIC CENTER,"52540 FRONT AVE, DRUMMOND, WI 54832-4506",715-739-6662,,Private,-91.25813,46.337369,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,TOWN OF EILEEN,Ward 1,EILEEN CONFERENCE BUILDING,"68760 STATE FARM RD, ASHLAND, WI 54806-9338",715-682-5070,,Private,-90.971707,46.5726,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,TOWN OF EILEEN,Ward 2,EILEEN CONFERENCE BUILDING,"68760 STATE FARM RD, ASHLAND, WI 54806-9338",715-682-5070,,Private,-90.971707,46.5726,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,TOWN OF GRAND VIEW,Ward 1,GRAND VIEW TOWN HALL,"22010 GRANDVIEW BLVD, GRAND VIEW, WI 54839",715-763-3151,,Government,-91.10996,46.370229,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,TOWN OF HUGHES,Ward 1,HUGHES TOWN HALL,"66225 HUGHES TOWN HALL RD, IRON RIVER, WI 54847",715-372-4375,,Government,-91.496391,46.534886,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,TOWN OF IRON RIVER,Wards 1-2,IRON RIVER COMMUNITY CENTER,"8275 E MILL ST, IRON RIVER, WI 54847-3453",715-372-5457,,Government,-91.402815,46.563241,2020 Spring Election and Presidential Preference Vote
BAYFIELD COUNTY,TOWN OF KELLY,Ward 1,KELLY TOWN HALL,"27525 MAPLE RIDGE RD, MASON, WI 54856",715-765-4662,,Government,-90.996333,46.444339,2020 Spring Election and Presidential Preference Vote
