County,Muni,ReportingUnit,PollingPlaceName,PollingPlaceAddress,Phone,VotingRoomArea,TypeOfBuilding,Longitude,Latitude,ElectionName
ADAMS COUNTY,TOWN OF RICHFIELD,Ward 1,RICHFIELD TOWN HALL,"1602 COUNTY ROAD G, COLOMA, WI 54930",715-228-3752,,Government,-89.61786,44.025246,2020 Spring Primary
ADAMS COUNTY,TOWN OF ROME,Wards 1-5,ROME MUNICIPAL BUILDING,"1156 ALPINE DR, NEKOOSA, WI 54457-8616",715-325-8022,,Government,-89.809244,44.22195,2020 Spring Primary
ADAMS COUNTY,TOWN OF SPRINGVILLE,Wards 1-2,SPRINGVILLE TOWN HALL,"3243 STATE HIGHWAY 13, WISCONSIN DELLS, WI 53965-8925",(608) 432-3771,,Government,-89.838373,43.782527,2020 Spring Primary
ADAMS COUNTY,TOWN OF STRONGS PRAIRIE,Wards 1-3,STRONGS PRAIRIE TOWN HALL,"1588 STATE HWY 21, ARKDALE, WI 54613",608-564-7626,,Government,-89.887306,44.026551,2020 Spring Primary
ADAMS COUNTY,VILLAGE OF FRIENDSHIP,Ward 1,FRIENDSHIP VILLAGE HALL,"507 W LAKE ST, FRIENDSHIP, WI 53934-9301",608-339-3243,,Government,-89.823056,43.973468,2020 Spring Primary
ASHLAND COUNTY,CITY OF ASHLAND,Wards 1-11,BRETTING COMMUNITY CENTER,"400 4TH AVE W, ASHLAND, WI 54806-1565",682-7059,,Government,-90.885426,46.587963,2020 Spring Primary
ASHLAND COUNTY,CITY OF MELLEN,Ward 1,MELLEN LIBRARY/SENIOR CITIZEN CENTER,"106 IRON ST, MELLEN, WI 54546-9798",715-274-2131,,Government,-90.658637,46.327258,2020 Spring Primary
ASHLAND COUNTY,TOWN OF AGENDA,Ward 1,AGENDA TOWN HALL,"13922 AGENDA RD, BUTTERNUT, WI 54514-8681",715-769-3538,,Government,-90.446782,46.02342,2020 Spring Primary
ASHLAND COUNTY,TOWN OF ASHLAND,Ward 1,ASHLAND TOWN HALL,"39227 STATE HIGHWAY 13, HIGH BRIDGE, WI 54846-3308",715-274-4700,,Government,-90.734552,46.388686,2020 Spring Primary
ASHLAND COUNTY,TOWN OF CHIPPEWA,Ward 1,CHIPPEWA TOWN HALL,"77504 WEST RD, BUTTERNUT, WI 54514-9154",(715) 769-3126,,Government,-90.561948,46.011385,2020 Spring Primary
ASHLAND COUNTY,TOWN OF GINGLES,Ward 1,GINGLES TOWN HALL,"49833 STATE HIGHWAY 112, ASHLAND, WI 54806-4411",(715) 682-5343,,Government,-90.90715,46.542637,2020 Spring Primary
ASHLAND COUNTY,TOWN OF GORDON,Wards 1-2,GORDON TOWN HALL,"24357 GORDON LAKE RD, GLIDDEN, WI 54527-9155",715-264-2460,,Government,-90.610759,46.169164,2020 Spring Primary
ASHLAND COUNTY,TOWN OF JACOBS,Ward 1,JACOBS TOWN HALL,"23 N GRANT ST, GLIDDEN, WI 54527",(715) 264-4851,,Government,-90.576734,46.135553,2020 Spring Primary
ASHLAND COUNTY,TOWN OF LA POINTE,Ward 1,LA POINTE TOWN HALL,"240 BIG BAY RD, LA POINTE, WI 54850",715-747-6913,,Government,-90.78795,46.782153,2020 Spring Primary
ASHLAND COUNTY,TOWN OF MARENGO,Wards 1-2,MARENGO TOWN HALL,"63478 COUNTY HIGHWAY C, MARENGO, WI 54855-2409",(715) 274-4700,,Government,-90.850887,46.406696,2020 Spring Primary
ASHLAND COUNTY,TOWN OF MORSE,Wards 1-3,MORSE TOWN HALL,"402 2ND AVE, MELLEN, WI 54546-8904",(715) 274-2126,,Government,-90.655752,46.319045,2020 Spring Primary
ASHLAND COUNTY,TOWN OF PEEKSVILLE,Wards 1-2,PEEKSVILLE TOWN HALL,"78746 PEEKSVILLE RD, BUTTERNUT, WI 54514-9195",715-264-2418,,Government,-90.534973,46.09863,2020 Spring Primary
ASHLAND COUNTY,TOWN OF SANBORN,Wards 1-2,SANBORN TOWN HALL,"69393 LAKE SHORE DR E, ASHLAND, WI 54806",(715) 682-2677,,Government,-90.729493,46.608553,2020 Spring Primary
ASHLAND COUNTY,TOWN OF SHANAGOLDEN,Ward 1,SHANAGOLDEN TOWN HALL,"74268 MERTIG RD, GLIDDEN, WI 54527-9737",715-264-5899,,Government,-90.627718,46.117857,2020 Spring Primary
ASHLAND COUNTY,TOWN OF WHITE RIVER,Wards 1-2,WHITE RIVER TOWN HALL,"61939 STATE HIGHWAY 112, ASHLAND, WI 54806",(715) 278-3752,,Government,-90.883809,46.442295,2020 Spring Primary
ASHLAND COUNTY,VILLAGE OF BUTTERNUT,Wards 1-2,BUTTERNUT VILLAGE HALL,"301 W MICHIGAN ST, BUTTERNUT, WI 54514-9782",715-769-3113,,Government,-90.49534,46.013073,2020 Spring Primary
BARRON COUNTY,CITY OF BARRON,Wards 1-7,BARRON CITY HALL,"1456 E LASALLE AVE, BARRON, WI 54812-1638",715-537-5631,,Government,-91.834895,45.40063,2020 Spring Primary
BARRON COUNTY,CITY OF CHETEK,Wards 1-4,CHETEK CITY HALL,"220 STOUT ST, CHETEK, WI 54728-8853",715-924-4838,,Government,-91.652231,45.316546,2020 Spring Primary
BARRON COUNTY,CITY OF CUMBERLAND,Wards 1-4,CUMBERLAND MUNICIPAL BUILDING,"950 1ST AVE, CUMBERLAND, WI 54829-9550",715-822-2752,,Government,-92.018456,45.527651,2020 Spring Primary
BARRON COUNTY,CITY OF RICE LAKE,Wards 1-13,RICE LAKE CITY HALL,"30 E EAU CLAIRE ST, RICE LAKE, WI 54868-1782",715-234-7089,,Government,-91.731703,45.503012,2020 Spring Primary
BARRON COUNTY,TOWN OF ALMENA,Wards 1-2,ALMENA TOWN HALL,"211 SOO AVE E, ALMENA, WI 54805-7105",715-357-6016,,Government,-92.034962,45.418122,2020 Spring Primary
BARRON COUNTY,TOWN OF ARLAND,Ward 1,ARLAND TOWN HALL,"653 9TH AVE, CLAYTON, WI 54004-9088",715-357-3919,,Government,-92.023004,45.338034,2020 Spring Primary
BARRON COUNTY,TOWN OF BARRON,Wards 1-2,BARRON TOWN HALL,"1307 16TH ST, BARRON, WI 54812-8724",715-418-1063,,Government,-91.82701,45.399992,2020 Spring Primary
BARRON COUNTY,TOWN OF BEAR LAKE,Ward 1,BEAR LAKE TOWN HALL,"2498 17TH ST, RICE LAKE, WI 54868-9517",715-234-6474,,Government,-91.807372,45.567056,2020 Spring Primary
BARRON COUNTY,TOWN OF CEDAR LAKE,Ward 1,CEDAR LAKE TOWN HALL,"2696 26 3/4 AVE, MIKANA, WI 54857",715-234-3817,,Government,-91.602512,45.592587,2020 Spring Primary
BARRON COUNTY,TOWN OF CHETEK,Wards 1-2,CHETEK TOWN HALL,"213 KNAPP ST, CHETEK, WI 54728",(715) 859-6708,,Government,-91.651954,45.314273,2020 Spring Primary
BARRON COUNTY,TOWN OF CLINTON,Ward 1,POSKIN COMMUNITY CENTER,"940 14TH AVE, POSKIN, WI 54812-9402",715-357-6188,,Private,-91.96262,45.409623,2020 Spring Primary
BARRON COUNTY,TOWN OF CRYSTAL LAKE,Ward 1,CRYSTAL LAKE TOWN HALL,"1876 STATE ROAD 63, COMSTOCK, WI 54826",715-822-8585,,Government,-92.074709,45.478238,2020 Spring Primary
BARRON COUNTY,TOWN OF CUMBERLAND,Ward 1,CUMBERLAND TOWN HALL,"902 20TH AVE, CUMBERLAND, WI 54829",715-822-4682,,Government,-91.970327,45.495793,2020 Spring Primary
BARRON COUNTY,TOWN OF DALLAS,Ward 1,DALLAS TOWN HALL,"410 W DALLAS ST, DALLAS, WI 54733",715-837-1792,,Government,-91.821807,45.258822,2020 Spring Primary
BARRON COUNTY,TOWN OF DOVRE,Ward 1,DOVRE TOWN HALL,"304 25 1/2 ST, NEW AUBURN, WI 54757",715-237-2530,,Government,-91.634703,45.250721,2020 Spring Primary
BARRON COUNTY,TOWN OF DOYLE,Wards 1-2,DOYLE TOWN HALL,"2248 27TH ST, RICE LAKE, WI 54868-9062",000-000-0000,,Government,-91.601282,45.529935,2020 Spring Primary
BARRON COUNTY,TOWN OF LAKELAND,Wards 1-2,LAKELAND TOWN HALL,"791 29 11/16 AVE, BARRONETT, WI 54813-9414",715-822-2775,,Government,-91.993396,45.635785,2020 Spring Primary
BARRON COUNTY,TOWN OF MAPLE GROVE,Wards 1-2,MAPLE GROVE TOWN HALL,"753 14 1/2 ST, BARRON, WI 54812-9375",715-837-1869,,Government,-91.859235,45.315798,2020 Spring Primary
BARRON COUNTY,TOWN OF MAPLE PLAIN,Ward 1,MAPLE PLAIN TOWN HALL,"393 26TH AVE, CUMBERLAND, WI 54829-9013",715-822-8913,,Government,-92.073447,45.580859,2020 Spring Primary
BARRON COUNTY,TOWN OF OAK GROVE,Wards 1-2,OAK GROVE TOWN HALL,"2798 22ND ST, RICE LAKE, WI 54868",000-000-0000,,Government,-91.703722,45.609339,2020 Spring Primary
BARRON COUNTY,TOWN OF PRAIRIE FARM,Wards 1-2,PRAIRIE FARM TOWN HALL,"865 3 2 3/4 AVE, PRAIRIE FARM, WI 54762",715-455-1188,,Government,-91.980413,45.248041,2020 Spring Primary
BARRON COUNTY,TOWN OF PRAIRIE LAKE,Wards 1-2,PRAIRIE LAKE MUNICIPAL BUILDING,"796 21ST ST, CHETEK, WI 54728-9723",715-924-2580,MEETING ROOM,Government,-91.726573,45.32104,2020 Spring Primary
BARRON COUNTY,TOWN OF RICE LAKE,Wards 1-4,Rice Lake Town Hall,"1830 MACAULEY AVE, RICE LAKE, WI 54868-2909",715-234-8087,,Government,-91.735739,45.481342,2020 Spring Primary
BARRON COUNTY,TOWN OF SIOUX CREEK,Ward 1,SIOUX CREEK MUNICIPAL BUILDING,"2077 3 1/2 AVE, CHETEK, WI 54728-9362",715-837-1007,,Government,-91.73242,45.258441,2020 Spring Primary
BARRON COUNTY,TOWN OF STANFOLD,Ward 1,STANFOLD TOWN HALL,"2097 15TH ST, RICE LAKE, WI 54868",715-234-3487,,Government,-91.846827,45.50891,2020 Spring Primary
BARRON COUNTY,TOWN OF STANLEY,Wards 1-4,STANLEY TOWN HALL,"2026 15TH AVE, CAMERON, WI 54822-4400",715-458-4783,,Government,-91.738562,45.423261,2020 Spring Primary
BARRON COUNTY,TOWN OF SUMNER,Ward 1,SUMNER TOWN HALL,"1550 24 1/2 ST, RICE LAKE, WI 54868-8725",715-859-6250,,Government,-91.654343,45.430437,2020 Spring Primary
BARRON COUNTY,TOWN OF TURTLE LAKE,Ward 1,TURTLE LAKE TOWN HALL,"1076 3RD ST, TURTLE LAKE, WI 54889-8867",715-986-2148,,Government,-92.095315,45.363424,2020 Spring Primary
BARRON COUNTY,TOWN OF VANCE CREEK,Ward 1,VANCE CREEK TOWN HALL,"174 2ND AVE, CLAYTON, WI 54004",715-263-2210,,Government,-92.121144,45.238795,2020 Spring Primary
BARRON COUNTY,VILLAGE OF ALMENA,Ward 1,ALMENA VILLAGE HALL,"131 SOO AVE E, ALMENA, WI 54805-7059",715-357-6600,,Government,-92.036008,45.418133,2020 Spring Primary
BARRON COUNTY,VILLAGE OF CAMERON,Wards 1-3,CAMERON VILLAGE HALL,"300 N 1ST ST, CAMERON, WI 54822-9708",715-458-2117,,Government,-91.736024,45.411849,2020 Spring Primary
BARRON COUNTY,VILLAGE OF DALLAS,Ward 1,DALLAS VILLAGE HALL,"100 DALLAS ST W, DALLAS, WI 54733-9706",715-837-1186,,Government,-91.816413,45.259929,2020 Spring Primary
BARRON COUNTY,VILLAGE OF HAUGEN,Ward 1,HAUGEN VILLAGE HALL,"104 3RD ST, HAUGEN, WI 54841-0234",715-234-8014,,Government,-91.775631,45.608054,2020 Spring Primary
BARRON COUNTY,VILLAGE OF NEW AUBURN,Wards 2-3,NEW AUBURN VILLAGE HALL,"130 E ELM ST, NEW AUBURN, WI 54757",715-237-2223,,Government,-91.560252,45.205035,2020 Spring Primary
BARRON COUNTY,VILLAGE OF PRAIRIE FARM,Ward 1,PRAIRIE FARM VILLAGE HALL,"115 RIVER AVE N, PRAIRIE FARM, WI 54762-9782",715-455-1714,,Government,-91.981442,45.239187,2020 Spring Primary
BARRON COUNTY,VILLAGE OF TURTLE LAKE,Ward 1,TURTLE LAKE MUNICIPAL OFFICE BUILDING,"114 MARTIN AVE E, TURTLE LAKE, WI 54889-9060",,Municipal Chambers,Government,-92.141123,45.39521,2020 Spring Primary
BAYFIELD COUNTY,CITY OF ASHLAND,Ward 12,BRETTING COMMUNITY CENTER,"400 4TH AVE W, ASHLAND, WI 54806-1565",682-7059,,Government,-90.885426,46.587963,2020 Spring Primary
BAYFIELD COUNTY,CITY OF BAYFIELD,Wards 1-4,BAYFIELD CITY HALL,"125 S 1ST ST, BAYFIELD, WI 54814",715-779-5712,,Government,-90.814984,46.809098,2020 Spring Primary
BAYFIELD COUNTY,CITY OF WASHBURN,Wards 1-4,WASHBURN CITY HALL,"119 WASHINGTON AVE, WASHBURN, WI 54891-1164",715-373-6160,,Government,-90.89517,46.671288,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF BARKSDALE,Ward 1,BARKSDALE TOWN HALL,"29025 E ONDOSSAGON RD, ASHLAND, WI 54806-5622",715-682-3412,,Government,-90.970173,46.601359,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF BARNES,Ward 1,BARNES TOWN HALL,"3360 COUNTY HWY N, BARNES, WI 54873-6106",715-795-2782,,Government,-91.502846,46.345529,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF BAYFIELD,Ward 1,BAYFIELD TOWN HALL,"85450 COUNTY HIGHWAY J, BAYFIELD, WI 54814-4455",715-779-5671,,Government,-90.862288,46.809395,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF BAYVIEW,Ward 1,BAYVIEW TOWN HALL,"32030 MAKI RD, WASHBURN, WI 54891-6862",715-373-2813,,Government,-90.904383,46.702853,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF BELL,Ward 1,BELL COMMUNITY CENTER,"22615 COUNTY HIGHWAY C, CORNUCOPIA, WI 54827",715-742-3356,,Private,-91.101193,46.853242,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF CABLE,Ward 1,CABLE COMMUNITY CENTER,"13660 COUNTY HIGHWAY M, CABLE, WI 54821",___-___-____,,Private,-91.287646,46.208858,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF CLOVER,Ward 1,CLOVER TOWN HALL,"86780 LENAWEE RD, HERBSTER, WI 54844",715-774-3780,,Government,-91.261785,46.82862,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF DELTA,Ward 1,DELTA TOWN HALL,"15990 COUNTY HIGHWAY H, MASON, WI 54856-9530",715-372-4747,,Private,-91.240622,46.471732,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF DRUMMOND,Ward 1,DRUMMOND CIVIC CENTER,"52540 FRONT AVE, DRUMMOND, WI 54832-4506",715-739-6662,,Private,-91.25813,46.337369,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF EILEEN,Wards 1-2,EILEEN CONFERENCE BUILDING,"68760 STATE FARM RD, ASHLAND, WI 54806-9338",715-682-5070,,Private,-90.971707,46.5726,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF GRAND VIEW,Ward 1,GRAND VIEW TOWN HALL,"22010 GRANDVIEW BLVD, GRAND VIEW, WI 54839",715-763-3151,,Government,-91.10996,46.370229,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF HUGHES,Ward 1,HUGHES TOWN HALL,"66225 HUGHES TOWN HALL RD, IRON RIVER, WI 54847",715-372-4375,,Government,-91.496391,46.534886,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF IRON RIVER,Wards 1-2,IRON RIVER COMMUNITY CENTER,"8275 E MILL ST, IRON RIVER, WI 54847-3453",715-372-5457,,Government,-91.402815,46.563241,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF KELLY,Ward 1,KELLY TOWN HALL,"27525 MAPLE RIDGE RD, MASON, WI 54856",715-765-4662,,Government,-90.996333,46.444339,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF KEYSTONE,Ward 1,KEYSTONE TOWN HALL,"23960 KLOBUCHER RD, MASON, WI 54856",715-746-2328,,Private,-91.074425,46.531444,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF LINCOLN,Ward 1,LINCOLN TOWN HALL,"28985 E ALTAMONT RD, MASON, WI 54856-4038",715-765-4291,,Private,-90.966065,46.355546,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF MASON,Ward 1,MASON TOWN HALL,"62655 BENOIT RD, MASON, WI 54856-9366",715-765-4711,,Government,-91.114003,46.479981,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF NAMAKAGON,Ward 1,NAMAKAGON TOWN HALL,"23845 COUNTY HIGHWAY M, CABLE, WI 54821",715-794-2666,,Government,-91.073761,46.194307,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF ORIENTA,Ward 1,ORIENTA TOWN GARAGE,"8090 SORENSON RD, PORT WING, WI 54865",715-774-3720,MEETING ROOM,Government,-91.406762,46.690179,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF OULU,Ward 1,OULU TOWN HALL,"2525 W COLBY RD, BRULE, WI 54820",715-372-4507,,Private,-91.521404,46.618343,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF PILSEN,Ward 1,PILSEN TOWN HALL,"23700 PILSEN HALL RD, ASHLAND, WI 54806",715-746-2933,,Government,-91.079797,46.571162,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF PORT WING,Ward 1,PORT WING TOWN HALL,"83030 GRAND AVE, PORT WING, WI 54865",715-744-3624,,Private,-91.385698,46.775571,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF RUSSELL,Wards 1-2,RUSSELL TOWN GARAGE,"35900 STATE HIGHWAY 13, BAYFIELD, WI 54814-4886",715-779-5338,,Government,-90.822865,46.872381,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF TRIPP,Ward 1,TRIPP TOWN COMPLEX,"8590 COUNTY HIGHWAY A, IRON RIVER, WI 54847-7516",715-372-4351,,Government,-91.393684,46.619086,2020 Spring Primary
BAYFIELD COUNTY,TOWN OF WASHBURN,Ward 1,WASHBURN TOWN HALL,"30015 COUNTY HIGHWAY C, WASHBURN, WI 54891",715-373-2330,,Private,-90.946658,46.688176,2020 Spring Primary
BAYFIELD COUNTY,VILLAGE OF MASON,Ward 1,VILLAGE HALL,"59400 NORTHERN LIGHTS BLVD, MASON, WI 54856-4070",715-765-4449,,Government,-91.059119,46.434237,2020 Spring Primary
BROWN COUNTY,CITY OF DE PERE,Wards 1-5,FIRST UNITED PRESBYTERIAN CHURCH,"605 N WEBSTER AVE, DE PERE, WI 54115-3430",920-336-1446,,Religious,-88.04639,44.449971,2020 Spring Primary
BROWN COUNTY,CITY OF DE PERE,"Wards 6-9,18",NOTRE DAME MIDDLE SCHOOL,"220 S MICHIGAN ST, DE PERE, WI 54115-2730",920-336-1813,,School,-88.058771,44.447199,2020 Spring Primary
BROWN COUNTY,CITY OF DE PERE,"Wards 10-12,16-17",DE PERE COMMUNITY CENTER,"600 GRANT ST, DE PERE, WI 54115-1318",920-339-4097,,Government,-88.076442,44.446232,2020 Spring Primary
BROWN COUNTY,CITY OF DE PERE,Wards 13-15,SAINT MARK LUTHERAN CHURCH,"2066 LAWRENCE DR, DE PERE, WI 54115-9421",920-336-2485,,Religious,-88.116231,44.418302,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 1,UW-GREEN BAY,"2420 NICOLET DR, GREEN BAY, WI 54311-7003",920-448-3010,,School,-87.920041,44.532445,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 2,UW-GREEN BAY,"2420 NICOLET DR, GREEN BAY, WI 54311-7003",920-448-3010,,School,-87.920041,44.532445,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 3,UW-GREEN BAY,"2420 NICOLET DR, GREEN BAY, WI 54311-7003",920-448-3010,,School,-87.920041,44.532445,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 4,CHRIST OF THE BAY LUTHERAN CHURCH,"450 LAVERNE DR, GREEN BAY, WI 54311-5763",(920) 448-3010,,Religious,-87.93174,44.509247,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 5,ATONEMENT LUTHERAN CHURCH,"2132 DECKNER AVE, GREEN BAY, WI 54302-3534",920-448-3010,,Religious,-87.968714,44.501686,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 6,GB FIRE STATION NO. 5,"2310 FINGER RD, GREEN BAY, WI 54302-4208",920-448-3010,,Government,-87.96633,44.487973,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 7,GB FIRE STATION NO. 5,"2310 FINGER RD, GREEN BAY, WI 54302-4208",920-448-3010,,Government,-87.96633,44.487973,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 8,ATONEMENT LUTHERAN CHURCH,"2132 DECKNER AVE, GREEN BAY, WI 54302-3534",920-448-3010,,Religious,-87.968714,44.501686,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 9,RAY AND JOAN KROC CORPS COMMUNITY CENTER,"1315 LIME KILN RD, GREEN BAY, WI 54311-6043",(920) 448-3010,,Private,-87.97961,44.481546,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 10,SAINT BERNARD'S PARISH,"2040 HILLSIDE LN, GREEN BAY, WI 54302-4055",920-448-3010,,Religious,-87.971597,44.494221,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 11,CENTRAL ASSEMBLY OF GOD CHURCH,"831 SCHOEN ST, GREEN BAY, WI 54302-3125",(920) 448-3010,,Religious,-87.980879,44.489778,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 12,CENTRAL ASSEMBLY OF GOD CHURCH,"831 SCHOEN ST, GREEN BAY, WI 54302-3125",(920) 448-3010,,Religious,-87.980879,44.489778,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 13,SS PETER & PAUL PARISH,"720 N BAIRD ST, GREEN BAY, WI 54302-1902",(920) 448-3010,,Religious,-87.990626,44.512901,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 14,RAY AND JOAN KROC CORPS COMMUNITY CENTER,"1315 LIME KILN RD, GREEN BAY, WI 54311-6043",(920) 448-3010,,Private,-87.97961,44.481546,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 15,FIRST UNITED CHURCH OF CHRIST,"509 S WEBSTER AVE, GREEN BAY, WI 54301-3924",920-448-3010,,Religious,-88.008027,44.504937,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 16,UNION CONGREGATIONAL CHURCH,"716 S MADISON ST, GREEN BAY, WI 54301-3609",920-448-3010,,Religious,-88.01816,44.504702,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 17,OUR SAVIOUR LUTHERAN CHURCH,"120 S HENRY ST, GREEN BAY, WI 54302-3405",920-448-3010,,Religious,-87.97855,44.502143,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 18,SAINT BERNARD'S PARISH,"2040 HILLSIDE LN, GREEN BAY, WI 54302-4055",920-448-3010,,Religious,-87.971597,44.494221,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 19,CHRIST OF THE BAY LUTHERAN CHURCH,"450 LAVERNE DR, GREEN BAY, WI 54311-5763",(920) 448-3010,,Religious,-87.93174,44.509247,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 20,SS PETER & PAUL PARISH,"720 N BAIRD ST, GREEN BAY, WI 54302-1902",(920) 448-3010,,Religious,-87.990626,44.512901,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 21,GREEN BAY METRO TRANSIT CENTER,"901 UNIVERSITY AVE, GREEN BAY, WI 54302-1013",920-448-3010,,Government,-88.002557,44.517334,2020 Spring Primary
BROWN COUNTY,CITY OF GREEN BAY,Ward 22,CURATIVE CONNECTIONS,"2900 CURRY LN, GREEN BAY, WI 54311-5857",(920) 448-3010,,Private,-87.934343,44.523423,2020 Spring Primary
