HINDI,Muni_County_Name,Notices,Ballots,Absentee,VotingEquipment,PollingPlace,Pollworkers,OtherLocalElectionOfficials,Miscellaneous,Notes,Complete
26,IRON COUNTY,0.00,"4,624.00",0.00,"4,029.00",0.00,0.00,148.33,21.60,mileage.,1
27,JACKSON COUNTY,685.00,"1,450.00",0.00,"10,059.00",0.00,0.00,135.00,0.00,,1
28,JEFFERSON COUNTY,"1,494.16","17,650.95","1,455.83",0.00,0.00,110.00,0.00,599.81,Other Supplies - 599.81,1
29,JUNEAU COUNTY,204.00,563.00,0.00,"12,000.00",0.00,0.00,800.00,0.00,,1
31,KEWAUNEE COUNTY,111.19,"3,924.43",0.00,"7,800.00",57.21,0.00,"11,576.29",0.00,,1
32,LA CROSSE COUNTY,"1,718.32","17,710.87",0.00,0.00,0.00,0.00,263.70,0.00,,1
34,LANGLADE COUNTY,310.80,"14,238.72",60.73,11.30,38.74,0.00,80.00,0.00,,1
35,LINCOLN COUNTY,474.80,"3,831.97",0.00,"2,341.77",758.82,0.00,266.16,0.00,,1
36,MANITOWOC COUNTY,"6,469.33","5,363.52",0.00,"18,270.10",0.00,0.00,232.21,0.00,,1
37,MARATHON COUNTY,"1,014.36","23,593.00",0.00,0.00,0.00,0.00,289.07,261.00,ELECTION DAY MILEAGE:  $261.00,1
38,MARINETTE COUNTY,965.50,983.50,0.00,"10,343.60",100.00,0.00,142.44,0.00,,1
39,MARQUETTE COUNTY,"1,094.99",251.74,534.76,"7,374.75",205.71,0.00,107.65,0.00,,1
40,MENOMINEE COUNTY,108.00,849.00,60.00,70.81,120.00,"2,000.00",280.00,0.00,,1
41,MILWAUKEE COUNTY,"24,617.60","44,354.21",0.00,"11,739.10","1,167.34",0.00,"7,058.42","14,930.00","MISCELLANEOUS  Voter Id Campaign $10,905.00  1/4 of Communication Cloud for Digital & Email Election News Notification $3,750.00  Sheriff Civil Process - Challenges $120.00  Quicksilver - Deliver Media for Voting Equipment $155.00       TOTAL PAID BY MILW COUNTY $14,930.00  ",1
42,MONROE COUNTY,"2,935.44","5,450.99",200.00,"18,189.75","1,000.00",0.00,80.00,"7,000.00",Clerk/Office Wages,1
43,OCONTO COUNTY,636.50,"7,054.34",0.00,"18,382.62",390.45,0.00,431.68,0.00,,1
44,ONEIDA COUNTY,129.02,"18,365.18",29.18,4.67,173.44,0.00,282.64,0.00,,1
45,OUTAGAMIE COUNTY,"1,658.00","17,713.00",0.00,"22,608.00",36.00,0.00,"14,148.00",205.00,Return of prom packs,1
46,OZAUKEE COUNTY,"1,850.00","8,000.00",0.00,"1,400.00",0.00,0.00,100.00,0.00,,1
47,PEPIN COUNTY,"1,295.40",120.00,0.00,"3,185.00",137.85,0.00,180.00,0.00,,1
48,PIERCE COUNTY,"1,982.00","6,992.00",500.00,0.00,"22,500.00",0.00,523.00,"1,000.00",additional materials and time to post ALL results including local elections.,1
49,POLK COUNTY,"1,460.00","2,215.00",350.00,"17,896.00",0.00,0.00,"14,471.00",500.00,all other unexplained expenses,1
50,PORTAGE COUNTY,"2,418.85","14,025.82",0.00,"18,177.64",0.00,0.00,"10,643.94",840.00,"printing and mailing costs, poll books, felon list, other mailings",1
51,PRICE COUNTY,975.00,"2,284.00",0.00,"4,303.00",0.00,0.00,54.00,102.00,postage,1
52,RACINE COUNTY,"5,454.00","26,483.72",0.00,"25,381.80",0.00,0.00,162.96,"4,085.61","Election supplies, ballot bags, forms, envelopes, etc.",1
53,RICHLAND COUNTY,"3,101.07","2,160.00",0.00,"7,770.77",575.71,0.00,456.58,43.75,Shipping cartridges.,1
54,ROCK COUNTY,"1,872.00","30,713.00",0.00,0.00,"1,200.00",0.00,"32,000.00",0.00,,1
55,RUSK COUNTY,"1,224.06",107.60,0.00,"11,686.25",87.74,0.00,80.00,0.00,,1
56,ST. CROIX COUNTY,"3,400.00","9,000.00",87.00,"10,203.00",400.00,0.00,500.00,570.00,"Equipment security seals-170 Recount-programming, supplies, lunch - 400 ",1
57,SAUK COUNTY,"3,154.04","16,517.60",429.51,"27,301.12","1,159.61",0.00,100.00,0.00,,1
58,SAWYER COUNTY,"1,500.00","1,200.00",250.00,"8,680.00",0.00,0.00,0.00,0.00,,1
59,SHAWANO COUNTY,356.69,599.65,270.20,"19,047.50",0.00,0.00,307.36,14.97,,1
60,SHEBOYGAN COUNTY,530.04,"11,181.34",0.00,727.98,746.51,0.00,0.00,"6,869.69","Training: 249.52; Ballot Bags: 89.70; Staff Wages: 6,530.47",1
61,TAYLOR COUNTY,"1,151.66","1,138.00",97.50,"6,279.98",414.00,0.00,101.50,982.31,Mileage and shipping expenses,1
62,TREMPEALEAU COUNTY,"2,517.52",137.37,0.00,0.00,"20,821.21",0.00,0.00,0.00,,1
63,VERNON COUNTY,"4,902.22","2,074.66",0.00,"12,593.25",0.00,380.00,0.00,0.00,,1
64,VILAS COUNTY,"2,664.18","5,243.37",113.61,"5,047.00",0.00,"6,509.13",108.04,257.51,8.) Misc Supplies from Bear Graphics,1
65,WALWORTH COUNTY,"2,992.62","12,445.83",0.00,"6,006.00",153.85,0.00,300.00,43.29,Election night and two days of canvass cookies/muffins.  Walworth County does not track election wages.,1
66,WASHBURN COUNTY,486.01,69.71,15.00,"4,720.00",30.00,0.00,125.00,0.00,,1
67,WASHINGTON COUNTY,"2,586.17","17,554.83",0.00,"6,495.71",0.00,0.00,0.00,50.00,"Forms, ballot bags, security seals, etc.",1
69,WAUPACA COUNTY,"1,626.88","36,829.80",0.00,0.00,168.54,"2,317.56",60.00,0.00,,1
70,WAUSHARA COUNTY,"1,129.00",550.00,0.00,"7,966.00",1.00,0.00,54.00,0.00,,1
71,WINNEBAGO COUNTY,"1,474.73","17,830.19",0.00,"4,998.15","1,762.87",42.20,650.00,"1,449.62",Travel Expense   $117.19    Office Supplies  $690.68     Printing Election Manuals $641.75,1
72,WOOD COUNTY,"4,172.80","14,197.25",0.00,"8,804.91",380.00,0.00,80.00,0.00,,1
1004,TOWN OF BIG FLATS - ADAMS COUNTY,0.00,0.00,25.00,0.00,0.00,450.00,0.00,0.00,,1
1006,TOWN OF COLBURN - ADAMS COUNTY,0.00,0.00,6.95,0.00,0.00,804.00,0.00,0.00,,1
1008,TOWN OF DELL PRAIRIE - ADAMS COUNTY,69.50,50.00,10.00,0.00,25.00,994.00,55.00,0.00,,1
1010,TOWN OF EASTON - ADAMS COUNTY,0.00,0.00,9.80,0.00,0.00,495.00,0.00,0.00,,1
1012,TOWN OF JACKSON - ADAMS COUNTY,0.00,0.00,12.25,0.00,0.00,877.66,40.50,60.00,Port-a-potty rental,1
1014,TOWN OF LEOLA - ADAMS COUNTY,0.00,0.00,1.00,0.00,127.50,542.50,0.00,0.00,,1
1018,TOWN OF MONROE - ADAMS COUNTY,0.00,0.00,12.00,200.00,100.00,455.00,69.00,0.00,,1
1020,TOWN OF NEW CHESTER - ADAMS COUNTY,0.00,0.00,12.22,0.00,0.00,625.30,0.00,0.00,,1
1022,TOWN OF NEW HAVEN - ADAMS COUNTY,0.00,0.00,16.00,0.00,20.00,700.00,0.00,0.00,,1
1024,TOWN OF PRESTON - ADAMS COUNTY,0.00,0.00,15.00,0.00,160.00,"1,100.00",30.00,0.00,,1
1026,TOWN OF QUINCY - ADAMS COUNTY,0.00,0.00,73.94,0.00,286.64,653.07,355.20,592.00,"WISVOTE - estimate 25 hrs to enter all information.     Questions 1 and 2.  Adams County has not billed the town yet for these expenses,",1
1028,TOWN OF RICHFIELD - ADAMS COUNTY,0.00,0.00,0.00,0.00,75.00,420.00,0.00,30.00,"Office supplies, ink, pens, etc.",1
1030,TOWN OF ROME - ADAMS COUNTY,124.00,0.00,23.80,"7,610.90",0.00,"2,678.85",0.00,0.00,Item #4 Voting Equipment - purchased a new voting machine.,1
1032,TOWN OF SPRINGVILLE - ADAMS COUNTY,0.00,0.00,10.00,0.00,0.00,593.00,0.00,0.00,,1
1034,TOWN OF STRONGS PRAIRIE - ADAMS COUNTY,0.00,0.00,20.00,0.00,25.00,470.00,0.00,0.00,,1
1126,VILLAGE OF FRIENDSHIP - ADAMS COUNTY,13.46,13.46,66.60,70.23,266.81,503.65,31.91,0.00,#4 is votepad set up,1
1201,CITY OF ADAMS - ADAMS COUNTY,72.27,"1,427.15",97.66,253.56,9.95,"1,737.77",711.04,0.00,,1
2002,TOWN OF AGENDA - ASHLAND COUNTY,0.00,0.00,4.67,0.00,32.00,441.68,0.00,0.00,,1
2004,TOWN OF ASHLAND - ASHLAND COUNTY,0.00,0.00,0.00,0.00,0.00,710.00,0.00,0.00,,1
2006,TOWN OF CHIPPEWA - ASHLAND COUNTY,100.00,0.00,4.00,0.00,200.00,200.00,0.00,0.00,,1
2008,TOWN OF GINGLES - ASHLAND COUNTY,0.00,0.00,11.00,0.00,0.00,"1,064.70",0.00,96.00,Mileage for Clerk   50.00 Toner Ink Cartridge 46.00 Total              $96.00,1
2010,TOWN OF GORDON - ASHLAND COUNTY,0.00,0.00,4.90,358.87,0.00,228.75,0.00,0.00,,1
2012,TOWN OF JACOBS - ASHLAND COUNTY,0.00,0.00,0.00,0.00,0.00,540.00,100.00,0.00,,1
2014,TOWN OF LA POINTE - ASHLAND COUNTY,18.00,0.00,50.00,0.00,61.00,470.00,50.00,114.00,Ferry fees for picking up/dropping off ballots Ashland. Round trip $38.00 x 3 = $114.00,1
2016,TOWN OF MARENGO - ASHLAND COUNTY,0.00,0.00,0.00,0.00,0.00,710.00,0.00,0.00,,1
2018,TOWN OF MORSE - ASHLAND COUNTY,40.00,0.00,10.00,0.00,35.00,650.00,0.00,0.00,,1
2020,TOWN OF PEEKSVILLE - ASHLAND COUNTY,0.00,0.00,7.00,0.00,0.00,420.00,0.00,0.00,,1
2022,TOWN OF SANBORN - ASHLAND COUNTY,0.00,0.00,0.00,200.00,200.00,"1,050.00",100.00,0.00,,1
2024,TOWN OF SHANAGOLDEN - ASHLAND COUNTY,100.00,0.00,4.00,0.00,0.00,380.00,0.00,0.00,,1
2026,TOWN OF WHITE RIVER - ASHLAND COUNTY,0.00,0.00,0.00,0.00,0.00,660.00,0.00,0.00,,1
2106,VILLAGE OF BUTTERNUT - ASHLAND COUNTY,150.00,0.00,5.00,0.00,150.00,200.00,0.00,0.00,,1
2201,CITY OF ASHLAND - MULTIPLE COUNTIES,181.00,0.00,84.00,0.00,50.00,"9,895.00","6,425.00",0.00,,1
2251,CITY OF MELLEN - ASHLAND COUNTY,0.00,0.00,10.78,0.00,0.00,489.92,0.00,0.00,,1
3002,TOWN OF ALMENA - BARRON COUNTY,125.30,0.00,6.77,29.70,0.00,726.00,0.00,517.32,"voting machines, supplies, stamps, mileages and meals",1
3004,TOWN OF ARLAND - BARRON COUNTY,28.20,0.00,3.50,500.00,0.00,550.00,0.00,0.00,,1
3006,TOWN OF BARRON - BARRON COUNTY,13.20,0.00,9.92,0.00,0.00,790.50,0.00,0.00,,1
3008,TOWN OF BEAR LAKE - BARRON COUNTY,13.50,0.00,23.94,500.00,59.05,845.23,250.68,85.45,parking lot paint for handicapped parking area and handicap bars for bathroom.,1
3012,TOWN OF CHETEK - BARRON COUNTY,33.00,25.00,15.00,0.00,60.00,"2,000.00",0.00,0.00,,1
3016,TOWN OF CRYSTAL LAKE - BARRON COUNTY,56.61,0.00,3.43,500.00,0.00,510.00,0.00,0.00,,1
3018,TOWN OF CUMBERLAND - BARRON COUNTY,59.00,6.00,46.00,163.00,26.00,522.00,0.00,0.00,,1
3020,TOWN OF DALLAS - BARRON COUNTY,14.20,500.00,5.28,780.00,50.00,864.81,90.00,0.00,,1
3024,TOWN OF DOYLE - BARRON COUNTY,15.00,0.00,5.00,300.00,0.00,"1,040.00",0.00,0.00,,1
3026,TOWN OF LAKELAND - BARRON COUNTY,70.06,0.00,1.47,29.70,20.00,"1,050.00",0.00,449.50,,1
3028,TOWN OF MAPLE GROVE - BARRON COUNTY,13.20,0.00,15.00,562.00,0.00,810.00,0.00,173.33,Telephone $67.16 Divider Tabs $13.58 Table for Edge $36.91 Edge Paper Rolls $55.68,1
3030,TOWN OF MAPLE PLAIN - BARRON COUNTY,70.21,55.00,8.67,0.00,0.00,"1,102.00",150.00,649.06,Milage for Clerk   149.06 Spring Election Annual SVRS   500.00,1
3032,TOWN OF OAK GROVE - BARRON COUNTY,26.00,15.00,5.25,0.00,50.00,925.00,0.00,0.00,,1
3034,TOWN OF PRAIRIE FARM - BARRON COUNTY,10.00,10.00,7.00,0.00,70.00,300.00,0.00,0.00,,1
3036,TOWN OF PRAIRIE LAKE - BARRON COUNTY,20.00,10.00,33.40,90.00,82.50,980.00,36.00,0.00,,1
3038,TOWN OF RICE LAKE - BARRON COUNTY,36.38,85.78,537.08,382.56,748.91,"2,111.54",93.76,0.00,,1
3040,TOWN OF SIOUX CREEK - BARRON COUNTY,55.25,0.00,0.00,207.91,0.00,"1,238.51",0.00,0.00,,1
3042,TOWN OF STANFOLD - BARRON COUNTY,22.15,0.00,2.88,0.00,17.25,816.25,0.00,0.00,,1
3044,TOWN OF STANLEY - BARRON COUNTY,25.29,32.41,36.00,0.00,5.00,588.00,0.00,0.00,,1
3046,TOWN OF SUMNER - BARRON COUNTY,43.04,0.00,0.00,50.00,26.60,653.25,0.00,500.00,Annual SVRS fee to Barron County,1
3048,TOWN OF TURTLE LAKE - BARRON COUNTY,64.46,7.63,16.75,64.50,53.75,391.50,122.72,2.00,Copies,1
3050,TOWN OF VANCE CREEK - BARRON COUNTY,54.75,0.00,8.00,128.00,50.00,897.00,0.00,40.50,mileage to return all election ballots back to county and to schools,1
3101,VILLAGE OF ALMENA - BARRON COUNTY,64.58,0.00,0.00,59.40,0.00,572.50,430.64,500.00,Annual SVRS assessed by Barron County.,1
3111,VILLAGE OF CAMERON - BARRON COUNTY,61.27,7.50,22.00,94.65,428.55,660.27,354.94,0.00,,1
3116,VILLAGE OF DALLAS - BARRON COUNTY,35.59,0.00,0.00,29.70,0.00,830.00,0.00,0.00,,1
3136,VILLAGE OF HAUGEN - BARRON COUNTY,35.34,0.00,0.00,415.00,85.00,580.00,0.00,0.00,,1
3171,VILLAGE OF PRAIRIE FARM - BARRON COUNTY,28.70,5.00,0.98,100.00,0.00,375.00,300.00,0.00,,1
3186,VILLAGE OF TURTLE LAKE - MULTIPLE COUNTIES,240.00,40.00,25.00,60.00,15.00,651.00,50.00,0.00,,1
3206,CITY OF BARRON - BARRON COUNTY,79.00,150.00,102.00,119.00,25.00,951.00,240.00,0.00,,1
3211,CITY OF CHETEK - BARRON COUNTY,178.85,25.00,10.00,390.40,20.00,"1,340.00",25.00,0.00,,1
3212,CITY OF CUMBERLAND - BARRON COUNTY,220.23,119.65,108.39,89.10,0.00,"1,263.00",993.60,0.00,,1
3276,CITY OF RICE LAKE - BARRON COUNTY,159.86,279.58,130.00,139.10,300.00,"6,213.25",0.00,0.00,,1
4002,TOWN OF BARKSDALE - BAYFIELD COUNTY,62.97,0.00,4.90,203.44,105.00,"1,040.00",0.00,400.00,wisvote,1
4004,TOWN OF BARNES - BAYFIELD COUNTY,420.09,37.91,424.95,62.00,62.00,"1,539.38",0.00,22.00,purchased a pizza dinner for poll workers,1
4006,TOWN OF BAYFIELD - BAYFIELD COUNTY,120.00,0.00,32.50,315.58,105.00,"1,135.00",30.00,0.00,,1
4008,TOWN OF BAYVIEW - BAYFIELD COUNTY,62.97,0.00,23.52,203.44,0.00,435.00,0.00,412.16,snacks and wisvote,1
4010,TOWN OF BELL - BAYFIELD COUNTY,62.97,50.00,0.00,157.30,80.00,900.00,0.00,300.00,wisvote,1
4012,TOWN OF CABLE - BAYFIELD COUNTY,62.97,0.00,50.00,0.00,0.00,570.00,0.00,400.00,wisvote,1
4014,TOWN OF CLOVER - BAYFIELD COUNTY,62.97,50.00,0.00,169.00,0.00,400.00,0.00,300.00,wisvote,1
4016,TOWN OF DELTA - BAYFIELD COUNTY,62.97,0.00,0.00,99.72,0.00,600.00,0.00,350.00,supplies and wisvote,1
4018,TOWN OF DRUMMOND - BAYFIELD COUNTY,62.97,0.00,0.00,99.72,0.00,540.00,0.00,350.00,wisvote,1
4020,TOWN OF EILEEN - BAYFIELD COUNTY,62.97,0.00,14.70,410.00,0.00,659.96,0.00,375.00,wisvote,1
4021,TOWN OF GRAND VIEW - BAYFIELD COUNTY,62.97,0.00,4.90,203.44,0.00,435.00,19.50,350.00,wisvote,1
4022,TOWN OF HUGHES - BAYFIELD COUNTY,70.66,0.00,20.00,99.72,20.00,485.00,0.00,350.00,wisvote,1
4024,TOWN OF IRON RIVER - BAYFIELD COUNTY,134.21,50.00,0.00,363.96,0.00,700.00,50.00,475.00,wisvote,1
4026,TOWN OF KELLY - BAYFIELD COUNTY,62.97,0.00,0.00,99.72,0.00,492.75,0.00,420.15,clerks comp and wisvote,1
4028,TOWN OF KEYSTONE - BAYFIELD COUNTY,62.97,0.00,0.00,99.72,0.00,400.00,0.00,300.00,wisvote,1
4030,TOWN OF LINCOLN - BAYFIELD COUNTY,62.97,0.00,0.00,99.72,0.00,457.50,0.00,300.00,wisvote,1
4032,TOWN OF MASON - BAYFIELD COUNTY,62.97,0.00,7.84,99.72,0.00,504.09,0.00,300.00,wisvote and a note that said when looking at possible charges how fortunate municipalities are that all clerks don't charge all they are entitled too charge.,1
4034,TOWN OF NAMAKAGON - BAYFIELD COUNTY,70.66,0.00,0.00,99.72,0.00,648.00,0.00,300.00,wisvote,1
4036,TOWN OF ORIENTA - BAYFIELD COUNTY,62.97,0.00,3.65,118.08,0.00,389.75,0.00,250.00,wisvote,1
4038,TOWN OF OULU - BAYFIELD COUNTY,62.97,0.00,2.00,124.72,37.00,605.00,213.00,350.00,wisvote,1
4040,TOWN OF PILSEN - BAYFIELD COUNTY,62.97,0.00,1.50,99.72,0.00,543.36,0.00,300.00,wisvote,1
4042,TOWN OF PORT WING - BAYFIELD COUNTY,62.97,0.00,0.00,99.72,20.00,440.00,0.00,350.00,wisvote,1
4046,TOWN OF RUSSELL - BAYFIELD COUNTY,417.80,50.00,82.11,200.00,666.41,"1,568.04",779.17,434.75,Clerk training webinars $296.00 Review WI VOTE training modules 138.75,1
4048,TOWN OF TRIPP - BAYFIELD COUNTY,62.97,0.00,0.00,99.72,176.00,575.00,0.00,250.00,wisvote,1
4050,TOWN OF WASHBURN - BAYFIELD COUNTY,62.97,0.00,5.00,203.44,200.00,500.00,0.00,350.00,wisvote,1
4151,VILLAGE OF MASON - BAYFIELD COUNTY,62.97,0.00,0.00,99.72,0.00,500.00,0.00,250.00,wisvote,1
4206,CITY OF BAYFIELD - BAYFIELD COUNTY,150.00,100.00,7.35,63.00,14.44,546.17,"3,475.08",14.04,Mileage to bring Election Returns to School District of Bayfield and to Bayfield County.,1
4291,CITY OF WASHBURN - BAYFIELD COUNTY,203.55,373.29,110.40,125.00,65.00,"1,285.00",110.00,0.00,,1
5010,TOWN OF EATON - BROWN COUNTY,216.33,50.00,10.00,58.93,50.00,"1,450.00",75.00,459.90,WisVote charges ,1
5012,TOWN OF GLENMORE - BROWN COUNTY,588.39,250.00,250.00,341.43,892.00,"2,500.00",200.00,0.00,N/A,1
5014,TOWN OF GREEN BAY - BROWN COUNTY,938.76,0.00,29.34,0.00,0.00,920.00,0.00,0.00,"Notice and ballot cost(s) are included in the $938.76 cost indicated -Debbie Mercier, Clerk     ",1
5018,TOWN OF HOLLAND - BROWN COUNTY,216.33,50.00,0.00,0.00,0.00,770.00,0.00,517.33,Statewide Voter Registration $458.40 Misc. $58.93,1
5022,TOWN OF HUMBOLDT - BROWN COUNTY,216.00,0.00,30.00,391.00,175.00,900.00,0.00,59.00,Breakdown of misc. cost not specified by clerk. ,1
5024,TOWN OF LAWRENCE - BROWN COUNTY,605.00,279.00,460.00,210.00,0.00,"1,044.00","2,814.00",0.00,,1
5025,TOWN OF LEDGEVIEW - BROWN COUNTY,690.00,624.00,866.00,765.00,"1,266.00","2,600.00","2,921.00",0.00,,1
5026,TOWN OF MORRISON - BROWN COUNTY,250.00,50.00,125.00,250.00,"1,350.00","1,400.00",900.00,58.93,County charges ,1
5028,TOWN OF NEW DENMARK - BROWN COUNTY,"1,813.42",0.00,119.10,200.00,225.00,"1,587.09",45.00,0.00,,1
5030,TOWN OF PITTSFIELD - BROWN COUNTY,216.33,790.20,165.00,50.00,0.00,"1,300.00",0.00,58.93,No further explanation given. ,1
5034,TOWN OF ROCKLAND - BROWN COUNTY,216.33,100.00,111.00,58.93,37.67,929.75,11.50,57.00,Laminated photo ID and proof of residency forms: $32.00  Provisional Ballot Certificate Envelopes: $25.00,1
5036,TOWN OF SCOTT - BROWN COUNTY,517.00,515.00,225.00,140.00,100.00,"1,350.00",450.00,60.00,County Misc Expense,1
5040,TOWN OF WRIGHTSTOWN - BROWN COUNTY,216.33,0.00,83.60,58.93,0.00,"1,096.00",80.00,669.50,,1
5102,VILLAGE OF ALLOUEZ - BROWN COUNTY,216.33,28.42,"1,495.00",315.00,50.00,"5,155.00",988.45,474.45,"BC Supplies and Storage $250, BC Hardware Support $58.93, Ink Cartridges $73.92, Voter #'s $87, Paper Rolls $4.60 ",1
5104,VILLAGE OF ASHWAUBENON - BROWN COUNTY,216.33,36.89,"1,747.10",418.93,"1,933.21","5,206.29","1,015.88",396.53,"Purchase of six ""Be Prepared to Show ID"" signs",1
5106,VILLAGE OF BELLEVUE - BROWN COUNTY,216.00,306.00,460.00,120.00,274.00,"2,962.00",0.00,31.00,Cellphone charges,1
5116,VILLAGE OF DENMARK - BROWN COUNTY,588.39,10.00,202.50,733.20,16.53,810.64,8.50,0.00,,1
5126,VILLAGE OF HOBART - BROWN COUNTY,216.33,39.38,223.65,176.15,472.51,"2,154.15","2,332.30",0.00,,1
5136,VILLAGE OF HOWARD - MULTIPLE COUNTIES,"1,843.21",0.00,0.00,0.00,0.00,"14,538.61","2,350.00",0.00,3. The Villages does not break out the mailing costs from all Village mail.,1
5171,VILLAGE OF PULASKI - MULTIPLE COUNTIES,"1,286.00","1,117.00",375.00,0.00,0.00,"2,411.00","1,952.00","1,260.00","Misc cost include six new voting booths. Please note for #5, costs combined with item #2.  ",1
5178,VILLAGE OF SUAMICO - BROWN COUNTY,216.33,23.33,371.97,270.00,79.00,"6,940.00","7,100.00",58.93,58.93 ES&S Hardware Support,1
5191,VILLAGE OF WRIGHTSTOWN - MULTIPLE COUNTIES,679.32,0.00,116.48,157.50,0.00,"2,314.57",0.00,21.06,Training Session - pollworkers mileage,1
5216,CITY OF DE PERE - BROWN COUNTY,216.33,122.33,"1,039.00",778.93,"1,408.99","9,190.58","3,315.82",0.00,,1
5231,CITY OF GREEN BAY - BROWN COUNTY,216.33,163.19,"2,259.95","3,728.93","4,260.00","34,614.34","9,882.78",0.00,,1
6004,TOWN OF BELVIDERE - BUFFALO COUNTY,50.47,0.00,12.60,77.09,65.00,910.00,0.00,39.00,mileage & copying expenses,1
6006,TOWN OF BUFFALO - BUFFALO COUNTY,40.47,0.00,0.00,0.00,500.00,0.00,0.00,0.00,,1
6008,TOWN OF CANTON - BUFFALO COUNTY,250.00,0.00,10.00,30.00,30.00,504.00,0.00,0.00,,1
6010,TOWN OF CROSS - BUFFALO COUNTY,40.47,0.00,0.00,0.00,0.00,656.75,0.00,0.00,,1
6014,TOWN OF GILMANTON - BUFFALO COUNTY,67.07,0.00,2.00,0.00,0.00,336.00,0.00,35.00,Miscellaneous: electricity and heating for town hall,1
6016,TOWN OF GLENCOE - BUFFALO COUNTY,96.20,100.00,2.50,90.00,0.00,408.00,0.00,58.50,Mileage - $40.00   Supplies & copying 18.50,1
6018,TOWN OF LINCOLN - BUFFALO COUNTY,51.27,0.00,7.35,0.00,0.00,369.75,0.00,0.00,,1
6020,TOWN OF MAXVILLE - BUFFALO COUNTY,69.58,0.00,3.92,218.33,86.00,450.00,188.92,0.00,,1
6022,TOWN OF MILTON - BUFFALO COUNTY,40.47,0.00,0.00,0.00,0.00,448.25,0.00,70.00,Portapotty,1
6026,TOWN OF MONDOVI - BUFFALO COUNTY,31.07,50.00,10.00,10.80,15.00,392.00,0.00,0.00,,1
6028,TOWN OF MONTANA - BUFFALO COUNTY,20.00,0.00,0.00,0.00,10.00,445.00,160.00,50.00,Portalet rental,1
6032,TOWN OF NELSON - BUFFALO COUNTY,0.00,0.00,0.00,30.00,30.00,420.00,0.00,0.00,,1
6034,TOWN OF WAUMANDEE - BUFFALO COUNTY,5.00,0.00,10.00,0.00,20.00,405.00,50.00,0.00,,1
6111,VILLAGE OF COCHRANE - BUFFALO COUNTY,41.00,0.00,5.00,0.00,0.00,350.00,0.00,500.00,Clerks wages for election related duties,1
6201,CITY OF ALMA - BUFFALO COUNTY,,,,,,,,,,0
6206,CITY OF BUFFALO CITY - BUFFALO COUNTY,45.00,5.00,5.00,360.00,160.00,345.00,0.00,0.00,,1
