HINDI,County,Municipality,Reporting Unit,Registrants,Late Registrants,Election Day Registrants,Total Ballots,Total Voters,Paper Ballots,Optical Scan Ballots,DRE,Auto-Mark,Ballots Counted At,Total Election Inspectors,Split Shifts?,Difficulty Obtaining?,16-17,18-25,26-40,41-60,61-70,71+,Polling Place Name,Shared?,Provisional - No DL,Provisional - No POR,Counted,Rejected,Absentee Issued,Absentee In-Person,Absentee Not Returned,Absentee Undeliverable,Received By Election Day,Received By Friday,Absentee Counted,Absentee Rejected,Abssentee Late,FWAB Received,FWAB Counted,FWAB Rejected,FWAB Late,Military Issued,Military Unreturned,Military Undeliverable,Military By Election Day,Military By Friday,Military Counted,Military Rejected,Military Late,Overseas Issued,Overseas Unreturned,Overseas Undeliverable,Overseas By Election Day,Overseas By Friday,Overseas Counted,Overseas Rejected,Overseas Late
1018,ADAMS COUNTY,TOWN OF MONROE,Ward 1,270,0,15,177,177,19,0,158,0,Polling Place,5,Yes,2 Somewhat difficult,0,0,0,1,0,4,Town of Monroe Hall,No,0,0,0,0,11,1,1,0,10,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,ADAMS COUNTY,TOWN OF NEW CHESTER,Ward 1-3,481,0,27,0,280,84,0,196,0,Polling Place,5,Yes,2 Somewhat difficult,0,0,0,2,2,1,New Chester Town Hall,No,0,0,0,0,13,4,1,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,ADAMS COUNTY,TOWN OF NEW HAVEN,Ward 1,412,4,18,240,240,79,0,61,0,Polling Place,10,Yes,2 Somewhat difficult,0,0,0,3,3,4,New Haven Town Hall,No,0,0,0,0,19,3,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024,ADAMS COUNTY,TOWN OF PRESTON,Ward 1-2,743,6,47,484,484,484,0,0,0,Polling Place,7,No,3 Neither difficult nor easy,0,0,2,0,1,4,Preston Town Hall,No,0,0,0,0,20,8,3,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026,ADAMS COUNTY,TOWN OF QUINCY,Ward 1-3,714,9,32,425,425,425,0,0,0,Polling Place,7,Yes,5 Very easy,0,0,0,0,5,2,Quincy Town Hall,No,0,0,0,0,33,15,0,0,33,0,33,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1028,ADAMS COUNTY,TOWN OF RICHFIELD,Ward 1,98,0,4,62,62,62,0,0,0,Polling Place,5,Yes,2 Somewhat difficult,0,0,0,2,2,1,Richfield Town Hall,No,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,ADAMS COUNTY,TOWN OF ROME,Wards 1-5,2085,26,193,1382,1382,0,1382,0,0,Polling Place,7,No,5 Very easy,0,0,0,3,4,0,Rome Municiple Bldg,No,0,0,0,0,135,82,0,0,135,0,135,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1032,ADAMS COUNTY,TOWN OF SPRINGVILLE,Ward 1-2,670,4,40,440,448,448,0,0,0,Polling Place,5,Yes,3 Neither difficult nor easy,0,0,0,3,1,1,Springville Town Hall,No,0,0,0,0,17,14,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,ADAMS COUNTY,TOWN OF STRONGS PRAIRIE,Wards 1-3,681,0,47,421,421,16,0,405,0,Polling Place,3,No,3 Neither difficult nor easy,0,0,0,1,1,1,STRONGS PRAIRIE TOWN HALL,No,0,0,0,0,15,10,0,0,15,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1126,ADAMS COUNTY,VILLAGE OF FRIENDSHIP,Ward 1,322,0,24,197,197,197,0,0,0,Polling Place,5,Yes,2 Somewhat difficult,0,0,0,2,3,0,Friendship Village Hall,No,0,0,0,0,22,13,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,ADAMS COUNTY,CITY OF ADAMS,Ward 2,330,1,20,184,184,0,184,0,0,Polling Place,7,Yes,5 Very easy,0,0,0,4,1,2,Adams Municipal Building,Yes,0,0,0,0,9,3,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,ADAMS COUNTY,CITY OF ADAMS,Ward 3,157,0,14,88,88,0,88,0,0,Polling Place,6,Yes,5 Very easy,0,0,0,3,2,1,Adams Municipal Building,Yes,0,0,0,0,7,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,ADAMS COUNTY,CITY OF ADAMS,Ward 4,177,5,7,107,107,0,107,0,0,Polling Place,7,Yes,5 Very easy,0,0,1,5,0,1,Adams Municipal Building,Yes,0,0,0,0,26,5,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,ADAMS COUNTY,CITY OF ADAMS,Ward 1,262,0,21,139,139,0,139,0,0,Polling Place,6,Yes,5 Very easy,0,0,0,3,2,1,Adams Municipal Building,Yes,0,0,0,0,5,2,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1291,ADAMS COUNTY,CITY OF WISCONSIN DELLS,"Wards 5,9",16,2,2,12,12,0,12,0,0,Polling Place,7,No,4 Somewhat easy,0,0,0,1,3,3,WI Dells City Hall,No,0,0,0,0,2,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,ASHLAND COUNTY,TOWN OF AGENDA,Ward 1,263,0,6,168,168,168,0,0,0,Polling Place,3,No,4 Somewhat easy,0,0,0,0,1,2,Agenda Town Hall,No,0,0,0,0,5,3,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ASHLAND COUNTY,TOWN OF ASHLAND,Ward 1,359,359,5,210,210,209,0,0,1,Polling Place,3,No,2 Somewhat difficult,0,0,0,3,0,0,Ashland Town Hall,No,0,0,0,0,17,7,1,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,ASHLAND COUNTY,TOWN OF CHIPPEWA,Ward 1,231,0,13,148,148,91,0,57,0,Polling Place,3,No,5 Very easy,0,0,0,1,0,2,TownOfChippewa-Town Hall,No,0,0,0,0,7,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,ASHLAND COUNTY,TOWN OF GINGLES,Ward 1,481,0,481,325,325,324,0,0,1,Polling Place,5,No,2 Somewhat difficult,0,0,0,1,4,0,Gingles Town Hall,Yes,0,0,0,0,22,11,0,0,22,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,ASHLAND COUNTY,TOWN OF GORDON,Ward 1,51,0,0,33,33,33,0,0,0,Polling Place,4,Yes,2 Somewhat difficult,0,0,0,1,0,3,Town of Gordon Town Hall,No,0,0,0,0,6,2,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,ASHLAND COUNTY,TOWN OF GORDON,Ward 2,114,0,11,77,77,77,0,0,0,Polling Place,4,Yes,2 Somewhat difficult,0,0,0,1,0,3,Town of Gordon Town Hall,Yes,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,ASHLAND COUNTY,TOWN OF JACOBS,Ward 1,415,0,20,250,250,245,0,0,5,Polling Place,3,No,3 Neither difficult nor easy,0,0,0,0,1,2,Jacobs Town Hall,No,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,ASHLAND COUNTY,TOWN OF LA POINTE,Ward 1,304,1,11,228,228,228,0,0,0,Polling Place,6,Yes,4 Somewhat easy,0,0,1,4,1,0,La Pointe Fire Hall,No,1,1,1,1,51,16,6,1,42,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,ASHLAND COUNTY,TOWN OF MARENGO,Ward 1,112,0,1,79,79,79,0,0,0,Polling Place,3,No,5 Very easy,0,0,0,1,2,0,Marengo Town Hall,Yes,0,0,0,0,3,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,ASHLAND COUNTY,TOWN OF MARENGO,Ward 2,135,0,9,97,97,97,0,0,0,Polling Place,3,No,5 Very easy,0,0,0,1,2,0,Marengo Town Hall,Yes,0,0,0,0,7,2,0,1,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,ASHLAND COUNTY,TOWN OF MORSE,Ward 2,50,0,2,31,31,31,0,0,0,Polling Place,6,Yes,2 Somewhat difficult,0,0,1,0,5,0,Morse Town Hall,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,ASHLAND COUNTY,TOWN OF MORSE,Ward 1,260,0,14,162,162,162,0,0,0,Polling Place,6,Yes,2 Somewhat difficult,0,0,1,0,5,0,Morse Town Hall,Yes,0,0,0,0,2,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,ASHLAND COUNTY,TOWN OF MORSE,Ward 3,16,0,0,16,16,16,0,0,0,Polling Place,6,Yes,2 Somewhat difficult,0,0,1,0,5,0,Morse Town Hall,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ASHLAND COUNTY,TOWN OF PEEKSVILLE,Ward 1,59,0,2,40,40,40,0,0,0,Polling Place,4,Yes,2 Somewhat difficult,0,0,2,0,0,2,Town of Peeksville Town H,Yes,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ASHLAND COUNTY,TOWN OF PEEKSVILLE,Ward 2,61,0,2,43,43,43,0,0,0,Polling Place,4,Yes,2 Somewhat difficult,0,0,2,0,0,2,Town of Peeksville Town H,Yes,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,ASHLAND COUNTY,TOWN OF SANBORN,Ward 1,266,0,11,104,104,104,0,0,0,Polling Place,5,No,3 Neither difficult nor easy,0,0,0,4,2,0,Sanborn Town Hall,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,ASHLAND COUNTY,TOWN OF SANBORN,Ward 2,410,0,20,196,196,196,0,0,0,Polling Place,6,No,3 Neither difficult nor easy,0,0,0,4,2,0,Sanborn Town Hall,Yes,0,0,0,0,4,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,ASHLAND COUNTY,TOWN OF SHANAGOLDEN,Ward 1,84,0,3,54,54,50,0,0,4,Polling Place,3,No,4 Somewhat easy,0,0,0,0,1,2,Town of Shanagolden,No,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,ASHLAND COUNTY,TOWN OF WHITE RIVER,Ward 1,462,0,26,339,339,339,0,0,0,Polling Place,3,No,2 Somewhat difficult,0,0,0,1,2,0,Town of White River,Yes,0,0,0,0,6,1,2,2,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,ASHLAND COUNTY,TOWN OF WHITE RIVER,Ward 2,54,0,7,43,43,43,0,0,0,Polling Place,3,No,2 Somewhat difficult,0,0,0,1,2,0,Town of White River,Yes,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2106,ASHLAND COUNTY,VILLAGE OF BUTTERNUT,Ward 1,26,0,6,19,19,19,0,0,0,Polling Place,5,Yes,5 Very easy,0,0,1,1,0,3,Butternut Village Hall,Yes,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2106,ASHLAND COUNTY,VILLAGE OF BUTTERNUT,Ward 2,151,0,7,103,103,103,0,0,0,Polling Place,5,Yes,5 Very easy,0,0,1,1,0,3,Butternut Village Hall,Yes,0,0,0,0,7,3,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 2,356,0,41,185,185,0,0,0,0,Polling Place,7,Yes,2 Somewhat difficult,0,0,0,0,4,3,Senior Community Center,Yes,0,0,0,0,17,2,2,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 3,347,3,24,234,234,234,0,0,0,Polling Place,5,Yes,2 Somewhat difficult,0,0,0,0,1,4,National Guard Armory,Yes,0,0,0,0,38,10,5,0,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 4,494,1,30,349,350,349,0,0,0,Polling Place,5,Yes,2 Somewhat difficult,0,0,0,0,3,2,National Guard Armory,Yes,0,0,0,0,31,17,2,0,27,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 11,437,1,35,300,301,300,0,0,0,Polling Place,5,Yes,2 Somewhat difficult,0,0,0,1,2,2,Bretting Center,Yes,0,0,0,0,28,17,2,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 7,570,4,108,390,390,390,0,0,0,Polling Place,7,Yes,2 Somewhat difficult,0,1,0,0,4,2,Bretting Center,Yes,0,0,0,0,19,10,0,2,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 9,330,1,47,222,221,221,0,0,0,Polling Place,5,Yes,2 Somewhat difficult,0,0,0,0,0,5,Bretting Center,Yes,0,0,0,0,19,11,0,0,18,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 5,442,10,39,321,321,321,0,0,0,Polling Place,5,Yes,2 Somewhat difficult,0,0,0,0,4,1,National Guard Armory,Yes,0,0,0,0,28,22,0,0,28,0,28,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 10,394,6,32,254,253,253,0,0,0,Polling Place,5,Yes,2 Somewhat difficult,0,0,0,0,4,1,Bretting Center,Yes,0,0,0,0,20,12,0,0,20,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 8,396,4,48,253,253,253,0,0,0,Polling Place,5,Yes,2 Somewhat difficult,0,0,0,1,1,3,Bretting Center,Yes,0,0,0,0,22,12,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 6,379,5,52,223,224,224,0,0,0,Polling Place,5,Yes,2 Somewhat difficult,0,0,0,0,2,3,Senior Community  Center,Yes,1,0,0,0,20,7,1,2,16,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2201,ASHLAND COUNTY,CITY OF ASHLAND,Ward 1,540,2,34,393,393,393,0,0,0,Polling Place,7,Yes,2 Somewhat difficult,0,0,0,0,3,4,National Guard Armory,Yes,0,0,0,0,50,22,1,0,45,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2251,ASHLAND COUNTY,CITY OF MELLEN,Ward 1,353,0,14,176,176,176,0,0,0,Polling Place,6,Yes,5 Very easy,0,0,1,3,0,2,Mellen Senior Center,No,0,0,0,0,18,7,0,0,18,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3002,BARRON COUNTY,TOWN OF ALMENA,Ward 1-2,529,0,34,296,296,13,0,283,0,Polling Place,4,No,5 Very easy,0,0,0,0,4,0,"Town of Almena, Town Hall",No,0,0,0,0,9,2,0,0,8,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3004,BARRON COUNTY,TOWN OF ARLAND,Ward 1,380,0,19,204,204,4,0,200,0,Polling Place,6,Yes,1 Very difficult,0,0,0,1,3,2,Arland Town Hall,No,0,0,0,0,3,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3006,BARRON COUNTY,TOWN OF BARRON,Ward 1-2,413,0,35,275,275,3,0,272,0,Polling Place,5,No,5 Very easy,0,0,0,0,0,5,"Town of Barron, Town Hall",No,0,0,0,0,6,2,1,1,2,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3008,BARRON COUNTY,TOWN OF BEAR LAKE,Ward 1,418,1,24,253,253,16,0,237,0,Polling Place,2,Yes,4 Somewhat easy,0,0,0,0,1,3,Bear Lake Twon Hall,No,0,0,0,0,10,3,0,0,10,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3010,BARRON COUNTY,TOWN OF CEDAR LAKE,Ward 1,764,0,54,577,577,0,227,343,0,Polling Place,7,No,3 Neither difficult nor easy,0,0,0,2,5,0,CEDAR LAKE TOWN HALL,No,0,0,0,0,72,0,3,1,55,7,7,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3012,BARRON COUNTY,TOWN OF CHETEK,Ward 1-2,1134,0,74,678,678,46,0,632,0,Polling Place,12,Yes,4 Somewhat easy,0,0,0,0,11,1,CHETEK TOWN HALL,No,0,0,0,0,32,23,0,0,32,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
3014,BARRON COUNTY,TOWN OF CLINTON,Ward 1,380,0,18,227,227,21,0,206,0,Polling Place,6,Yes,4 Somewhat easy,0,0,1,2,3,0,Town of Clinton Community,No,0,0,0,0,8,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3016,BARRON COUNTY,TOWN OF CRYSTAL LAKE,Ward 1,422,0,25,266,266,7,0,259,0,Polling Place,5,Yes,1 Very difficult,0,0,0,1,4,0,Crystal Lake Town Hall,Yes,0,0,0,0,7,2,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3018,BARRON COUNTY,TOWN OF CUMBERLAND,Ward 1,518,2,29,323,323,25,0,298,0,Polling Place,6,Yes,3 Neither difficult nor easy,0,0,0,1,4,1,TOWN HALL,No,0,0,0,0,25,7,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3020,BARRON COUNTY,TOWN OF DALLAS,Ward 1,315,0,20,211,211,17,0,194,0,Polling Place,5,Yes,3 Neither difficult nor easy,0,0,0,1,2,2,Dallas Town Hall,No,0,0,0,0,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3022,BARRON COUNTY,TOWN OF DOVRE,Ward 1,495,1,32,249,249,45,0,204,0,Polling Place,5,No,2 Somewhat difficult,0,0,0,0,0,0,Town of Dovre,No,0,0,0,0,2,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3024,BARRON COUNTY,TOWN OF DOYLE,Ward 1-2,317,0,8,180,180,7,0,173,0,Polling Place,5,No,3 Neither difficult nor easy,0,0,0,1,2,2,Doyle Community Building,No,0,0,0,0,4,2,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3026,BARRON COUNTY,TOWN OF LAKELAND,Ward 1-2,622,6,35,375,375,10,0,365,0,Polling Place,7,Yes,2 Somewhat difficult,0,0,0,1,3,3,Lakeland Town Hall,No,0,0,0,0,8,5,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3028,BARRON COUNTY,TOWN OF MAPLE GROVE,Ward 1-2,547,3,37,345,344,16,0,0,0,Polling Place,5,No,5 Very easy,0,0,0,3,2,1,Town of Maple Grove Town,No,0,0,0,0,15,8,0,0,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3030,BARRON COUNTY,TOWN OF MAPLE PLAIN,Ward 1,546,2,31,337,337,16,0,331,0,Polling Place,4,No,1 Very difficult,0,0,0,1,2,1,Maple Plain Town Hall,No,0,0,0,0,17,7,0,0,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3032,BARRON COUNTY,TOWN OF OAK GROVE,Ward 1-2,532,0,34,312,312,13,0,299,0,Polling Place,5,No,4 Somewhat easy,0,0,0,2,3,0,Town Hall - Town of Oak G,No,0,0,0,0,11,4,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3034,BARRON COUNTY,TOWN OF PRAIRIE FARM,Wards 1-2,325,1,13,180,180,21,0,159,0,Polling Place,4,Yes,1 Very difficult,0,0,0,1,0,3,,No,0,0,0,0,9,6,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3036,BARRON COUNTY,TOWN OF PRAIRIE LAKE,Ward 1-2,878,4,56,554,554,33,0,521,0,Polling Place,10,Yes,4 Somewhat easy,0,0,0,1,5,6,Meeting Room,No,0,0,0,0,30,16,1,0,28,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3038,BARRON COUNTY,TOWN OF RICE LAKE,Wards 1-4,1750,7,84,982,982,6,129,847,0,Polling Place,15,Yes,2 Somewhat difficult,0,0,0,5,3,6,Town of RL Municipal Bldg,No,0,0,0,0,103,69,2,0,95,5,100,0,1,0,0,0,0,4,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0
3040,BARRON COUNTY,TOWN OF SIOUX CREEK,Ward 1,345,1,18,209,209,8,0,201,0,Polling Place,8,Yes,2 Somewhat difficult,0,0,0,3,3,2,SIOUX CREEK TOWN HALL,No,0,0,0,0,7,6,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
