HINDI,Muni_County_Name,Notices,Ballots,Absentee,VotingEquipment,PollingPlace,Pollworkers,OtherLocalElectionOfficials,Miscellaneous,Notes
3276,CITY OF RICE LAKE - BARRON COUNTY,$25.00,$0.00,$942.69,"$4,500.00",$90.00,"$11,662.25",$0.00,$0.00,
4002,TOWN OF BARKSDALE - BAYFIELD COUNTY,$722.50,$0.00,$18.00,$0.00,$0.00,"$1,030.00",$140.00,$0.00,1&3 are together
4004,TOWN OF BARNES - BAYFIELD COUNTY,$1.50,$0.00,$35.65,$221.10,$41.10,$865.50,$480.00,$0.00,
4006,TOWN OF BAYFIELD - BAYFIELD COUNTY,$247.00,$280.00,$92.00,$0.00,$100.00,"$1,261.00",$0.00,$0.00,
4008,TOWN OF BAYVIEW - BAYFIELD COUNTY,$0.00,$0.00,$54.00,$0.00,$0.00,$626.00,$0.00,$0.00,
4010,TOWN OF BELL - BAYFIELD COUNTY,$0.00,$0.00,$6.00,$0.00,$0.00,$755.00,$0.00,$0.00,
4012,TOWN OF CABLE - BAYFIELD COUNTY,$0.00,$0.00,$20.00,$0.00,$0.00,"$1,000.00",$0.00,$0.00,
4014,TOWN OF CLOVER - BAYFIELD COUNTY,$0.00,$0.00,$20.00,$0.00,$0.00,$500.00,$0.00,$0.00,
4016,TOWN OF DELTA - BAYFIELD COUNTY,$150.00,$0.00,$10.00,$0.00,$0.00,$610.00,$0.00,$0.00,
4018,TOWN OF DRUMMOND - BAYFIELD COUNTY,$0.00,$0.00,$20.00,$0.00,$0.00,$700.00,$0.00,$0.00,
4020,TOWN OF EILEEN - BAYFIELD COUNTY,$0.00,$0.00,$20.00,$0.00,$0.00,$600.00,$0.00,$0.00,
4021,TOWN OF GRAND VIEW - BAYFIELD COUNTY,$0.00,$0.00,$9.00,$0.00,$54.00,$421.00,$0.00,$0.00,
4022,TOWN OF HUGHES - BAYFIELD COUNTY,$0.00,$0.00,$20.00,$0.00,$0.00,$500.00,$0.00,$0.00,
4024,TOWN OF IRON RIVER - BAYFIELD COUNTY,$224.00,$0.00,$52.00,$30.00,$0.00,"$3,067.00",$0.00,$0.00,
4026,TOWN OF KELLY - BAYFIELD COUNTY,$0.00,$0.00,$10.00,$0.00,$0.00,$500.00,$0.00,$0.00,
4028,TOWN OF KEYSTONE - BAYFIELD COUNTY,$0.00,$0.00,$4.00,$41.00,$16.00,$832.00,$0.00,$0.00,
4030,TOWN OF LINCOLN - BAYFIELD COUNTY,$0.00,$0.00,$0.00,$0.00,$0.00,$473.00,$0.00,$0.00,
4032,TOWN OF MASON - BAYFIELD COUNTY,$0.00,$0.00,$6.00,$5.00,$125.00,$504.00,$95.00,$0.00,
4034,TOWN OF NAMAKAGON - BAYFIELD COUNTY,$0.00,$0.00,$20.00,$0.00,$0.00,$600.00,$0.00,$0.00,
4036,TOWN OF ORIENTA - BAYFIELD COUNTY,$0.00,$0.00,$3.00,$212.00,$0.00,$400.00,$0.00,$0.00,
4038,TOWN OF OULU - BAYFIELD COUNTY,$0.00,$0.00,$3.00,$25.00,$5.00,$585.00,$35.00,$0.00,
4040,TOWN OF PILSEN - BAYFIELD COUNTY,$0.00,$0.00,$5.00,$0.00,$0.00,$500.00,$0.00,$0.00,
4042,TOWN OF PORT WING - BAYFIELD COUNTY,$86.00,$0.00,$2.00,$56.00,$104.00,$810.00,$0.00,$53.00,
4046,TOWN OF RUSSELL - BAYFIELD COUNTY,$47.28,$0.00,$95.16,$195.00,$595.41,"$1,544.04",$942.58,$434.75,Clerk webinars & training with WISVote Modules
4048,TOWN OF TRIPP - BAYFIELD COUNTY,$0.00,$5.00,$61.00,$20.00,$68.00,$670.00,$320.00,$0.00,7.   is clerk wages
4050,TOWN OF WASHBURN - BAYFIELD COUNTY,$0.00,$0.00,$10.00,$0.00,$0.00,$750.00,$0.00,$0.00,
4151,VILLAGE OF MASON - BAYFIELD COUNTY,$0.00,$0.00,$10.00,$0.00,$0.00,$500.00,$0.00,$0.00,
4206,CITY OF BAYFIELD - BAYFIELD COUNTY,$18.03,$0.00,$80.00,$55.40,$35.00,$726.08,$0.00,$13.50,Mileage for bringing Election Returns to Bayfield County.
4291,CITY OF WASHBURN - BAYFIELD COUNTY,$210.00,$0.00,$151.20,$75.00,$125.00,"$1,259.00",$110.00,$0.00,
5010,TOWN OF EATON - BROWN COUNTY,$0.00,$0.00,$100.00,$25.00,$50.00,"$1,600.00",$0.00,$150.00,Meals for inspection election workers.
5012,TOWN OF GLENMORE - BROWN COUNTY,$295.55,$0.00,$150.00,$282.50,$200.00,"$2,000.00",$500.00,$0.00,
5014,TOWN OF GREEN BAY - BROWN COUNTY,"$1,017.00",$0.00,$150.00,$0.00,$0.00,$0.00,"$1,140.00",$0.00,
5018,TOWN OF HOLLAND - BROWN COUNTY,$295.55,$50.00,$0.00,$0.00,$0.00,$770.00,$0.00,$540.90,Misc statewide voter reg 458.40 and variety of cost from County Clerk is 82.50
5022,TOWN OF HUMBOLDT - BROWN COUNTY,$767.00,$50.00,$56.00,$50.00,$100.00,"$1,013.00",$0.00,$60.00,Food purchases and beverages for poll workers
5024,TOWN OF LAWRENCE - BROWN COUNTY,$605.00,$280.00,"$1,845.00",$210.00,"$6,750.00","$3,556.00","$1,421.00",$0.00,
5025,TOWN OF LEDGEVIEW - BROWN COUNTY,"$2,654.00",$370.00,"$1,851.00",$545.00,"$4,963.00","$5,086.00","$12,516.00",$0.00,
5026,TOWN OF MORRISON - BROWN COUNTY,$325.00,$50.00,$425.00,$250.00,"$1,525.00","$1,750.00","$1,500.00",$82.50,ES&S hardware support. 
5028,TOWN OF NEW DENMARK - BROWN COUNTY,$295.55,$132.50,$215.00,$45.00,$243.00,$674.00,$0.00,$466.80,SVRS Brown County 
5030,TOWN OF PITTSFIELD - BROWN COUNTY,$295.55,$132.56,$273.00,$0.00,$790.20,"$1,813.78",$100.00,$297.00,Mileage for picking up and returning ballots and mileage to attend training at Stevens Point Convention. 
5034,TOWN OF ROCKLAND - BROWN COUNTY,$211.57,$50.00,$200.43,$82.50,$0.00,"$1,116.05",$108.00,$525.90,SVRS Fee as Relier
5036,TOWN OF SCOTT - BROWN COUNTY,$228.00,$200.00,$450.00,$0.00,$0.00,"$2,171.00","$1,820.00",$96.00,Crowd Control Stantions
5040,TOWN OF WRIGHTSTOWN - BROWN COUNTY,$0.00,$0.00,$230.00,$0.00,$0.00,"$3,576.00",$0.00,$645.00,Election equipment maintenance.
5102,VILLAGE OF ALLOUEZ - BROWN COUNTY,$296.00,$0.00,"$1,844.00",$0.00,$50.00,"$7,580.00","$3,376.00",$805.00,"BC supplies & storage $500, BC Hardware Support $83   Number Pads  $67  Paper Rolls $6 Ink Cartridges $132 Stickers $17 "
5104,VILLAGE OF ASHWAUBENON - BROWN COUNTY,$211.57,$0.00,$650.00,$82.50,"$1,024.39","$9,396.36","$1,074.09",$0.00, 
5106,VILLAGE OF BELLEVUE - BROWN COUNTY,$295.00,$283.00,"$1,433.00",$0.00,$0.00,"$3,885.00",$150.00,$0.00,Cell phone
5116,VILLAGE OF DENMARK - BROWN COUNTY,$564.00,$52.68,$53.33,$404.10,$205.24,"$1,140.40",$0.00,$0.00,N/A
5126,VILLAGE OF HOBART - BROWN COUNTY,$211.57,$0.00,"$2,270.00",$82.50,$275.00,"$2,913.00","$1,015.00",$169.50,setup of polling place and tear down after election DPW workers  169.50
5136,VILLAGE OF HOWARD - MULTIPLE COUNTIES,$0.00,$0.00,"$1,705.00",$0.00,"$1,570.00","$15,813.00","$9,000.00",$0.00,0s information not in from the County yet.
5171,VILLAGE OF PULASKI - MULTIPLE COUNTIES,"$1,282.00",$83.00,$358.00,$0.00,$50.00,"$2,799.00","$4,072.00",$985.00,Statewide voter registration system. Brown Co is a provider for Village of Pulaski-Brown and Shawano Counties. 
5178,VILLAGE OF SUAMICO - BROWN COUNTY,$84.00,$82.50,$885.16,$200.00,$50.00,"$6,720.00",$45.00,$50.00,Food on Saturday for workers preparing for the election.
5191,VILLAGE OF WRIGHTSTOWN - MULTIPLE COUNTIES,$211.57,$0.00,$93.40,$82.50,$365.51,"$2,023.25","$2,239.76",$241.06,Mileage
5216,CITY OF DE PERE - BROWN COUNTY,$211.57,$700.00,"$1,805.65",$82.50,"$1,207.15","$13,479.31",$911.88,$0.00,
5231,CITY OF GREEN BAY - BROWN COUNTY,$775.00,$0.00,"$3,887.00",$410.00,"$4,260.00","$59,125.00","$23,610.00",$0.00,
6002,TOWN OF ALMA - BUFFALO COUNTY,$151.43,$0.00,$0.00,$0.00,$0.00,$442.50,$80.00,$0.00,
6004,TOWN OF BELVIDERE - BUFFALO COUNTY,$88.40,$0.00,$7.50,$200.00,$75.00,"$1,150.00",$0.00,$35.00,mileage & misc expenses
6006,TOWN OF BUFFALO - BUFFALO COUNTY,$95.81,$0.00,$7.35,$0.00,$0.00,"$1,014.93",$0.00,$0.00,
6008,TOWN OF CANTON - BUFFALO COUNTY,$83.00,$0.00,$26.00,$20.40,$60.00,$516.00,$0.00,$70.00,Porta Potty
6010,TOWN OF CROSS - BUFFALO COUNTY,$83.97,$7.09,$6.58,$90.00,$0.00,$718.64,$0.00,$0.00,
6016,TOWN OF GLENCOE - BUFFALO COUNTY,$93.10,$0.00,$3.60,$67.50,$30.00,$525.00,$0.00,$76.35,Mileage - 70   Supplies - 6.35
6018,TOWN OF LINCOLN - BUFFALO COUNTY,$30.24,$0.00,$0.94,$299.10,$0.00,$435.00,$0.00,$0.00,
6020,TOWN OF MAXVILLE - BUFFALO COUNTY,$93.87,$10.40,$12.22,$283.76,$128.97,$450.00,$168.86,$400.00,Relier fee paid to Buffalo County.
6022,TOWN OF MILTON - BUFFALO COUNTY,$35.17,$0.00,$9.87,"$1,020.00",$64.00,$570.50,$0.00,$70.00,Portapotty $70
6024,TOWN OF MODENA - BUFFALO COUNTY,$43.07,$0.00,$35.09,$100.00,$0.00,$481.50,$0.00,$0.00,
6026,TOWN OF MONDOVI - BUFFALO COUNTY,$18.60,$0.00,$2.00,$0.00,$0.00,$420.00,$0.00,$0.00,
6028,TOWN OF MONTANA - BUFFALO COUNTY,$50.00,$0.00,$1.00,$0.00,$20.00,$466.25,$40.00,$70.00,Port-o-let Rental 
6030,TOWN OF NAPLES - BUFFALO COUNTY,$43.07,$0.00,$13.49,$0.00,$0.00,$399.89,$0.00,$0.00,
6032,TOWN OF NELSON - BUFFALO COUNTY,$0.00,$0.00,$10.00,$10.00,$10.00,$485.00,$0.00,$0.00,
6034,TOWN OF WAUMANDEE - BUFFALO COUNTY,$75.00,$0.00,$20.00,$100.00,$100.00,$400.00,$50.00,$0.00,
6111,VILLAGE OF COCHRANE - BUFFALO COUNTY,$47.17,$0.00,$10.00,$27.09,$0.00,$500.00,$0.00,$0.00,
6154,VILLAGE OF NELSON - BUFFALO COUNTY,$12.00,$0.00,$0.00,$27.09,$0.00,$450.00,$0.00,$0.00,
6201,CITY OF ALMA - BUFFALO COUNTY,$60.00,$20.00,$60.00,$25.00,$350.00,$720.00,$350.00,$0.00,
6206,CITY OF BUFFALO CITY - BUFFALO COUNTY,$35.17,$75.29,$25.00,$240.00,$5.00,$600.00,$0.00,$0.00,
6251,CITY OF MONDOVI - BUFFALO COUNTY,$50.00,$0.00,$75.00,$50.00,$200.00,"$1,285.00",$350.00,$0.00,
7002,TOWN OF ANDERSON - BURNETT COUNTY,$92.19,$0.00,$10.34,$22.16,$20.00,"$1,002.46",$0.00,$208.00,Mileage
7004,TOWN OF BLAINE - BURNETT COUNTY,$92.19,$0.00,$5.00,$292.16,$50.00,"$1,598.04",$0.00,$0.00,
7006,TOWN OF DANIELS - BURNETT COUNTY,$92.19,$0.00,$33.00,$487.88,$0.00,$777.43,$234.96,$0.00,
7008,TOWN OF DEWEY - BURNETT COUNTY,$92.19,$0.00,$70.21,$128.86,$0.00,$810.00,$0.00,$0.00,
7010,TOWN OF GRANTSBURG - BURNETT COUNTY,$92.18,$0.00,$24.15,$182.16,$73.00,"$2,113.00",$36.00,$42.12,Mileage
7012,TOWN OF JACKSON - BURNETT COUNTY,$412.18,$0.00,$203.92,$707.11,$250.00,$960.00,$425.40,$65.74,
7014,TOWN OF LA FOLLETTE - BURNETT COUNTY,$92.18,$0.00,$25.00,$89.66,$106.25,$953.57,$0.00,$0.00,
7016,TOWN OF LINCOLN - BURNETT COUNTY,$92.18,$0.00,$1.47,$22.16,$0.00,$724.43,$0.00,$0.00,
7018,TOWN OF MEENON - BURNETT COUNTY,$92.18,$0.00,$64.86,$102.16,$0.00,"$1,037.23",$0.00,$0.00,
7020,TOWN OF OAKLAND - BURNETT COUNTY,$92.18,$0.00,$866.25,$22.16,$0.00,"$1,211.25",$350.00,$121.93,pottapotty meals
7022,TOWN OF ROOSEVELT - BURNETT COUNTY,$92.19,$0.00,$5.00,$270.00,$24.00,$675.00,$0.00,$0.00,
7024,TOWN OF RUSK - BURNETT COUNTY,$92.19,$0.00,$25.00,$22.16,$50.00,"$1,111.00",$0.00,$0.00,
7026,TOWN OF SAND LAKE - BURNETT COUNTY,$92.19,$0.00,$9.00,$102.06,$0.00,"$1,592.00",$0.00,$100.00,
7028,TOWN OF SCOTT - BURNETT COUNTY,$92.19,$0.00,$40.73,$102.16,$2.00,"$1,518.16",$0.00,"$1,724.85",
7030,TOWN OF SIREN - BURNETT COUNTY,$92.00,$0.00,$56.00,$182.00,$88.00,"$2,000.00",$0.00,$0.00,
7032,TOWN OF SWISS - BURNETT COUNTY,$323.29,$15.10,$69.00,$301.47,$0.00,"$1,472.72",$0.00,$0.00,
7034,TOWN OF TRADE LAKE - BURNETT COUNTY,$92.19,$0.00,$13.72,$0.00,$0.00,"$2,949.32",$0.00,$0.00,
7036,TOWN OF UNION - BURNETT COUNTY,$114.34,$20.03,$17.68,$136.39,$0.00,"$1,027.07",$0.00,$0.00,
7038,TOWN OF WEBB LAKE - BURNETT COUNTY,$92.19,$0.00,$58.80,$22.15,$50.00,"$1,314.50",$0.00,$0.00,
7040,TOWN OF WEST MARSHLAND - BURNETT COUNTY,$114.34,$0.00,$0.00,$0.00,$0.00,$936.76,$0.00,$0.00,
7042,TOWN OF WOOD RIVER - BURNETT COUNTY,$92.19,$0.00,$32.90,$102.15,$50.00,"$2,172.90",$0.00,$0.00,
7131,VILLAGE OF GRANTSBURG - BURNETT COUNTY,$92.19,$162.50,$84.64,$219.35,$0.00,"$1,879.23",$0.00,$0.00,
7181,VILLAGE OF SIREN - BURNETT COUNTY,$92.69,$0.00,$13.24,$102.15,$78.00,$674.00,$0.00,$0.00,
7191,VILLAGE OF WEBSTER - BURNETT COUNTY,$92.19,$0.00,$30.38,$102.15,$0.00,"$1,133.35",$0.00,$0.00,
8002,TOWN OF BRILLION - CALUMET COUNTY,$211.00,$0.00,$220.00,$0.00,$310.00,"$1,478.00",$0.00,$0.00,
8004,TOWN OF BROTHERTOWN - CALUMET COUNTY,$0.00,$0.00,$198.00,$50.00,$0.00,"$1,120.00",$0.00,$0.00,
8006,TOWN OF CHARLESTOWN - CALUMET COUNTY,$64.00,$0.00,$5.00,$30.00,$0.00,$910.00,$140.00,$0.00,
8008,TOWN OF CHILTON - CALUMET COUNTY,$90.00,$0.00,$90.00,$0.00,$0.00,"$1,098.00",$0.00,$0.00,
8010,TOWN OF HARRISON - CALUMET COUNTY,$150.00,$250.00,$75.00,$50.00,$100.00,"$1,170.00",$800.00,$0.00,
8012,TOWN OF NEW HOLSTEIN - CALUMET COUNTY,$239.08,$0.00,$86.31,$63.00,$111.95,$890.86,$340.00,$0.00,
8014,TOWN OF RANTOUL - CALUMET COUNTY,$84.00,$0.00,$100.00,$25.00,$39.25,$757.97,$0.00,$0.00,
8016,TOWN OF STOCKBRIDGE - CALUMET COUNTY,$25.00,$0.00,$515.00,$126.00,$500.00,"$1,137.00",$0.00,$0.00,
8018,TOWN OF WOODVILLE - CALUMET COUNTY,$50.00,$0.00,$240.00,$100.00,$150.00,$640.00,$100.00,$35.00,"PRINTING OF ELECTION MATERIALS,TRAINING MATERIALS, MAILING OF POLLWORKERS SCHEDULE"
8131,VILLAGE OF HARRISON - MULTIPLE COUNTIES,$150.00,$250.00,$75.00,$50.00,$100.00,"$2,200.00",$800.00,$0.00,
8136,VILLAGE OF HILBERT - CALUMET COUNTY,$120.00,$150.00,$15.00,$50.00,$25.00,$540.00,$0.00,$62.00,Meals for election Workers
8160,VILLAGE OF POTTER - CALUMET COUNTY,$0.00,$0.00,$2.50,$40.00,$0.00,$590.00,$0.00,$0.00,
8179,VILLAGE OF SHERWOOD - CALUMET COUNTY,$100.00,$500.00,$100.00,$0.00,$0.00,"$3,157.00",$0.00,$0.00,
8181,VILLAGE OF STOCKBRIDGE - CALUMET COUNTY,$425.00,$0.00,$200.00,$0.00,$525.00,"$1,200.00",$0.00,$0.00,
8206,CITY OF BRILLION - CALUMET COUNTY,"$1,289.23",$184.18,$319.26,$0.00,$0.00,"$1,985.83",$0.00,$0.00,
8211,CITY OF CHILTON - CALUMET COUNTY,$250.00,$0.00,$100.00,$425.00,$250.00,"$2,000.00","$2,500.00",$0.00,
8261,CITY OF NEW HOLSTEIN - CALUMET COUNTY,$279.65,$0.00,$67.51,$161.82,$0.00,"$1,552.00",$0.00,$0.00,
9002,TOWN OF ANSON - CHIPPEWA COUNTY,$14.00,$0.00,$53.00,$71.00,$50.00,"$1,175.00",$0.00,$169.00,"Mileage, copy machine control"
