"","ObjectID","full_addr","County"
"69343",69343,"7315 S WILLIAMS LN, HAWTHORNE WI 54842","Douglas County"
"73773",73773,"520 APPLE ST APT 1, DICKEYVILLE WI 53808-6870","Grant County"
"75681",75681,"N956 WHITNEY ST, DALE WI 54931","Outagamie County"
"76267",76267,"135C Grand Canyon Dr UNIT 206, LAKE DELTON WI 53940","Sauk County"
"76917",76917,"N2665 COUNTY ROAD QQ UNIT OH446, KING WI 54946-0600","Waupaca County"
"77890",77890,"222 SKYLINE DR, FRANCIS CREEK WI 54214","Manitowoc County"
"79543",79543,"721 6TH ST, MATTOON WI 54450","Shawano County"
"81513",81513,"85C GRAND CANYON DR APT 209, LAKE DELTON WI 53940","Sauk County"
"82563",82563,"331 BLY ST, FOOTVILLE WI 53537","Rock County"
"82823",82823,"495 BAUER LN, WYOCENA WI 53969","Columbia County"
"82854",82854,"7211 Irene""s Way	WISCONSIN RAPIDS WI 54495-9340				7211	Irene""s Way,"," "
"83199",83199,"9540 MAPLE GROVE RD, EPHRAIM WI 54211","Door County"
"83275",83275,"9695 COUNTY ROAD SS, NELSONVILLE WI 54458","Portage County"
"83995",83995,","," "
"84189",84189,"N5706 Oak St, Green Valley WI 54127","Shawano County"
"84874",84874,"N2665 COUNTY ROAD QQ UNIT MH222, KING WI 54946-0600","Waupaca County"
"84968",84968,"202 E MAIN ST, HUSTLER WI 54637-1300","Juneau County"
"85293",85293,"5935 OAK LANE DR, BUTTE DES MORTS WI 54927-9319","Winnebago County"
"85557",85557,"310 BROADWAY AVE N, HAUGEN WI 54841","Barron County"
"85723",85723,"N8874 CHURCH ST, FOREST JUNCTION WI 54123","Calumet County"
"85755",85755,"510 PARK ST, DICKEYVILLE WI 53808-6853","Grant County"
"87974",87974,"210 MARGIE AVE, DICKEYVILLE WI 53808","Grant County"
"89769",89769,"856 PICKETT AVE, WINNEBAGO WI 54985","Winnebago County"
"90142",90142,"28878 COUNTY HWY B, SEXTONVILLE WI 53584","Richland County"
"93224",93224,"5000 W NATIONAL AVE 111, MILWAUKEE WI 53295-0001","Milwaukee County"
"93372",93372,"W232 N7638 HABITAT CT, SUSSEX WI 50389","Waukesha County"
"94099",94099,"W310S4180 MCALLISTER WAY, GENESEE DEPOT WI 53127","Waukesha County"
"96479",96479,"3744 DELAVAL ST, KIELER WI 53812","Grant County"
"96495",96495,"3665 HICKORY CT, KIELER WI 53812","Grant County"
"96696",96696,"805 LANDIS ST, COLLINS WI 54207","Manitowoc County"
"96856",96856,"200 N Main St, MOUNT STERLING WI 54645","Crawford County"
"97144",97144,"N1788 COUNTY ROAD R APT 3, LEBANON WI 53047","Dodge County"
"98614",98614,"2778 COUNTY ROAD B DUPLICATE, FLORENCE WI 99999","Florence County"
"98662",98662,"202 MAIN ST N, HAUGEN WI 54841-4400","Barron County"
"101311",101311,"4632 MAPLE ST, MORRISONVILLE WI 53571","Dane County"
"103244",103244,"N2665 COUNTY ROAD QQ, KING WI 54946-0600","Waupaca County"
"103318",103318,"3635 HILL CLIMB RD, DICKEYVILLE WI 53808","Grant County"
"104183",104183,"310 W MAIN ST, DICKEYVILLE WI 53808-6842","Grant County"
"104486",104486,"303 RITA AVE, DICKEYVILLE WI 53808-6859","Grant County"
"104812",104812,"328 WOOD ST, PATCH GROVE WI 53817","Grant County"
"108161",108161,"201 GRANT ST APT 70, WYOCENA WI 53969","Columbia County"
"112404",112404,"N8747 CHURCH ST, FOREST JUNCTION WI 54123","Calumet County"
"112946",112946,"490 PARK ST, DICKEYVILLE WI 53808-6852","Grant County"
"113239",113239,"244 ROSALYN ST, DICKEYVILLE WI 53808-6861","Grant County"
"116949",116949,"9557 JEROME ST, NELSONVILLE WI 54458","Portage County"
"117225",117225,"W3055 LINCOLN ST, DOYLESTOWN WI 53928","Columbia County"
"117484",117484,"3701 DROESSLER CT, KIELER WI 53812","Grant County"
"117565",117565,"600 APPLE ST, DICKEYVILLE WI 53808-6810","Grant County"
"117933",117933,"4629 MEADOWLARK DR, MORRISONVILLE WI 53571","Dane County"
"122092",122092,"5139 LAKEWIND DR, BUTTE DES MORTS WI 54927-9313","Winnebago County"
"125690",125690,"4651 MAPLE ST, MORRISONVILLE WI 53571","Dane County"
"128539",128539,"3090 COUNTY ROAD Q, NELSONVILLE WI 54458","Portage County"
"129725",129725,"5041 WASHINGTON ST, BUTTE DES MORTS WI 54927-9326","Winnebago County"
"129837",129837,"445 PARK ST, DICKEYVILLE WI 53808","Grant County"
"130234",130234,"440 W MAIN ST, DICKEYVILLE WI 53808-6843","Grant County"
"131822",131822,"30804 114TH ST, WILMOT WI 53192","Kenosha County"
"133576",133576,"W282N6836 MAIN ST, MERTON WI 53056","Waukesha County"
"133911",133911,"300 E MAIN ST LOT 50, SAINT NAZIANZ WI 54232","Manitowoc County"
"136808",136808,"340 ROSALYN ST, DICKEYVILLE WI 53808-6862","Grant County"
"136866",136866,"2731 QUINCY ST, WAUKAU WI 54980","Winnebago County"
"137884",137884,"107 E MAIN ST, ST NAZIANZ WI 54232","Manitowoc County"
"138257",138257,"504 LAUREL DR, FRANCIS CREEK WI 54214","Manitowoc County"
"139603",139603,"3722 DELAVAL ST, KIELER WI 53812","Grant County"
"140647",140647,"3722 DELEVAL ST, KIELER WI 53812","Grant County"
"140728",140728,"540 PARK ST, DICKEYVILLE WI 53808-6853","Grant County"
"140802",140802,"3642 IRENUS CT, KIELER WI 53812","Grant County"
"143783",143783,"3629 COUNTY ROAD HHH, KIELER WI 53812","Grant County"
"144123",144123,"W2455 OAK ST APT 3, ASHIPPUN WI 53003","Dodge County"
"144293",144293,"213 MAUREEN ST, DICKEYVILLE WI 53808-6846","Grant County"
"144892",144892,"931 LANDIS ST, COLLINS WI 54207","Manitowoc County"
"149107",149107,"5133 ADAMS ST, BUTTE DES MORTS WI 54927-9302","Winnebago County"
"149590",149590,"3652 COUNTY ROAD HHH, KIELER WI 53812","Grant County"
"151993",151993,"N905 DALE AVE, DALE WI 54931","Outagamie County"
"154034",154034,"W2602 ELM ST, ASHIPPUN WI 53003","Dodge County"
"154451",154451,"N5965 WESTHAVEN DRIVE, FOND DU LAC WI 54937-____","Fond du Lac County"
"156476",156476,"206 FUR DR, ST NAZIANZ WI 54232","Manitowoc County"
"164066",164066,"25 PENCE ST APT 2, GILE WI 54525","Iron County"
"164664",164664,"105 SCOOPS DR APT 1, DICKEYVILLE WI 53808","Grant County"
"165362",165362,"W2617 ELM ST, ASHIPPUN WI 53003","Dodge County"
"165877",165877,"3735 WIEDERHOLT DR, KIELER WI 53812","Grant County"
"167255",167255,"209 BELLEVUE ST, EMBARRASS WI 54933","Waupaca County"
"167850",167850,"5946 OAK LANE DR, BUTTE DES MORTS WI 54927-9319","Winnebago County"
"168217",168217,"335 MAIN ST, UNION CENTER WI 53962","Juneau County"
"174532",174532,"1000 NORTHPARK CT, DICKEYVILLE WI 53808-6850","Grant County"
"175317",175317,"9700 276TH AVE, CAMP LAKE WI 53109","Kenosha County"
"176251",176251,"245 ROSALYN ST APT 3, DICKEYVILLE WI 53808","Grant County"
"176568",176568,"425 W MAIN ST, DICKEYVILLE WI 53808-6843","Grant County"
"177596",177596,"510 APPLE ST B, DICKEYVILLE WI 53808-6809","Grant County"
"178005",178005,"5872 CRESTVIEW DR, BUTTE DES MORTS WI 54927-9303","Winnebago County"
"179746",179746,"315 BLY ST, FOOTVILLE WI 53537","Rock County"
"180785",180785,"W4455 RIVER BEND DR, HINGHAM WI 53031","Sheboygan County"
"182696",182696,"5774 ERIE ST, BUTTE DES MORTS WI 54927","Winnebago County"
"184024",184024,"137 W POLK ST, WYOCENA WI 53969","Columbia County"
"185273",185273,"300 E MAIN ST LOT 31, SAINT NAZIANZ WI 54232","Manitowoc County"
"186234",186234,"118 S MAIN ST, DICKEYVILLE WI 53808-6836","Grant County"
"187509",187509,"5497 BROOKVIEW DR, GRAND CHUTE WI 99999","Outagamie County"
"187761",187761,"W2110 CAMPGROUND RD, FOREST JUNCTION WI 54123","Calumet County"
"189165",189165,"4119 PLEASANT LN, MOUNT PLEASANT WI 99999","Racine County"
"189259",189259,"6430 BLACK LAKE RD, MC NAUGHTON WI 54543","Oneida County"
"192067",192067,"26 TORONTO ST, GILE WI 54525-9722","Iron County"
"194852",194852,"W2377 US HIGHWAY 10 LOT 22, FOREST JUNCTION WI 54123-9702","Calumet County"
"195983",195983,"5835 LAKEWIND DR, BUTTE DES MORTS WI 54927-9314","Winnebago County"
"197393",197393,"7833 CLINTON RD, MORRISONVILLE WI 53571","Dane County"
"197701",197701,"132 PARK ST, FOOTVILLE WI 53537","Rock County"
"199046",199046,"24 NIMIKON ST, GILE WI 54525-9708","Iron County"
"201593",201593,"W5989 MAIN ST, PACKWAUKEE WI 53953","Marquette County"
"201911",201911,"1000 DAY ST APT 116, RHINELANDER WI 99999","Oneida County"
"201912",201912,"1000 DAY ST APT 201, RHINELANDER WI 99999","Oneida County"
"201916",201916,"1000 DAY ST APT 213, RHINELANDER WI 99999","Oneida County"
"202217",202217,"40099 WINSAND DR, PIGEON FALLS WI 54760","Trempealeau County"
"202616",202616,"225 DROESSLER DR, DICKEYVILLE WI 53808-6826","Grant County"
"202629",202629,"125 S MAIN ST, DICKEYVILLE WI 53808-6836","Grant County"
"204321",204321,"36 PENNSYLVANIA AVE, GILE WI 54525","Iron County"
"204987",204987,"W6061 COUNTY ROAD D, PACKWAUKEE WI 53953","Marquette County"
"205503",205503,"N672 CENTER ST, PHLOX WI 54464","Langlade County"
"207022",207022,"28896 MCNURLIN ST, GOTHAM WI 53540","Richland County"
"207597",207597,"33041 WISCONSIN ST, GOTHAM WI 53540-9701","Richland County"
"207733",207733,"28999 UNIVERSITY ST, GOTHAM WI 53540-9714","Richland County"
"207753",207753,"28953 Adams St, GOTHAM WI 53540","Richland County"
"208943",208943,", Inactive"," "
"213109",213109,"3621 MEGAN RD, KIELER WI 53812","Grant County"
"213268",213268,"E4508 COUNTY ROAD C, DOWNSVILLE WI 54735","Dunn County"
"213559",213559,"33A GRAND CANYON DR APT 103, LAKE DELTON WI 53940","Sauk County"
"213774",213774,"3188 STATE ROAD JG NORTH, MOUNT HOREB WI 99999","Dane County"
"214270",214270,"615 NORTH AVE, MATTOON WI 54450","Shawano County"
"214842",214842,"6857 S COUNTY RD E, HAWTHORNE WI 54842","Douglas County"
"216213",216213,"2202 CLARK ST, WOODFORD WI 53599","Lafayette County"
"216876",216876,"214 W MAIN ST, HUSTLER WI 54637-1305","Juneau County"
"216893",216893,"208 E MAIN ST, HUSTLER WI 54637-1300","Juneau County"
"219241",219241,"10203 HIGH FISHTRAP LAKE RD, BOULDER JUNCTION WI 54444","Vilas County"
"222462",222462,"N24W24280 SADDLE BROOK DR APT 2, PEWAUKEE WI 54444","Waukesha County"
"224108",224108,"216393 OTTER LN, MOSINEE WI 54444","Marathon County"
"224198",224198,"230 3RD ST APT 1, DICKEYVILLE WI 53808-6803","Grant County"
"224944",224944,"1875 W PINE ST APT 109, WEST BARABOO WI 99999","Sauk County"
"225575",225575,"30614 113TH ST, WILMOT WI 53192","Kenosha County"
"227595",227595,"35 MC CROSSEN ST, GILE WI 54525-9717","Iron County"
"229299",229299,"W6795 COFFEY RD, MILLSTON WI 54643","Jackson County"
"229609",229609,"32120 RODAZA DR, ROCHESTER WI 53167","Racine County"
"229822",229822,"3379 STATE HIGHWAY 42, EPHRAIM WI 54211","Door County"
"230869",230869,"409 WOODLAWN AVE, ROCHESTER WI 53167","Racine County"
"231271",231271,"W10083 PEPIN VIEW N LANE, PEPIN WI 57459","Pepin County"
"231442",231442,"2001 ALFORD PARK DR Null, KENOSHA WI 99999","Kenosha County"
"231939",231939,"30604 113TH ST, WILMOT WI 53192","Kenosha County"
"232002",232002,"5879 LAKEWIND DR, BUTTE DES MORTS WI 54927-9314","Winnebago County"
"232612",232612,"40 NIMIKON ST, GILE WI 54525-9710","Iron County"
"236911",236911,"N2665 COUNTY ROAD QQ UNIT OH308, KING WI 54946","Waupaca County"
"237231",237231,"401 4TH ST W 7, HAUGEN WI 54841","Barron County"
"237433",237433,"N68W25741 VICTORIA CIR, LISBON WI 54444","Waukesha County"
"237840",237840,"505 PARK ST, DICKEYVILLE WI 53808-6853","Grant County"
"241324",241324,"4661 COUNTY ROAD DM, MORRISONVILLE WI 53571","Dane County"
"242646",242646,"5700 TUSCANY LN, WESTPORT WI 99999","Dane County"
"243160",243160,"N3477 LIBERTY ST, PACKWAUKEE WI 53953","Marquette County"
"243193",243193,"W5931 COUNTY ROAD C, PACKWAUKEE WI 53953","Marquette County"
"245084",245084,"N2665 COUNTY ROAD QQ UNIT AH433A, KING WI 54946-0600","Waupaca County"
"245093",245093,"N2665 COUNTY ROAD QQ UNIT AH433B, KING WI 54946-0600","Waupaca County"
"245104",245104,"N2665 COUNTY ROAD QQ UNIT AH352B, KING WI 54946","Waupaca County"
"245107",245107,"N2665 COUNTY ROAD QQ UNIT AH329A, KING WI 54946","Waupaca County"
"245115",245115,"N2665 COUNTY ROAD QQ UNIT AH259B, KING WI 54946","Waupaca County"
"245125",245125,"N2665 COUNTY ROAD QQ UNIT AH329B, KING WI 54946-0600","Waupaca County"
"245473",245473,"N2665 COUNTY ROAD QQ UNIT MH242, KING WI 54946","Waupaca County"
"246373",246373,"3142 S HANCOCK ST, EDMUND WI 53535","Iowa County"
"246829",246829,"9650 EPHRAIM BLUFF LN, EPHRAIM WI 54211","Door County"
"246852",246852,"4644 MEADOWLARK DR, MORRISONVILLE WI 53571","Dane County"
"246970",246970,"220 SKYLINE DR, FRANCIS CREEK WI 54214","Manitowoc County"
"247047",247047,"3421 NORTON ST APT 205, WISCONSIN RAPIDS WI 99999","Wood County"
"248926",248926,"28 EAGLES NEST, LAKE DELTON WI 53940","Sauk County"
"248948",248948,"W243N2358 SADDLE BROOK DR APT 107, PEWAUKEE WI 54444","Waukesha County"
"249019",249019,"810 Collins Street, CLYMAN WI 53016","Dodge County"
"249158",249158,"500 APPLE ST APT 3, DICKEYVILLE WI 53808","Grant County"
"249587",249587,"971 SPRING CT, NEWBURG WI 53060","Washington County"
"249817",249817,"W279N5483 HANOVER HILL RD, LISBON WI 54444","Waukesha County"
"250879",250879,"13145 OLD HIGHWAY 11, MOUNT PLEASANT WI 99999","Racine County"
"251473",251473,"9617 W HAMPTON AVE APT 107, WAUWATOSA WI 54444","Milwaukee County"
"251802",251802,"W2096 US HIGHWAY 10, FOREST JUNCTION WI 54123","Calumet County"
"252201",252201,"N530 MAIN ST, ASHIPPUN WI 53003","Dodge County"
"253685",253685,"W4717 SCOTT LN, LEBANON WI 53047","Dodge County"
"253815",253815,"810 RIVERVIEW LN, EMBARRASS WI 54933","Waupaca County"
"255928",255928,"380 PARK DR 1, LAKE DELTON WI 53940","Sauk County"
"256256",256256,"15 NIMIKON ST, GILE WI 54525-9707","Iron County"
"256277",256277,"33 NIMIKON ST, GILE WI 54525-9709","Iron County"
"257257",257257,"316 MARKET ST, POTTER WI 54160","Calumet County"
"257326",257326,"312 RIVERDALE CT, POTTER WI 54160","Calumet County"
"257391",257391,"181 RIVERDALE DR, POTTER WI 54160","Calumet County"
"258824",258824,"4986 WASHINGTON ST, BUTTE DES MORTS WI 54927-9325","Winnebago County"
"259923",259923,"25 PENCE ST, GILE WI 54525-9723","Iron County"
"260439",260439,"N2665 COUNTY ROAD QQ OVE HALL, KING WI 54946","Waupaca County"
"262605",262605,"232 MAIN STREET, SENECA WI 54654","Crawford County"
"262642",262642,"4706 COUNTY ROAD DM, MORRISONVILLE WI 53571","Dane County"
"263078",263078,"7805 CLINTON RD, MORRISONVILLE WI 53571","Dane County"
"263510",263510,"5322 S MADISON ST, AFTON WI 53501","Rock County"
"263889",263889,"258 5TH ST, MOUNT STERLING WI 54645","Crawford County"
"263901",263901,"124 WOODHAVEN LN, EMBARRASS WI 54933","Waupaca County"
"264809",264809,"304 MARKET ST, HUSTLER WI 54637","Juneau County"
"264855",264855,"209 W MAIN ST, HUSTLER WI 54637-1305","Juneau County"
"265606",265606,"W6563 US HIGHWAY 12, MILLSTON WI 54643","Jackson County"
"265642",265642,"N3436 CRANMAR RD, MILLSTON WI 54643","Jackson County"
"266917",266917,"930 42ND ST LOWR, KENOSHA WI 99999","Kenosha County"
"267108",267108,"5809 380TH AVE, NEW MUNSTER WI 53152","Kenosha County"
"271808",271808,"N914 DALE AVE, DALE WI 54931","Outagamie County"
"272040",272040,"2682 QUINCY ST, WAUKAU WI 54980","Winnebago County"
"272891",272891,"2253 COUNTY ROAD Y, WOODFORD WI 53599-9702","Lafayette County"
"273077",273077,"W2072 HARRISON ST, FOREST JUNCTION WI 54123","Calumet County"
"273193",273193,"W2150 CAMPGROUND RD, FOREST JUNCTION WI 54123","Calumet County"
"273220",273220,"N928 MAPLE LANE, DALE WI 54931","Outagamie County"
"273386",273386,"N8855 CHURCH ST, FOREST JUNCTION WI 54123","Calumet County"
"273624",273624,"3722 CORONADO ST APT 2, KIELER WI 53812","Grant County"
"275855",275855,"3724 W FIFTH ST, AFTON WI 53501","Rock County"
"278126",278126,"11110 306TH AVE, WILMOT WI 53192","Kenosha County"
"278622",278622,"N680 CENTER STREET, PHLOX WI 54464","Langlade County"
"279133",279133,"W7097 STATE HIGHWAY 47, PHLOX WI 54464","Langlade County"
"280375",280375,"440 TOWER RD, WYOCENA WI 53969","Columbia County"
"280377",280377,"370 BLAINE ST, WYOCENA WI 53969","Columbia County"
"280384",280384,"210 GRANT ST, WYOCENA WI 53969","Columbia County"
"280389",280389,"346 LINCOLN ST, WYOCENA WI 53969","Columbia County"
"280395",280395,"450 SKARE RD APT 4, WYOCENA WI 53969","Columbia County"
"280425",280425,"463 N POLK ST, WYOCENA WI 53969","Columbia County"
"280773",280773,"133 COLLEGE ST, PATCH GROVE WI 53817","Grant County"
"281585",281585,"13137 MAIN STREET, PIGEON FALLS WI 54760","Trempealeau County"
"283260",283260,"403 CENTER CIRCLE, CLYMAN WI 53016","Dodge County"
"284595",284595,"408 N MAIN ST, PATCH GROVE WI 53817","Grant County"
"285101",285101,"N566 STATION ST, ZENDA WI 53195","Walworth County"
"285217",285217,"253 DOVE CIR, NEWBURG WI 53060","Washington County"
"286425",286425,"W282N7123 MAIN ST, MERTON WI 53056","Waukesha County"
"286710",286710,"203 MEMORY LN, FRANCIS CREEK WI 54444","Manitowoc County"
"286732",286732,"203 MEMORY LN, FRANCIS CREEK WI 54214","Manitowoc County"
"287283",287283,"30717 112TH ST, WILMOT WI 53192","Kenosha County"
"287288",287288,"W2115 KELLER ST, FOREST JUNCTION WI 54123","Calumet County"
"287330",287330,"W9792 STATE ROAD 96, DALE WI 54931","Outagamie County"
"287435",287435,"8746 392ND AVE, POWERS LAKE WI 53159","Kenosha County"
"288059",288059,"128 CHURCH CT 157, FOOTVILLE WI 53537","Rock County"
"289084",289084,"N2665 COUNTY ROAD QQ UNIT MH311B, KING WI 54946-0600","Waupaca County"
"289957",289957,"5322 S MADISON ST 71, AFTON WI 53501","Rock County"
"290448",290448,"305 W MAIN, NEWBURG WI 53060","Washington County"
"290470",290470,"719 W MAIN ST APT B, NEWBURG WI 53060","Washington County"
"290985",290985,"3151 LIBERTY ST, EUREKA WI 54934-9700","Winnebago County"
"291002",291002,"3068 COUNTY ROAD E, EUREKA WI 54934-9711","Winnebago County"
"291004",291004,"2652 STATE ROAD 116, WAUKAU WI 54980-9800","Winnebago County"
"291050",291050,"820 CIRCLE VIEW CIR, CLYMAN WI 53016","Dodge County"
"291058",291058,"820 CIRCLEVIEW CIRCLE, CLYMAN WI 53016","Dodge County"
"291059",291059,"500 MAIN ST APT 7, CLYMAN WI 53016","Dodge County"
"291359",291359,"5885 LAKEWIND DR, BUTTE DES MORTS WI 54927-9314","Winnebago County"
"291364",291364,"5760 HURON ST, BUTTE DES MORTS WI 54927-9326","Winnebago County"
"292381",292381,"W4762 COUNTY ROAD MM, LEBANON WI 53047","Dodge County"
"292937",292937,"2263 CLARK ST, WOODFORD WI 53599","Lafayette County"
"292946",292946,"10648 COUNTY ROAD M, WOODFORD WI 53599-9705","Lafayette County"
"293071",293071,"309 E MAIN ST, HUSTLER WI 54637-1302","Juneau County"
"294067",294067,"500 MAIN ST APT 3, CLYMAN WI 53016","Dodge County"
"294633",294633,"N2665 COUNTY ROAD QQ UNIT MH377B, KING WI 54946-0600","Waupaca County"
"295353",295353,"2807 STATE HWY 116 BOX 123, WAUKAU WI 54980","Winnebago County"
"295736",295736,"W9728 MEADOWVIEW DR, DALE WI 54931","Outagamie County"
"297346",297346,"500 PARK ST, DICKEYVILLE WI 53808-6853","Grant County"
"299407",299407,"10333 N CORAL HILL RD, EPHRAIM WI 54211","Door County"
"299441",299441,"985 SPRING CT UNIT 27, NEWBURG WI 53060","Washington County"
"300829",300829,"110 S MAIN ST, DICKEYVILLE WI 53808-6836","Grant County"
"301459",301459,"W2439 OAK ST, ASHIPPUN WI 53003","Dodge County"
"301870",301870,"N2665 COUNTY ROAD QQ UNIT SH463, KING WI 54946-0600","Waupaca County"
"301904",301904,"N2665 COUNTY ROAD QQ UNIT OH503, KING WI 54946","Waupaca County"
"301906",301906,"N2665 COUNTY ROAD QQ UNIT OH523, KING WI 54946-0600","Waupaca County"
"301909",301909,"N2665 COUNTY ROAD QQ UNIT OH265C, KING WI 54946-0600","Waupaca County"
"302460",302460,"13197 CHURCH ST, PIGEON FALLS WI 54760","Trempealeau County"
"304159",304159,"N2665 COUNTY ROAD QQ UNIT OH420, KING WI 54946","Waupaca County"
"304160",304160,"N2665 COUNTY ROAD QQ UNIT OH468, KING WI 54946","Waupaca County"
"305877",305877,"223 QUAIL CIRCLE, NEWBURG WI 53060","Washington County"
"307081",307081,"224 SKYLINE DR, FRANCIS CREEK WI 54214","Manitowoc County"
"307156",307156,"213 MEMORY LN, FRANCIS CREEK WI 54214","Manitowoc County"
"307398",307398,"20 MC CROSSEN ST, GILE WI 54525-9716","Iron County"
"307399",307399,"25 OSHKOSH ST, GILE WI 54525","Iron County"
"307546",307546,"318 CENTRAL ST, POTTER WI 54160","Calumet County"
"308389",308389,"73359 LEMIEUX RD, ODANAH WI 54861","Ashland County"
"308580",308580,"3711 CORONADO ST, KIELER WI 53812","Grant County"
"308658",308658,"W2440 ELM ST, ASHIPPUN WI 53003","Dodge County"
"309582",309582,"N507 ASH ST, ASHIPPUN WI 53003","Dodge County"
"309892",309892,"N582 PLEASANT ST, ZENDA WI 53195","Walworth County"
"310042",310042,"4656 COUNTY ROAD DM, MORRISONVILLE WI 53571","Dane County"
