,MUNICIPAL,ZIP,POLLING LOCATION,address,address2,full_addr
BALDWIN SCHOOL DIST.,BALDWIN BORO,15227,W.R. PAYNTER ELEMENTARY SCHOOL- 3454 PLEASANTVUE DR., 3454 PLEASANTVUE DR.," 3454 PLEASANTVUE DR., BALDWIN BORO"," 3454 PLEASANTVUE DR., BALDWIN BORO, Pennsylvania, 15227"
BALDWIN SCHOOL DIST.,BALDWIN BORO,15236,MCANNULTY ELEMENTARY SCHOOL- 5151 MCANNULTY RD., 5151 MCANNULTY RD.," 5151 MCANNULTY RD., BALDWIN BORO"," 5151 MCANNULTY RD., BALDWIN BORO, Pennsylvania, 15236"
BALDWIN SCHOOL DIST.,BALDWIN BORO,15227,W.R. PAYNTER ELEMENTARY SCHOOL- 3454 PLEASANTVUE DR.  , 3454 PLEASANTVUE DR.  ," 3454 PLEASANTVUE DR.  , BALDWIN BORO"," 3454 PLEASANTVUE DR.  , BALDWIN BORO, Pennsylvania, 15227"
MUNICIPAL OWNED BLDG,BALDWIN BORO,15227,BOROUGH OF BALDWIN MUNICIPAL BUILDING- 3344 CHURCHVIEW AVE., 3344 CHURCHVIEW AVE.," 3344 CHURCHVIEW AVE., BALDWIN BORO"," 3344 CHURCHVIEW AVE., BALDWIN BORO, Pennsylvania, 15227"
BALDWIN SCHOOL DIST.,BALDWIN BORO,15236,MCANNULTY ELEMENTARY SCHOOL- 5151 MCANNULTY RD. , 5151 MCANNULTY RD. ," 5151 MCANNULTY RD. , BALDWIN BORO"," 5151 MCANNULTY RD. , BALDWIN BORO, Pennsylvania, 15236"
BALDWIN SCHOOL DIST.,BALDWIN BORO,15227,WALLACE BUILDING- 41 MACEK DR., 41 MACEK DR.," 41 MACEK DR., BALDWIN BORO"," 41 MACEK DR., BALDWIN BORO, Pennsylvania, 15227"
MUNICIPAL OWNED BLDG,BALDWIN  TWP,15234,MUNICIPAL BUILDING- 10 COMMUNITY PARK DR., 10 COMMUNITY PARK DR.," 10 COMMUNITY PARK DR., BALDWIN  TWP"," 10 COMMUNITY PARK DR., BALDWIN  TWP, Pennsylvania, 15234"
MUNICIPAL OWNED BLDG,BALDWIN  TWP,15234,MUNICIPAL BUILDING- 10 COMMUNITY PARK DR., 10 COMMUNITY PARK DR.," 10 COMMUNITY PARK DR., BALDWIN  TWP"," 10 COMMUNITY PARK DR., BALDWIN  TWP, Pennsylvania, 15234"
VOL FIRE STATIONS,BELL ACRES,15143,BELL ACRES V .F.C.- 1850 BIG SEWICKLEY CREEK, 1850 BIG SEWICKLEY CREEK," 1850 BIG SEWICKLEY CREEK, BELL ACRES"," 1850 BIG SEWICKLEY CREEK, BELL ACRES, Pennsylvania, 15143"
UNION HALL,BELLEVUE,15202,ROOFERS LOCAL #37 UNION HALL- 230 LINCOLN AVE., 230 LINCOLN AVE.," 230 LINCOLN AVE., BELLEVUE"," 230 LINCOLN AVE., BELLEVUE, Pennsylvania, 15202"
CHURCH/TEMPLE,BELLEVUE,15202,NORTHMINSTER CHURCH- 45 N FREMONT ST, 45 N FREMONT ST," 45 N FREMONT ST, BELLEVUE"," 45 N FREMONT ST, BELLEVUE, Pennsylvania, 15202"
NORTHGATE SCHOOL DIST.,BELLEVUE,15202,BELLEVUE ELEMENTARY SCHOOL- 435 LINCOLN AVE., 435 LINCOLN AVE.," 435 LINCOLN AVE., BELLEVUE"," 435 LINCOLN AVE., BELLEVUE, Pennsylvania, 15202"
CHURCH/TEMPLE,BELLEVUE,15202,CENTER OF BELLEVUE-2 NORTH SPRAGUE ST,2 NORTH SPRAGUE ST,"2 NORTH SPRAGUE ST, BELLEVUE","2 NORTH SPRAGUE ST, BELLEVUE, Pennsylvania, 15202"
VOL FIRE STATIONS,BELLEVUE,15202,BELLEVUE BOROUGH COUNCIL CHAMBERS- 537 BAYNE AVE., 537 BAYNE AVE.," 537 BAYNE AVE., BELLEVUE"," 537 BAYNE AVE., BELLEVUE, Pennsylvania, 15202"
VOL FIRE STATIONS,BELLEVUE,15202,BELLEVUE BOROUGH COUNCIL CHAMBERS- 537 BAYNE AVE., 537 BAYNE AVE.," 537 BAYNE AVE., BELLEVUE"," 537 BAYNE AVE., BELLEVUE, Pennsylvania, 15202"
MUNICIPAL OWNED BLDG,BEN AVON,15202,BEN AVON BORO FIRE STATION 1ST FL- 7219 CHURCH AVE, 7219 CHURCH AVE," 7219 CHURCH AVE, BEN AVON"," 7219 CHURCH AVE, BEN AVON, Pennsylvania, 15202"
MUNICIPAL OWNED BLDG,BEN AVON,15202,BEN AVON BORO FIRE STATION 1ST FL- 7219 CHURCH AVE, 7219 CHURCH AVE," 7219 CHURCH AVE, BEN AVON"," 7219 CHURCH AVE, BEN AVON, Pennsylvania, 15202"
COMMUNITY CENTER,BEN AVON HGTS,15202,SHANNOPIN COUNTRY CLUB- 1 WINDMERE RD. , 1 WINDMERE RD. ," 1 WINDMERE RD. , BEN AVON HGTS"," 1 WINDMERE RD. , BEN AVON HGTS, Pennsylvania, 15202"
COMMUNITY CENTER,BETHEL PARK,15102,BETHEL PARK COMMUNITY CENTER-5151 PARK AVE,5151 PARK AVE,"5151 PARK AVE, BETHEL PARK","5151 PARK AVE, BETHEL PARK, Pennsylvania, 15102"
BETHEL PARK SCHOOL DIST.,BETHEL PARK,15102,BENJAMIN FRANKLIN SCHOOL GYM- 5400 FLORIDA AVE, 5400 FLORIDA AVE," 5400 FLORIDA AVE, BETHEL PARK"," 5400 FLORIDA AVE, BETHEL PARK, Pennsylvania, 15102"
BETHEL PARK SCHOOL DIST.,BETHEL PARK,15102,BENJAMIN FRANKLIN SCHOOL GYM- 5400 FLORIDA AVE, 5400 FLORIDA AVE," 5400 FLORIDA AVE, BETHEL PARK"," 5400 FLORIDA AVE, BETHEL PARK, Pennsylvania, 15102"
VOL FIRE STATIONS,BETHEL PARK,15102,BETHEL PARK VOLUNTEER FIRE CO.- CLIFTON STATION- 1100 CLIFTON RD., CLIFTON STATION- 1100 CLIFTON RD.," CLIFTON STATION- 1100 CLIFTON RD., BETHEL PARK"," CLIFTON STATION- 1100 CLIFTON RD., BETHEL PARK, Pennsylvania, 15102"
BETHEL PARK SCHOOL DIST.,BETHEL PARK,15102,NEIL ARMSTRONG 5/6 MIDDLE SCHOOL- 5800 MURRAY AVE., 5800 MURRAY AVE.," 5800 MURRAY AVE., BETHEL PARK"," 5800 MURRAY AVE., BETHEL PARK, Pennsylvania, 15102"
BETHEL PARK SCHOOL DIST.,BETHEL PARK,15102,NEIL ARMSTRONG 5/6 MIDDLE SCHOOL- 5800 MURRAY AVE., 5800 MURRAY AVE.," 5800 MURRAY AVE., BETHEL PARK"," 5800 MURRAY AVE., BETHEL PARK, Pennsylvania, 15102"
BETHEL PARK SCHOOL DIST.,BETHEL PARK,15102,GEORGE WASHINGTON ELEMENTARY SCHOOL GYM- 515 CLIFTON RD., 515 CLIFTON RD.," 515 CLIFTON RD., BETHEL PARK"," 515 CLIFTON RD., BETHEL PARK, Pennsylvania, 15102"
CHURCH/TEMPLE,BETHEL PARK,15102,RUTHFRED LUTHERAN CHURCH- 3401 S. PARK RD., 3401 S. PARK RD.," 3401 S. PARK RD., BETHEL PARK"," 3401 S. PARK RD., BETHEL PARK, Pennsylvania, 15102"
CHURCH/TEMPLE,BETHEL PARK,15102,JOHN MCMILLAN PRESBYTERIAN CHURCH- 875 CLIFTON RD. , 875 CLIFTON RD. ," 875 CLIFTON RD. , BETHEL PARK"," 875 CLIFTON RD. , BETHEL PARK, Pennsylvania, 15102"
CHURCH/TEMPLE,BETHEL PARK,15236,HAMILTON PRESBYTERIAN CHURCH- 4500 HAMILTON RD. , 4500 HAMILTON RD. ," 4500 HAMILTON RD. , BETHEL PARK"," 4500 HAMILTON RD. , BETHEL PARK, Pennsylvania, 15236"
COMMUNITY CENTER,BETHEL PARK,15102,BETHEL PARK COMMUNITY CENTER RM A- 5151 PARK AVE., 5151 PARK AVE.," 5151 PARK AVE., BETHEL PARK"," 5151 PARK AVE., BETHEL PARK, Pennsylvania, 15102"
COMMUNITY CENTER,BETHEL PARK,15102,BETHEL PARK COMMUNITY CENTER 1ST FL- 5151 PARK AVE., 5151 PARK AVE.," 5151 PARK AVE., BETHEL PARK"," 5151 PARK AVE., BETHEL PARK, Pennsylvania, 15102"
BETHEL PARK SCHOOL DIST.,BETHEL PARK,15234,ABRAHAM LINCOLN ELEMENTARY SCHOOL- 1524 HAMILTON RD. , 1524 HAMILTON RD. ," 1524 HAMILTON RD. , BETHEL PARK"," 1524 HAMILTON RD. , BETHEL PARK, Pennsylvania, 15234"
VOL FIRE STATIONS,BETHEL PARK,15102,BETHEL PARK VOLUNTEER FIRE CO.- MILLFORD STATION- 2310 MILLFORD DR., MILLFORD STATION- 2310 MILLFORD DR.," MILLFORD STATION- 2310 MILLFORD DR., BETHEL PARK"," MILLFORD STATION- 2310 MILLFORD DR., BETHEL PARK, Pennsylvania, 15102"
CHURCH/TEMPLE,BETHEL PARK,15102,SOUTH HILLS ASSEMBLY OF GOD LARGE LOBBY- 2725 BETHEL CHURCH RD. , 2725 BETHEL CHURCH RD. ," 2725 BETHEL CHURCH RD. , BETHEL PARK"," 2725 BETHEL CHURCH RD. , BETHEL PARK, Pennsylvania, 15102"
MASONIC HALLS,BETHEL PARK,15102,BETHEL MASONIC HALL 1ST FL- LOGAN & WILAMIT DR, LOGAN & WILAMIT DR," LOGAN & WILAMIT DR, BETHEL PARK"," LOGAN and WILAMIT DR, BETHEL PARK, Pennsylvania, 15102"
CHURCH/TEMPLE,BETHEL PARK,15102,FIRST BETHEL UNITED METHODIST CHURCH- 5901 LIBRARY RD. , 5901 LIBRARY RD. ," 5901 LIBRARY RD. , BETHEL PARK"," 5901 LIBRARY RD. , BETHEL PARK, Pennsylvania, 15102"
CHURCH/TEMPLE,BETHEL PARK,15102,FIRST BETHEL UNITED METHODIST CHURCH FOUNDERS HALL- 5901 LIBRARY RD. , 5901 LIBRARY RD. ," 5901 LIBRARY RD. , BETHEL PARK"," 5901 LIBRARY RD. , BETHEL PARK, Pennsylvania, 15102"
CHURCH/TEMPLE,BETHEL PARK,15102,RUTHFRED LUTHERAN CHURCH- 3401 S. PARK RD., 3401 S. PARK RD.," 3401 S. PARK RD., BETHEL PARK"," 3401 S. PARK RD., BETHEL PARK, Pennsylvania, 15102"
CHURCH/TEMPLE,BETHEL PARK,15102,BETHEL PARK PRESBYTERIAN CHURCH AUD- 2999 BETHEL CHURCH RD. , 2999 BETHEL CHURCH RD. ," 2999 BETHEL CHURCH RD. , BETHEL PARK"," 2999 BETHEL CHURCH RD. , BETHEL PARK, Pennsylvania, 15102"
CHURCH/TEMPLE,BETHEL PARK,15102,BETHEL PARK PRESBYTERIAN CHURCH AUD- 2999 BETHEL CHURCH RD. , 2999 BETHEL CHURCH RD. ," 2999 BETHEL CHURCH RD. , BETHEL PARK"," 2999 BETHEL CHURCH RD. , BETHEL PARK, Pennsylvania, 15102"
PRIVATE SCHOOL,BETHEL PARK,15102,PATHFINDER SCHOOL- 50 DONATI RD., 50 DONATI RD.," 50 DONATI RD., BETHEL PARK"," 50 DONATI RD., BETHEL PARK, Pennsylvania, 15102"
PRIVATE SCHOOL,BETHEL PARK,15102,PATHFINDER SCHOOL- 50 DONATI RD., 50 DONATI RD.," 50 DONATI RD., BETHEL PARK"," 50 DONATI RD., BETHEL PARK, Pennsylvania, 15102"
MUNICIPAL OWNED BLDG,BETHEL PARK,15102,BETHEL PARK MUNICIPAL BUILDING COUNCIL CHAMBERS- 5100 WEST LIBRARY AVE. , 5100 WEST LIBRARY AVE. ," 5100 WEST LIBRARY AVE. , BETHEL PARK"," 5100 WEST LIBRARY AVE. , BETHEL PARK, Pennsylvania, 15102"
CHURCH/TEMPLE,BETHEL PARK,15102,BETHEL PARK PRESBYTERIAN CHURCH RM 107- 2999 BETHEL CHURCH RD., 2999 BETHEL CHURCH RD.," 2999 BETHEL CHURCH RD., BETHEL PARK"," 2999 BETHEL CHURCH RD., BETHEL PARK, Pennsylvania, 15102"
BETHEL PARK SCHOOL DIST.,BETHEL PARK,15102,GEORGE WASHINGTON ELEMENTARY SCHOOL GYM- 515 CLIFTON RD., 515 CLIFTON RD.," 515 CLIFTON RD., BETHEL PARK"," 515 CLIFTON RD., BETHEL PARK, Pennsylvania, 15102"
BETHEL PARK SCHOOL DIST.,BETHEL PARK,15102,WILLIAM PENN ELEMENTARY SCHOOL LIBRARY- 110 WOODLET LANE., 110 WOODLET LANE.," 110 WOODLET LANE., BETHEL PARK"," 110 WOODLET LANE., BETHEL PARK, Pennsylvania, 15102"
CHURCH/TEMPLE,BETHEL PARK,15102,JOHN MCMILLAN PRESBYTERIAN CHURCH- 875 CLIFTON RD. , 875 CLIFTON RD. ," 875 CLIFTON RD. , BETHEL PARK"," 875 CLIFTON RD. , BETHEL PARK, Pennsylvania, 15102"
ALL. CO. HOUSING AUTH,BLAWNOX,15238,BLAWNOX MANOR RECREATION RM- 701 CENTER AVE, 701 CENTER AVE," 701 CENTER AVE, BLAWNOX"," 701 CENTER AVE, BLAWNOX, Pennsylvania, 15238"
VOL FIRE STATIONS,BRACKENRIDGE,15014,PIONEER HOSE CO.- 124 MORGAN ST. , 124 MORGAN ST. ," 124 MORGAN ST. , BRACKENRIDGE"," 124 MORGAN ST. , BRACKENRIDGE, Pennsylvania, 15014"
VOL FIRE STATIONS,BRACKENRIDGE,15014,PIONEER HOSE CO.- 124 MORGAN ST. , 124 MORGAN ST. ," 124 MORGAN ST. , BRACKENRIDGE"," 124 MORGAN ST. , BRACKENRIDGE, Pennsylvania, 15014"
VOL FIRE STATIONS,BRACKENRIDGE,15014,PIONEER HOSE CO.- 124 MORGAN ST. , 124 MORGAN ST. ," 124 MORGAN ST. , BRACKENRIDGE"," 124 MORGAN ST. , BRACKENRIDGE, Pennsylvania, 15014"
HI-RISES-PRIVATE APTS,BRADDOCK,15104,LUNDINE APARTMENTS LOBBY- 125 COREY AVE., 125 COREY AVE.," 125 COREY AVE., BRADDOCK"," 125 COREY AVE., BRADDOCK, Pennsylvania, 15104"
MUNICIPAL OWNED BLDG,BRADDOCK,15104,BRADDOCK BORO BLDG. COUNCIL CHAMBERS- 415 SIXTH ST, 415 SIXTH ST," 415 SIXTH ST, BRADDOCK"," 415 SIXTH ST, BRADDOCK, Pennsylvania, 15104"
CHURCH/TEMPLE,BRADDOCK,15104,NEW HOPE BAPTIST CHURCH- 445 SIXTH ST, 445 SIXTH ST," 445 SIXTH ST, BRADDOCK"," 445 SIXTH ST, BRADDOCK, Pennsylvania, 15104"
MUNICIPAL OWNED BLDG,BRADDOCK HILLS,15221,BORO BLDG. (FORMER ELEM. SCHOOL)- 1300 BRINTON RD., 1300 BRINTON RD.," 1300 BRINTON RD., BRADDOCK HILLS"," 1300 BRINTON RD., BRADDOCK HILLS, Pennsylvania, 15221"
MUNICIPAL OWNED BLDG,BRADDOCK HILLS,15221,BRADDOCK HILLS SR. CENTER- 2794 COLUMBIA AVE., 2794 COLUMBIA AVE.," 2794 COLUMBIA AVE., BRADDOCK HILLS"," 2794 COLUMBIA AVE., BRADDOCK HILLS, Pennsylvania, 15221"
CHURCH/TEMPLE,BRADFORD WOODS,15015,BRADFORD WOODS COMMUNITY CHURCH- 4836 WEXFORD RUN RD. , 4836 WEXFORD RUN RD. ," 4836 WEXFORD RUN RD. , BRADFORD WOODS"," 4836 WEXFORD RUN RD. , BRADFORD WOODS, Pennsylvania, 15015"
BRENTWOOD SCHOOL DIST.,BRENTWOOD,15227,MOORE ELEMENTARY SCHOOL GYM- 3809 DALEWOOD ST. , 3809 DALEWOOD ST. ," 3809 DALEWOOD ST. , BRENTWOOD"," 3809 DALEWOOD ST. , BRENTWOOD, Pennsylvania, 15227"
CHURCH/TEMPLE,BRENTWOOD,15227,CONCORDIA LUTHERAN CHURCH ED BLDG LOWER LEVEL- 3109 BROWNSVILLE RD., 3109 BROWNSVILLE RD.," 3109 BROWNSVILLE RD., BRENTWOOD"," 3109 BROWNSVILLE RD., BRENTWOOD, Pennsylvania, 15227"
BRENTWOOD SCHOOL DIST.,BRENTWOOD,15227,ELROY ELEMENTARY SCHOOL CAFÉ RM 108- 3129 ELROY AVE. , 3129 ELROY AVE. ," 3129 ELROY AVE. , BRENTWOOD"," 3129 ELROY AVE. , BRENTWOOD, Pennsylvania, 15227"
PRIVATE RESIDENCE,BRENTWOOD,15227,RESIDENT'S GARAGE- 3209 WILLETT RD. , 3209 WILLETT RD. ," 3209 WILLETT RD. , BRENTWOOD"," 3209 WILLETT RD. , BRENTWOOD, Pennsylvania, 15227"
BRENTWOOD SCHOOL DIST.,BRENTWOOD,15227,ELROY ELEMENTARY SCHOOL CAFÉ RM 109- 3129 ELROY AVE., 3129 ELROY AVE.," 3129 ELROY AVE., BRENTWOOD"," 3129 ELROY AVE., BRENTWOOD, Pennsylvania, 15227"
MUNICIPAL OWNED BLDG,BRENTWOOD,15227,BRENTWOOD MUNICIPAL BUILDING- 3624 BROWNSVILLE RD., 3624 BROWNSVILLE RD.," 3624 BROWNSVILLE RD., BRENTWOOD"," 3624 BROWNSVILLE RD., BRENTWOOD, Pennsylvania, 15227"
PRIVATE SCHOOL,BRENTWOOD,15227,ST SYLVESTER SCHOOL GYM- 32 W. WILLOCK RD. , 32 W. WILLOCK RD. ," 32 W. WILLOCK RD. , BRENTWOOD"," 32 W. WILLOCK RD. , BRENTWOOD, Pennsylvania, 15227"
CHURCH/TEMPLE,BRENTWOOD,15227,ST PETER'S EPISCOPAL CHURCH KINDER RM- 4048 BROWNSVILLE RD., 4048 BROWNSVILLE RD.," 4048 BROWNSVILLE RD., BRENTWOOD"," 4048 BROWNSVILLE RD., BRENTWOOD, Pennsylvania, 15227"
BRENTWOOD SCHOOL DIST.,BRENTWOOD,15227,MOORE ELEMENTARY SCHOOL GYM- 3809 DALEWOOD ST., 3809 DALEWOOD ST.," 3809 DALEWOOD ST., BRENTWOOD"," 3809 DALEWOOD ST., BRENTWOOD, Pennsylvania, 15227"
LIBRARY,BRENTWOOD,15227,BRENTWOOD LIBRARY LOWER LEVEL - 3501 BROWNSVILLE RD.  , 3501 BROWNSVILLE RD.  ," 3501 BROWNSVILLE RD.  , BRENTWOOD"," 3501 BROWNSVILLE RD.  , BRENTWOOD, Pennsylvania, 15227"
VOL FIRE STATIONS,BRIDGEVILLE,15017,BRIDGEVILLE VOL FIRE CO LOBBY- 370 COMMERCIAL ST, 370 COMMERCIAL ST," 370 COMMERCIAL ST, BRIDGEVILLE"," 370 COMMERCIAL ST, BRIDGEVILLE, Pennsylvania, 15017"
VOL FIRE STATIONS,BRIDGEVILLE,15017,BRIDGEVILLE VOL FIRE CO LOBBY- 370 COMMERCIAL ST, 370 COMMERCIAL ST," 370 COMMERCIAL ST, BRIDGEVILLE"," 370 COMMERCIAL ST, BRIDGEVILLE, Pennsylvania, 15017"
HI-RISES-PRIVATE APTS,BRIDGEVILLE,15017,GOODWILL MANOR GYM- 601 MCMILLEN ST. , 601 MCMILLEN ST. ," 601 MCMILLEN ST. , BRIDGEVILLE"," 601 MCMILLEN ST. , BRIDGEVILLE, Pennsylvania, 15017"
HI-RISES-PRIVATE APTS,BRIDGEVILLE,15017,GOODWILL MANOR GYM- 601 MCMILLEN ST. , 601 MCMILLEN ST. ," 601 MCMILLEN ST. , BRIDGEVILLE"," 601 MCMILLEN ST. , BRIDGEVILLE, Pennsylvania, 15017"
VOL FIRE STATIONS,CARNEGIE,15106,CARNEGIE VOLUNTEER FIRE AND RESCUE AMB BAY- 201 WEST MAIN ST., 201 WEST MAIN ST.," 201 WEST MAIN ST., CARNEGIE"," 201 WEST MAIN ST., CARNEGIE, Pennsylvania, 15106"
MUNICIPAL OWNED BLDG,CARNEGIE,15106,BOROUGH OF CARNEGIE COUNCIL CHAMBERS- 1 VETERANS WAY, 1 VETERANS WAY," 1 VETERANS WAY, CARNEGIE"," 1 VETERANS WAY, CARNEGIE, Pennsylvania, 15106"
MUNICIPAL OWNED BLDG,CARNEGIE,15106,BOROUGH OF CARNEGIE COUNCIL CHAMBERS- 1 VETERANS WAY, 1 VETERANS WAY," 1 VETERANS WAY, CARNEGIE"," 1 VETERANS WAY, CARNEGIE, Pennsylvania, 15106"
VOL FIRE STATIONS,CARNEGIE,15106,CARNEGIE VOLUNTEER FIRE AND RESCUE AMB BAY- 201 WEST MAIN ST., 201 WEST MAIN ST.," 201 WEST MAIN ST., CARNEGIE"," 201 WEST MAIN ST., CARNEGIE, Pennsylvania, 15106"
SOCIAL CLUB,CARNEGIE,15106,UKRAINIAN AMERICAN CITIZENS CLUB SOCIAL HALL ,#VALUE!,#VALUE!,#VALUE!
SOCIAL CLUB,CARNEGIE,15106,UKRAINIAN AMERICAN CITIZENS CLUB SOCIAL HALL ,#VALUE!,#VALUE!,#VALUE!
CARLYNTON SCHOOL DIST.,CARNEGIE,15106,CARNEGIE ELEMENTARY SCHOOL 1ST FL AUDITORIUM- 301 FRANKLIN AVE., 301 FRANKLIN AVE.," 301 FRANKLIN AVE., CARNEGIE"," 301 FRANKLIN AVE., CARNEGIE, Pennsylvania, 15106"
CARLYNTON SCHOOL DIST.,CARNEGIE,15106,CARNEGIE ELEMENTARY SCHOOL 1ST FL AUDITORIUM- 301 FRANKLIN AVE., 301 FRANKLIN AVE.," 301 FRANKLIN AVE., CARNEGIE"," 301 FRANKLIN AVE., CARNEGIE, Pennsylvania, 15106"
PUBLIC SCHOOLS,CASTLE SHANNON,15234,MYRTLE ELEMENTARY SCHOOL GYM- 3724 MYRTLE AVE., 3724 MYRTLE AVE.," 3724 MYRTLE AVE., CASTLE SHANNON"," 3724 MYRTLE AVE., CASTLE SHANNON, Pennsylvania, 15234"
