year,county,rejected,rejectedsum,votedpop
2020,MACON,.0082893744,11,1327
2020,MADISON,.0079183159,38,4799
2020,MARION,.0016920473,2,1182
2020,MCDUFFIE,0,0,3238
2020,MCINTOSH,.00041425021,1,2414
2020,MERIWETHER,.019707376,66,3349
2020,MILLER,.015536723,11,708
2020,MITCHELL,0,0,2697
2020,MONROE,.00024119634,1,4146
2020,MONTGOMERY,0,0,1108
2020,MORGAN,.003725996,13,3489
2020,MURRAY,.013413242,47,3504
2020,MUSCOGEE,.010532335,221,20983
2020,NEWTON,.0078555085,127,16167
2020,OCONEE,.0036440578,31,8507
2020,OGLETHORPE,.0012236158,4,3269
2020,PAULDING,0,0,21307
2020,PEACH,.022579648,73,3233
2020,PICKENS,0,0,3672
2020,PIERCE,.0084033618,24,2856
2020,PIKE,0,0,2996
2020,POLK,.0054106279,28,5175
2020,PULASKI,0,0,1248
2020,PUTNAM,.0075887395,31,4085
2020,QUITMAN,0,0,390
2020,RABUN,0,0,4377
2020,RANDOLPH,0,0,1143
2020,RICHMOND,.012389311,312,25183
2020,ROCKDALE,.0013767784,18,13074
2020,SCHLEY,.0013623978,1,734
2020,SCREVEN,.0039705047,7,1763
2020,SEMINOLE,0,0,758
2020,SPALDING,.010479042,84,8016
2020,STEPHENS,0,0,3266
2020,STEWART,.0016835016,1,594
2020,SUMTER,.00058241119,2,3434
2020,TALBOT,0,0,1587
2020,TALIAFERRO,.0024271845,1,412
2020,TATTNALL,.0024793388,6,2420
2020,TAYLOR,.0030138637,5,1659
2020,TELFAIR,.0047619049,7,1470
2020,TERRELL,.0020093771,3,1493
2020,THOMAS,.017318938,77,4446
2020,TIFT,0,0,3842
2020,TOOMBS,.0040790713,13,3187
2020,TOWNS,0,0,3159
2020,TREUTLEN,.010714286,9,840
2020,TROUP,.0061649415,53,8597
2020,TURNER,.0012547051,1,797
2020,TWIGGS,.0092776669,14,1509
2020,UNION,.002412769,13,5388
2020,UPSON,.0047532818,21,4418
2020,WALKER,.022062469,178,8068
2020,WALTON,.02219731,297,13380
2020,WARE,.0069140354,30,4339
2020,WARREN,.0048216009,5,1037
2020,WASHINGTON,.003827228,14,3658
2020,WAYNE,.00084769708,3,3539
2020,WEBSTER,0,0,371
2020,WHEELER,0,0,548
2020,WHITE,.0045888401,25,5448
2020,WHITFIELD,.006116956,50,8174
2020,WILCOX,0,0,1246
2020,WILKES,0,0,1815
2020,WILKINSON,0,0,1384
2020,WORTH,.0031282585,9,2877
