"","CNTY_NAME","full_name","MCD_FIPS","OBJECTID","GEOID","CNTY_FIPS","COUSUBFP","MCD_NAME","CTV","JVTD2","LABEL","DOA","DOR","DOT","FIPS6","FIPS5","DOAChange","DOACngDate","Shape_Leng","Shape_Area","mean_logpoppskm","GOVDEM18","GOVTOT18","PERSONS","WHITE","closed","total","mcd_name1","mcd_name2","dem_pct18","dem_pct2","non_white_pct","closed_pct","HINDI","County","total_ballots_2020","registered_voters_2020","provisional_all_2020","prov_counted_2020","prov_rejected_2020","abs_issued_2020","abs_counted_2020","abs_rejected_2020","total_ballots_2016","registered_voters_2016","provisional_all_2016","prov_counted_2016","prov_rejected_2016","abs_issued_2016","abs_counted_2016","abs_not_returned_2016","abs_late_2016","abs_rejected_2016","turnout2016","turnout2020","diff_turnout","prov_pct2016","prov_pct2020","prov_pct_diff","abs_counted2020pct","abs_counted2016pct","diff_abs_pct","area","logppsqkm","diff_turnout_pct2","no_closed","abs_lost_pct2016","abs_not_returned_2020","not_returned_diff_pct"
"11","ADAMS","TOWN OF MONROE","5500153725",11,"5500153725","55001","53725","MONROE","T","MONROE - T","MONROE - T","01018","01018","01018","001055","53725",NA,"2019/01/30",47097.9894844251,99522889.9790859,1.38526552848534,88,234,398,394,0,1,"MONROE","MONROE",37.6068376068376,1414.27423478706,1.00502512562814,0,1018,"ADAMS COUNTY",156,276,0,0,0,5,5,0,177,270,0,0,0,11,11,1,0,1,65.5555555555556,56.5217391304348,-9.03381642512078,0,0,0,3.2051282051282,6.21468926553672,-3.00956106040852,99.5228899790802,1.38606433753634,-11.864406779661,1,9.09090909090909,0,-100
"12","ADAMS","TOWN OF NEW CHESTER","5500156525",12,"5500156525","55001","56525","NEW CHESTER","T","NEW CHESTER - T","NEW CHESTER - T","01020","01020","01020","001060","56525",NA,"2019/01/30",36135.7274353038,81209558.9308713,2.34243475433584,30,75,440,422,0,1,"NEW CHESTER","NEW CHESTER",40,1600,4.09090909090909,0,1020,"ADAMS COUNTY",195,497,0,0,0,1,1,0,0,481,0,0,0,13,12,1,0,0,0,39.2354124748491,39.2354124748491,NA,0,NA,0.512820512820513,100,-99.4871794871795,81.2095589308319,1.68974176585017,NA,1,7.69230769230769,0,-100
"13","ADAMS","TOWN OF NEW HAVEN","5500156750",13,"5500156750","55001","56750","NEW HAVEN","T","NEW HAVEN - T","NEW HAVEN - T","01022","01022","01022","001065","56750",NA,"2019/01/30",35643.537583797,78652597.9963835,2.11881124419756,158,328,655,622,0,1,"NEW HAVEN","NEW HAVEN",48.1707317073171,2320.41939321832,5.0381679389313,0,1022,"ADAMS COUNTY",224,397,0,0,0,0,0,0,240,412,0,0,0,19,19,0,0,0,58.252427184466,56.4231738035265,-1.82925338093956,0,0,0,0,7.91666666666667,-7.91666666666667,78.65259799646,2.11959457429941,-6.66666666666667,1,0,0,NA
"14","ADAMS","TOWN OF PRESTON","5500165450",14,"5500165450","55001","65450","PRESTON","T","PRESTON - T","PRESTON - T","01024","01024","01024","001070","65450",NA,"2019/01/30",38554.3023887441,92756365.6423248,3.35522561045818,206,483,1034,966,0,1,"PRESTON","PRESTON",42.6501035196687,1819.03133023846,6.57640232108317,0,1024,"ADAMS COUNTY",389,794,0,0,0,2,2,0,484,743,0,0,0,20,17,3,0,0,65.1413189771198,48.992443324937,-16.1488756521828,0,0,0,0.51413881748072,3.51239669421488,-2.99825787673416,92.7563656424103,2.41121372367273,-19.6280991735537,1,15,0,-100
"15","ADAMS","TOWN OF QUINCY","5500165825",15,"5500165825","55001","65825","QUINCY","T","QUINCY - T","QUINCY - T","01026","01026","01026","001075","65825",NA,"2019/01/30",53813.7901547862,102442829.078873,3.00272431870938,221,491,924,905,0,1,"QUINCY","QUINCY",45.010183299389,2025.9166006446,2.05627705627706,0,1026,"ADAMS COUNTY",339,779,0,0,0,40,40,0,425,714,0,0,0,33,33,0,0,0,59.5238095238095,43.5173299101412,-16.0064796136683,0,0,0,11.7994100294985,7.76470588235294,4.03470414714558,102.442829078827,2.19940719375665,-20.2352941176471,1,0,0,NA
"16","ADAMS","TOWN OF RICHFIELD","5500167425",16,"5500167425","55001","67425","RICHFIELD","T","RICHFIELD - T","RICHFIELD - T","01028","01028","01028","001080","67425",NA,"2019/01/30",48089.5095141608,92082729.6870824,0.539124108759232,23,84,158,147,0,1,"RICHFIELD","RICHFIELD",27.3809523809524,749.716553287982,6.9620253164557,0,1028,"ADAMS COUNTY",50,98,0,0,0,0,0,0,62,98,0,0,0,1,1,0,0,0,63.265306122449,51.0204081632653,-12.2448979591837,0,0,0,0,1.61290322580645,-1.61290322580645,92.0827296870422,0.539907624319436,-19.3548387096774,1,0,0,NA
"17","ADAMS","TOWN OF ROME","5500169275",17,"5500169275","55001","69275","ROME","T","ROME - T","ROME - T","01030","01030","01030","001085","69275",NA,"2019/01/30",65584.8459042215,161145957.340768,1.77482015920475,141,351,500,486,0,1,"ROME","ROME",40.1709401709402,1613.70443421725,2.8,0,1030,"ADAMS COUNTY",1290,2199,0,0,0,243,243,0,1382,2085,0,0,0,135,135,0,0,0,66.2829736211031,58.6630286493861,-7.61994497171703,0,0,0,18.8372093023256,9.7684515195369,9.06875778278868,161.145957340897,1.13229757678694,-6.65701881331404,1,0,0,NA
"18","ADAMS","TOWN OF SPRINGVILLE","5500176350",18,"5500176350","55001","76350","SPRINGVILLE","T","SPRINGVILLE - T","SPRINGVILLE - T","01032","01032","01032","001090","76350",NA,"2019/01/30",47467.2857358579,115722076.019912,2.17127040661854,142,368,857,805,0,1,"SPRINGVILLE","SPRINGVILLE",38.5869565217391,1488.95321361059,6.06767794632439,0,1032,"ADAMS COUNTY",345,731,0,0,0,0,0,0,440,670,0,0,0,17,17,0,0,0,65.6716417910448,47.1956224350205,-18.4760193560243,0,0,0,0,3.86363636363636,-3.86363636363636,115.722076019745,2.00224649862532,-21.5909090909091,1,0,0,NA
"19","ADAMS","TOWN OF STRONGS PRAIRIE","5500177800",19,"5500177800","55001","77800","STRONGS PRAIRIE","T","STRONGS PRAIRIE - T","STRONGS PRAIRIE - T","01034","01034","01034","001095","77800",NA,"2019/01/30",51030.4912622545,134575070.208573,2.09723403432704,104,249,508,486,0,1,"STRONGS PRAIRIE","STRONGS PRAIRIE",41.7670682730924,1744.48799212916,4.33070866141732,0,1034,"ADAMS COUNTY",342,703,0,0,0,52,52,0,421,681,0,0,0,15,14,0,0,1,61.8208516886931,48.6486486486487,-13.1722030400445,0,0,0,15.2046783625731,3.32541567695962,11.8792626856135,134.575070208664,1.32835926142501,-18.7648456057007,1,0,0,NA
"2","ADAMS","CITY OF WISCONSIN DELLS","5500188150",20,"5500188150","55001","88150","Wisconsin Dells","C","Wisconsin Dells - C","Wisconsin Dells - C","01291","01291","01291","001100","88150","Added","1987/09/21",26614.8752513708,4636633.27731223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6366332774353,NA,NA,1,NA,NA,NA
"23","ASHLAND","TOWN OF AGENDA","5500300550",21,"5500300550","55003","00550","AGENDA","T","AGENDA - T","AGENDA - T","02002","02002","02002","003005","00550",NA,"2019/01/30",67631.9485701664,231705748.204761,0.598757357657926,66,203,422,408,0,1,"AGENDA","AGENDA",32.512315270936,1057.05064427674,3.3175355450237,0,2002,"ASHLAND COUNTY",130,251,0,0,0,3,3,0,168,263,0,0,0,5,0,0,0,0,63.8783269961977,51.792828685259,-12.0854983109388,0,0,0,2.30769230769231,0,2.30769230769231,231.705748204803,0.599537074080195,-22.6190476190476,1,0,0,NA
"21","ASHLAND","CITY OF ASHLAND","5500303225",22,"5500303225","55003","03225","Ashland","C","Ashland - C","Ashland - C","02201","02201","02201","003010","03225",NA,"2019/01/30",45047.4380514643,34528468.9475517,6.73199321873221,177,251,733,600,0,1,"ASHLAND","ASHLAND",70.5179282868526,4972.77820986969,18.1446111869031,0,2201,"ASHLAND COUNTY",1952,4331,0,0,0,266,266,0,3124,4685,0,0,0,292,262,13,1,1,66.6808964781217,45.0704225352113,-21.6104739429104,0,0,0,13.6270491803279,8.38668373879641,5.24036544153146,34.5284689478149,3.05536153123567,-37.5160051216389,1,4.45205479452055,0,-100
"24","ASHLAND","TOWN OF ASHLAND","5500303250",23,"5500303250","55003","03250","ASHLAND","T","ASHLAND - T","ASHLAND - T","02004","02004","02004","003015","03250",NA,"2019/01/30",48068.2899136144,106891025.566181,1.7143449993807,152,247,594,555,0,1,"ASHLAND","ASHLAND",61.5384615384615,3786.98224852071,6.56565656565657,0,2004,"ASHLAND COUNTY",223,338,0,0,0,0,0,0,210,359,0,0,0,17,16,1,0,0,58.4958217270195,65.9763313609467,7.48050963392724,0,0,0,0,7.61904761904762,-7.61904761904762,106.891025565674,1.7150694565333,6.19047619047619,1,5.88235294117647,0,-100
"36","ASHLAND","VILLAGE OF BUTTERNUT","5500311525",24,"5500311525","55003","11525","Butternut","V","Butternut - V","Butternut - V","02106","02106","02106","003020","11525",NA,"2019/01/30",7965.86373848177,3808912.24055267,5.09625352560454,58,108,307,286,0,1,"BUTTERNUT","BUTTERNUT",53.7037037037037,2884.0877914952,6.84039087947883,0,2106,"ASHLAND COUNTY",91,171,0,0,0,6,6,0,122,177,0,0,0,8,8,0,0,0,68.9265536723164,53.2163742690059,-15.7101794033105,0,0,0,6.59340659340659,6.55737704918033,0.0360295442262659,3.80891224066162,4.38950410035048,-25.4098360655738,1,0,0,NA
"25","ASHLAND","TOWN OF CHIPPEWA","5500314550",25,"5500314550","55003","14550","CHIPPEWA","T","CHIPPEWA - T","CHIPPEWA - T","02006","02006","02006","003025","14550",NA,"2019/01/30",90616.0449944423,325649878.94571,0.137708162681918,67,180,374,365,0,1,"CHIPPEWA","CHIPPEWA",37.2222222222222,1385.49382716049,2.40641711229947,0,2006,"ASHLAND COUNTY",113,241,0,0,0,1,1,0,148,231,0,0,0,7,7,0,0,0,64.0692640692641,46.8879668049792,-17.1812972642848,0,0,0,0.884955752212389,4.72972972972973,-3.84477397751734,325.649878945984,0.138432984152625,-23.6486486486486,1,0,0,NA
"26","ASHLAND","TOWN OF GINGLES","5500329250",26,"5500329250","55003","29250","GINGLES","T","GINGLES - T","GINGLES - T","02008","02008","02008","003030","29250",NA,"2019/01/30",53886.5445953356,101017829.10882,2.04072619970984,248,400,778,687,0,1,"GINGLES","GINGLES",62,3844,11.6966580976864,0,2008,"ASHLAND COUNTY",223,492,0,0,0,1,1,0,325,481,0,0,0,22,21,0,0,1,67.5675675675676,45.3252032520325,-22.242364315535,0,0,0,0.448430493273543,6.46153846153846,-6.01310796826492,101.017829108032,2.04142949709388,-31.3846153846154,1,0,0,NA
"27","ASHLAND","TOWN OF GORDON","5500329875",27,"5500329875","55003","29875","GORDON","T","GORDON - T","GORDON - T","02010","02010","02010","003035","29875",NA,"2019/01/30",76734.7653231537,277042991.051404,0.51903614134197,42,108,220,213,0,1,"GORDON","GORDON",38.8888888888889,1512.34567901235,3.18181818181818,0,2010,"ASHLAND COUNTY",91,174,0,0,0,0,0,0,110,165,0,0,0,8,6,1,0,0,66.6666666666667,52.2988505747126,-14.367816091954,0,0,0,0,5.45454545454545,-5.45454545454545,277.042991051209,-0.230545150143271,-17.2727272727273,1,12.5,0,-100
"28","ASHLAND","TOWN OF JACOBS","5500337775",28,"5500337775","55003","37775","JACOBS","T","JACOBS - T","JACOBS - T","02012","02012","02012","003040","37775",NA,"2019/01/30",67345.075561143,133507490.726883,1.68709599025101,110,281,722,706,0,1,"JACOBS","JACOBS",39.1459074733096,1532.40207190892,2.21606648199446,0,2012,"ASHLAND COUNTY",174,393,0,0,0,0,0,0,250,415,0,0,0,1,1,0,0,0,60.2409638554217,44.2748091603053,-15.9661546951163,0,0,0,0,0.4,-0.4,133.507490726868,1.68786755231303,-30.4,1,0,0,NA
"29","ASHLAND","TOWN OF LA POINTE","5500342562",29,"5500342562","55003","42562","LA POINTE","T","LA POINTE - T","LA POINTE - T","02014","02014","02014","003045","42562",NA,"2019/01/30",247286.01516127,200782850.9914,0.261432716511724,192,253,261,240,0,1,"LA POINTE","LA POINTE",75.8893280632411,5759.19011389023,8.04597701149425,0,2014,"ASHLAND COUNTY",214,295,0,0,0,68,68,0,228,304,2,1,1,51,44,6,0,0,75,72.5423728813559,-2.45762711864407,0.87719298245614,0,-0.87719298245614,31.7757009345794,19.2982456140351,12.4774553205444,200.782850991913,0.262296426578928,-6.14035087719298,1,11.7647058823529,0,-100
"30","ASHLAND","TOWN OF MARENGO","5500349200",30,"5500349200","55003","49200","MARENGO","T","MARENGO - T","MARENGO - T","02016","02016","02016","003050","49200",NA,"2019/01/30",60963.8468716073,185954636.737606,0.939549937288216,62,115,213,207,0,1,"MARENGO","MARENGO",53.9130434782609,2906.61625708885,2.8169014084507,0,2016,"ASHLAND COUNTY",133,243,0,0,0,0,0,0,176,247,0,0,0,10,9,0,0,0,71.2550607287449,54.7325102880658,-16.5225504406791,0,0,0,0,5.11363636363636,-5.11363636363636,185.954636737305,0.135789410250977,-24.4318181818182,1,0,0,NA
"22","ASHLAND","CITY OF MELLEN","5500350700",31,"5500350700","55003","50700","Mellen","C","Mellen - C","Mellen - C","02251","02251","02251","003055","50700",NA,"2019/01/30",8818.64653775659,4822010.55936761,5.02048345960004,240,450,1462,1404,0,2,"MELLEN","MELLEN",53.3333333333333,2844.44444444444,3.9671682626539,0,2251,"ASHLAND COUNTY",156,328,0,0,0,1,1,0,176,353,0,0,0,18,14,0,0,4,49.8583569405099,47.5609756097561,-2.29738133075382,0,0,0,0.641025641025641,7.95454545454545,-7.31351981351981,4.82201055935669,5.71436967072388,-11.3636363636364,1,0,0,NA
"31","ASHLAND","TOWN OF MORSE","5500354400",32,"5500354400","55003","54400","MORSE","T","MORSE - T","MORSE - T","02018","02018","02018","003060","54400",NA,"2019/01/30",83764.8912198275,270307416.217453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"ASHLAND COUNTY",145,320,0,0,0,4,4,0,209,326,0,0,0,2,2,0,0,0,64.1104294478528,45.3125,-18.7979294478528,0,0,0,2.75862068965517,0.956937799043062,1.80168289061211,270.307416217987,NA,-30.622009569378,1,0,0,NA
"32","ASHLAND","TOWN OF PEEKSVILLE","5500361600",33,"5500361600","55003","61600","PEEKSVILLE","T","PEEKSVILLE - T","PEEKSVILLE - T","02020","02020","02020","003065","61600",NA,"2019/01/30",41243.0906185792,95552737.07247,1.14183089733253,12,31,61,59,0,1,"PEEKSVILLE","PEEKSVILLE",38.7096774193548,1498.43912591051,3.27868852459016,0,2020,"ASHLAND COUNTY",56,100,0,0,0,4,4,0,83,120,0,0,0,7,7,0,0,0,69.1666666666667,56,-13.1666666666667,0,0,0,7.14285714285714,8.43373493975904,-1.29087779690189,95.5527370722656,-0.448804451547655,-32.5301204819277,1,0,0,NA
"33","ASHLAND","TOWN OF SANBORN","5500371350",34,"5500371350","55003","71350","SANBORN","T","SANBORN - T","SANBORN - T","02022","02022","02022","003070","71350",NA,"2019/01/30",144420.987512687,408900174.116978,0.931624222718609,221,266,795,137,0,1,"SANBORN","SANBORN",83.0827067669173,6902.73616371757,82.7672955974843,0,2022,"ASHLAND COUNTY",130,621,0,0,0,0,0,0,300,676,0,0,0,4,4,0,0,0,44.3786982248521,20.9339774557166,-23.4447207691355,0,0,0,0,1.33333333333333,-1.33333333333333,408.900174116364,0.664871061467334,-56.6666666666667,1,0,0,NA
"34","ASHLAND","TOWN OF SHANAGOLDEN","5500372825",35,"5500372825","55003","72825","SHANAGOLDEN","T","SHANAGOLDEN - T","SHANAGOLDEN - T","02024","02024","02024","003075","72825",NA,"2019/01/30",67610.562034097,232007834.33792,0,33,65,125,123,0,1,"SHANAGOLDEN","SHANAGOLDEN",50.7692307692308,2577.51479289941,1.6,0,2024,"ASHLAND COUNTY",42,82,0,0,0,2,2,0,54,84,0,0,0,4,4,0,0,0,64.2857142857143,51.219512195122,-13.0662020905923,0,0,0,4.76190476190476,7.40740740740741,-2.64550264550264,232.007834338013,-0.61845740249219,-22.2222222222222,1,0,0,NA
"35","ASHLAND","TOWN OF WHITE RIVER","5500386850",36,"5500386850","55003","86850","WHITE RIVER","T","WHITE RIVER - T","WHITE RIVER - T","02026","02026","02026","003080","86850",NA,"2019/01/30",48587.995474122,114069236.018922,2.14265593933082,121,362,797,766,0,1,"WHITE RIVER","WHITE RIVER",33.4254143646409,1117.25832544794,3.88958594730238,0,2026,"ASHLAND COUNTY",267,532,0,0,0,5,5,0,382,516,0,0,0,8,6,2,0,0,74.031007751938,50.187969924812,-23.843037827126,0,0,0,1.87265917602996,1.57068062827225,0.301978547757711,114.069236019379,1.94404908124475,-30.1047120418848,1,25,0,-100
"66","BARRON","VILLAGE OF ALMENA","5500501325",37,"5500501325","55005","01325","Almena","V","Almena - V","Almena - V","03101","03101","03101","005010","01325",NA,"2019/01/30",7694.03034271371,2910716.84204775,5.44909605682661,142,434,1354,1298,0,2,"ALMENA","ALMENA",32.7188940092166,1070.52602518635,4.13589364844904,0,3101,"BARRON COUNTY",120,312,0,0,0,12,12,0,180,328,0,0,0,2,2,0,0,0,54.8780487804878,38.4615384615385,-16.4165103189493,0,0,0,10,1.11111111111111,8.88888888888889,2.91071684204102,6.14241906515377,-33.3333333333333,1,0,0,NA
"41","BARRON","TOWN OF ALMENA","5500501350",38,"5500501350","55005","01350","ALMENA","T","ALMENA - T","ALMENA - T","03002","03002","03002","005005","01350",NA,"2019/01/30",43342.5101114065,84036948.2660942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3002,"BARRON COUNTY",216,530,0,0,0,12,12,0,296,529,0,0,0,9,8,0,1,0,55.9546313799622,40.7547169811321,-15.1999143988301,0,0,0,5.55555555555556,2.7027027027027,2.85285285285285,84.0369482661743,NA,-27.027027027027,1,0,0,NA
"42","BARRON","TOWN OF ARLAND","5500502775",39,"5500502775","55005","02775","ARLAND","T","ARLAND - T","ARLAND - T","03004","03004","03004","005015","02775",NA,"2019/01/30",38278.3657247043,91610606.1222865,2.15300462802352,112,246,789,758,0,1,"ARLAND","ARLAND",45.5284552845528,2072.84024059753,3.92902408111534,0,3004,"BARRON COUNTY",137,335,0,0,0,5,5,0,204,380,0,0,0,3,3,0,0,0,53.6842105263158,40.8955223880597,-12.7886881382561,0,0,0,3.64963503649635,1.47058823529412,2.17904680120223,91.6106061222687,2.15321926850762,-32.843137254902,1,0,0,NA
"37","BARRON","CITY OF BARRON","5500504875",40,"5500504875","55005","04875","Barron","C","Barron - C","Barron - C","03206","03206","03206","005020","04875",NA,"2019/01/30",15666.2012530938,7766558.11776952,5.82415064491163,81,170,545,491,0,1,"BARRON","BARRON",47.6470588235294,2270.24221453287,9.90825688073395,0,3206,"BARRON COUNTY",816,1607,0,0,0,15,15,0,902,1520,0,0,0,152,133,11,0,7,59.3421052631579,50.7778469197262,-8.5642583434317,0,0,0,1.83823529411765,14.7450110864745,-12.9067757923569,7.76655811798096,4.25095869908299,-9.53436807095344,1,7.23684210526316,0,-100
"43","BARRON","TOWN OF BARRON","5500504900",41,"5500504900","55005","04900","BARRON","T","BARRON - T","BARRON - T","03006","03006","03006","005025","04900",NA,"2019/01/30",54230.4722024363,85121144.271489,2.54560873927091,43,167,445,417,0,1,"BARRON","BARRON",25.748502994012,662.985406432644,6.29213483146067,0,3006,"BARRON COUNTY",215,400,0,0,0,22,22,0,275,413,0,0,0,6,1,1,0,0,66.5859564164649,53.75,-12.8359564164649,0,0,0,10.2325581395349,0.363636363636364,9.86892177589852,85.1211442712555,1.6539988136269,-21.8181818181818,1,16.6666666666667,0,-100
"44","BARRON","TOWN OF BEAR LAKE","5500505650",42,"5500505650","55005","05650","BEAR LAKE","T","BEAR LAKE - T","BEAR LAKE - T","03008","03008","03008","005030","05650",NA,"2019/01/30",47337.6103889625,91012731.9395045,1.97941911596751,145,315,659,648,0,1,"BEAR LAKE","BEAR LAKE",46.031746031746,2118.92164273117,1.66919575113809,0,3008,"BARRON COUNTY",170,432,0,0,0,16,16,0,253,418,0,0,0,10,9,0,0,1,60.5263157894737,39.3518518518519,-21.1744639376218,0,0,0,9.41176470588235,3.55731225296443,5.85445245291793,91.0127319393768,1.97972412635062,-32.8063241106719,1,0,0,NA
