"vre602","cd","ss","sh","cc","ed","mu","ext","address","white_a","white_i","black_a","black_i","hispanic_a","hispanic_i","asian_a","asian_i","other_a","other_i","total_a","total_i"
"03G",5,39,56,4,2,"03",826,"Simpson Street Church Of Christ 800 Joseph E. Boone Blvd Nw
Split (03G, 03L)",31,2,813,23,10,0,5,0,105,2,964,27
"03H",5,38,55,4,2,"03",829,"Grove Park Recreation Center 750 Francis Pl Nw
Split (03B, 03H, 09I)",31,2,845,50,6,0,3,0,152,6,1037,58
"03I",5,39,56,4,2,"03",826,"Antioch Baptist Ch Family Cntr
540 Cameron M Alexander Blvd Nw
Split (03I, 03P1A, 03P2, 04F)",669,64,258,31,81,7,260,9,187,26,1455,137
"03L",5,39,56,4,2,"03",826,"Simpson Street Church Of Christ 800 Joseph E. Boone Blvd Nw
Split (03G, 03L)",25,0,584,26,5,0,0,0,101,5,715,31
"03M",5,38,55,4,2,"03",829,"M28 Church
1150 Niles Avenue",380,35,249,12,15,2,17,1,122,6,783,56
"03N",5,39,56,4,2,"03",826,"Lindsay Street Baptist Church 550 Lindsay St",232,20,1997,113,40,3,20,1,373,31,2662,168
"03P1A",5,39,56,3,2,"03",828,"Antioch Baptist Ch Family Cntr
540 Cameron M Alexander Blvd Nw
Split (03I, 03P1A, 03P2, 04F)",1624,239,1215,125,180,19,282,39,725,135,4026,557
"03P2",5,36,56,4,2,"03",830,"Antioch Baptist Ch Family Cntr
540 Cameron M Alexander Blvd Nw
Split (03I, 03P1A, 03P2, 04F)",1,0,17,0,0,0,0,0,3,0,21,0
"03S",5,38,55,4,2,"03",829,"Berean Seventh Day Advent. Church 291 Hamilton E Holmes Dr
Split (03S, 10F)",30,3,708,16,7,0,1,0,97,7,843,26
"03T",5,36,56,4,2,"03",830,"Central United Methodist Ch 501 Mitchell St
Split (03T, 04J)",108,10,1229,93,17,2,12,0,240,25,1606,130
"04A",5,39,56,4,2,"04",831,"Washington Park Library 1116 M L King Jr Dr Sw
Split (03D, 04A)",73,1,1162,48,10,0,3,0,191,4,1439,53
"04B",5,36,57,4,2,"04",832,"Flipper Temple AME Church
580 Atlanta Student Movement Blvd",122,11,2390,75,20,1,10,0,269,18,2811,105
"04C",5,39,56,4,2,"04",831,"C. A. Scott Recreation Bldg 1565 M L King Jr Dr Sw
Split (04C, 04D)",0,1,128,4,0,0,0,0,17,0,145,5
"04D",5,39,56,4,2,"04",831,"C. A. Scott Recreation Bldg 1565 M L King Jr Dr Sw
Split (04C, 04D)",106,4,1337,48,14,0,5,1,195,12,1657,65
"04F",5,36,56,4,2,"04",833,"Antioch Baptist Ch Family Cntr
540 Cameron M Alexander Blvd Nw
Split (03I, 03P1A, 03P2, 04F)",460,39,1507,106,59,2,86,6,356,26,2468,179
"04G",5,36,57,4,2,"04",832,"James Orange Park 1305 Oakland Ln
Split (04G, 04M)",52,3,761,33,11,0,3,0,123,6,950,42
"04I",5,36,57,4,2,"04",832,"Paul L. Dunbar School 500 Whitehall Terrace Sw
Split (04I, 04V)",865,35,2749,106,67,4,53,2,713,28,4447,175
"04J",5,36,56,4,2,"04",833,"Central United Methodist Ch 501 Mitchell St
Split (03T, 04J)",20,2,1397,100,18,0,3,0,132,7,1570,109
"04K",5,36,57,4,2,"04",832,"West Hunter Street Baptist Church 1040 Ralph David Abernathy Blvd Sw
Split (04K, 04L)",184,21,1973,81,24,3,11,1,347,14,2539,120
"04L",5,39,56,4,2,"04",831,"West Hunter Street Baptist Church 1040 Ralph David Abernathy Blvd Sw
Split (04K, 04L)",218,11,1326,65,24,1,22,2,288,14,1878,93
"04M",5,36,58,4,2,"04",834,"James Orange Park 1305 Oakland Ln
Split (04G, 04M)",55,4,731,28,3,1,3,0,124,7,916,40
"04S",5,36,57,4,2,"04",832,"St Peters Bapt Church Rec Bldg 1558 Venetian Dr",97,2,1964,52,20,0,6,0,339,5,2426,59
"04T",5,36,57,4,2,"04",832,"W Oakland Missionary Bapt Ch 1025 Violet St",71,4,941,30,14,0,5,1,164,7,1195,42
"04V",5,36,57,5,2,"04",508,"Paul L. Dunbar School 500 Whitehall Terrace Sw
Split (04I, 04V)",122,10,2782,115,22,1,10,0,475,28,3411,154
"04W",5,36,57,4,2,"04",832,"Morehouse College-Archer Hall
876 Atlanta Student Movement Blvd",19,2,3181,115,31,1,14,0,174,12,3419,130
"04X1",5,39,57,4,2,"04",835,"Tuskegee Airmen Academy 1626 Westhaven Dr SW
Split (04X1, 04X2)",151,4,1617,59,23,0,6,0,298,15,2095,78
"04X2",5,39,56,4,2,"04",831,"Tuskegee Airmen Academy 1626 Westhaven Dr SW
Split (04X1, 04X2)",69,6,605,34,8,0,3,1,120,9,805,50
"05A1",5,36,58,5,3,"05",956,"Lang-Carson Recreation Center 100 Flat Shoals Ave
Split (05A1, 05A2)",1642,176,416,29,79,9,45,6,417,53,2599,273
"05A2",5,36,59,5,3,"05",836,"Lang-Carson Recreation Center 100 Flat Shoals Ave
Split (05A1, 05A2)",1553,147,827,57,89,5,87,9,490,53,3046,271
"05B",5,36,58,4,3,"05",837,"Liberty Baptist Church 395 Chamberlain St Se
Split (01H, 02B, 02L2, 05B, 05C, 05D)",381,35,1306,64,53,1,36,5,296,24,2072,129
"05C",5,36,58,4,3,"05",837,"Liberty Baptist Church 395 Chamberlain St Se
Split (01H, 02B, 02L2, 05B, 05C, 05D)",24,2,113,1,4,0,2,0,18,0,161,3
"05D",5,36,57,4,3,"05",838,"Liberty Baptist Church 395 Chamberlain St Se
Split (01H, 02B, 02L2, 05B, 05C, 05D)",70,3,376,9,7,0,9,0,53,6,515,18
"05F",5,36,58,4,3,"05",837,"Central Park Recreation Center 400 Merritts Ave NE
Split (02C, 02F1, 02F2, 05F)",75,9,99,14,8,2,5,1,40,3,227,29
"05J",5,36,58,4,3,"05",837,"Butler Street Baptist Church 315 Ralph Mcgill Blvd
Split (02D, 05J, 06F)",262,28,224,12,19,3,30,2,100,7,635,52
"05K",5,36,58,4,3,"05",837,"Helene S. Mills Senior Center 515 John Wesley Dobbs Ave NE
Split (02G, 02S, 05K)",698,82,1545,67,110,6,87,5,414,37,2854,197
"06B",5,36,58,4,3,"06",839,"Inman Middle School 774 Virginia Ave
Split (06B, 06J)",1363,159,70,9,41,6,59,6,235,48,1768,228
"06D",5,36,57,3,3,"06",840,"Morningside Baptist Church Gym 1700 Piedmont Road
Split (06D, 06E)",5856,481,1229,105,316,14,296,33,1287,156,8984,789
"06E",5,39,56,3,3,"06",841,"Morningside Baptist Church Gym 1700 Piedmont Road
Split (06D, 06E)",1450,155,321,25,77,9,71,14,344,42,2263,245
"06F",5,36,58,5,3,"06",961,"Butler Street Baptist Church 315 Ralph Mcgill Blvd
Split (02D, 05J, 06F)",1888,215,290,21,55,8,49,5,371,53,2653,302
"06G",5,36,58,4,3,"06",839,"Park Tavern 500 10th St NE
Split (02A, 02J, 02K, 02L1, 06G)",341,25,107,9,12,1,10,2,89,17,559,54
"06I",5,39,54,3,3,"06",843,"Peachtree Hills Recreation 308 Peachtree Hills Ave Ne
Split (06I, 07E, 07J, 07N)",1378,240,1296,118,193,26,199,31,599,94,3665,509
"06J",5,36,57,3,3,"06",840,"Inman Middle School 774 Virginia Ave
Split (06B, 06J)",1991,165,82,2,67,4,67,17,376,46,2583,234
"06L1",5,39,56,3,3,"06",841,"Peachtree Christian Church 1580 Peachtree Street Nw
Split (02W, 03F, 06L1, 06L2)",686,52,79,3,11,0,10,2,109,16,895,73
"06L2",5,39,55,3,3,"06",844,"Peachtree Christian Church 1580 Peachtree Street Nw
Split (02W, 03F, 06L1, 06L2)",511,26,52,4,15,1,12,0,95,7,685,38
"06N",5,39,55,3,3,"06",844,"2nd Ponce De Leon Bapt Church
2715 Peachtree Rd Ne - Fam Life Center
Split (06N, 06Q, 07H)",998,77,382,72,37,4,33,0,265,37,1715,190
"06Q",5,39,54,3,3,"06",843,"2nd Ponce De Leon Bapt Church
2715 Peachtree Rd Ne - Fam Life Center
Split (06N, 06Q, 07H)",179,30,224,27,20,0,8,4,93,19,524,80
"06R",5,39,56,3,3,"06",841,"First Presbyterian Church 1328 Peachtree Street",1224,105,325,17,38,5,39,4,267,28,1893,159
"07A",11,6,54,3,4,"07",846,"Sarah Rawson Smith Elem School 370 Old Ivy Rd Ne",4380,377,1034,62,215,20,326,31,1146,158,7101,648
"07B",11,6,54,3,4,"07",846,"St James Methodist Ch
4400 Peachtree Dunwoody Rd
Split (07B, 07C)",2363,94,63,2,32,1,57,2,293,25,2808,124
"07C",5,6,54,3,4,"07",847,"St James Methodist Ch
4400 Peachtree Dunwoody Rd
Split (07B, 07C)",2801,225,526,30,129,14,133,14,613,71,4202,354
"07D",5,6,54,3,4,"07",847,"Ptree Presbyterian Church 3434 Roswell Rd
Split (07D, 08M)",2863,327,633,58,166,17,133,14,658,94,4453,510
"07E",5,39,54,3,4,"07",848,"Peachtree Hills Recreation 308 Peachtree Hills Ave Ne
Split (06I, 07E, 07J, 07N)",1212,115,381,32,79,2,96,6,331,35,2099,190
"07F",5,39,54,3,4,"07",848,"Cathedral Of Saint Philip 2744 Peachtree Rd Nw
Split (07F, 07M, 08G, 08L)",2390,208,312,12,105,3,96,4,494,43,3397,270
"07H",5,39,54,3,4,"07",848,"2nd Ponce De Leon Bapt Church
2715 Peachtree Rd Ne - Fam Life Center
Split (06N, 06Q, 07H)",1511,92,116,15,48,3,33,1,270,29,1978,140
"07J",5,39,55,3,4,"07",849,"Peachtree Hills Recreation 308 Peachtree Hills Ave Ne
Split (06I, 07E, 07J, 07N)",1848,206,349,22,75,8,63,3,401,64,2736,303
"07M",5,39,54,3,4,"07",848,"Cathedral Of Saint Philip 2744 Peachtree Rd Nw
Split (07F, 07M, 08G, 08L)",1178,135,452,29,96,8,116,10,388,65,2230,247
"07N",5,39,54,3,4,"07",848,"Peachtree Hills Recreation 308 Peachtree Hills Ave Ne
Split (06I, 07E, 07J, 07N)",696,95,707,64,108,8,135,18,361,42,2007,227
"08A",11,6,40,3,4,"08",851,"Jackson, Warren T School 1325 Mt Paran Rd",1927,169,392,35,63,3,92,9,433,50,2907,266
"08B",11,6,52,3,4,"08",852,"Chastain Park Gymnasium 140 W Wieuca Rd
Split (08B, 08C)",2591,157,157,9,62,8,88,6,365,44,3263,224
"08C",11,6,52,3,4,"08",852,"Chastain Park Gymnasium 140 W Wieuca Rd
Split (08B, 08C)",1168,52,27,1,24,7,28,3,161,15,1408,78
"08D",11,6,52,3,4,"08",852,"Brandon, Morris School 2741 Howell Mill Rd Nw
Split (08D, 08F1, 08N1, 08N2)",877,36,11,0,10,0,20,2,117,10,1035,48
"08E",11,6,53,3,4,"08",853,"Morris Brandon Primary Ctr. School 2845 Margaret Mitchell Dr
Split (08E, 09F)",1994,96,86,6,30,1,80,7,276,18,2466,128
"08F1",5,6,54,3,4,"08",854,"Brandon, Morris School 2741 Howell Mill Rd Nw
Split (08D, 08F1, 08N1, 08N2)",1792,64,35,3,34,0,28,2,209,16,2098,85
"08G",5,39,54,3,4,"08",850,"Cathedral Of Saint Philip 2744 Peachtree Rd Nw
Split (07F, 07M, 08G, 08L)",1715,155,594,31,71,5,72,7,475,56,2927,254
"08H",5,39,54,3,4,"08",850,"Sutton Middle School 2875 Northside Dr
Split (08H, 08J)",2033,111,109,7,33,4,31,1,301,32,2507,155
"08J",5,38,54,3,4,"08",855,"Sutton Middle School 2875 Northside Dr
Split (08H, 08J)",2204,153,390,34,74,9,52,6,433,39,3153,241
"08K",5,38,55,3,4,"08",856,"Grant, Bitsy Tennis Center 2125 Northside Dr",700,81,114,7,28,5,18,0,135,27,995,120
"08L",5,38,55,3,4,"08",856,"Cathedral Of Saint Philip 2744 Peachtree Rd Nw
Split (07F, 07M, 08G, 08L)",2761,297,636,49,114,16,106,13,641,92,4258,467
"08M",5,6,54,3,4,"08",854,"Ptree Presbyterian Church 3434 Roswell Rd
Split (07D, 08M)",1644,85,96,11,38,3,27,1,241,30,2046,130
"08N1",11,6,52,3,4,"08",852,"Brandon, Morris School 2741 Howell Mill Rd Nw
Split (08D, 08F1, 08N1, 08N2)",634,22,32,0,8,0,16,1,110,6,800,29
"08N2",11,6,54,3,4,"08",857,"Brandon, Morris School 2741 Howell Mill Rd Nw
Split (08D, 08F1, 08N1, 08N2)",983,53,227,14,33,4,63,6,216,23,1522,100
"08P",5,38,55,3,4,"08",856,"The Fairmont
1429 Fairmont Ave NW
Split (08P, 09G, 09H)",779,76,600,57,73,6,47,4,254,32,1753,175
"09A",5,38,53,4,5,"09",858,"Northwest Library at Scotts Crossing 2489 Perry Blvd Nw
Split (09A, 09K, 09M)",1649,148,1144,86,192,11,90,4,518,53,3593,302
"09B",5,38,53,4,5,"09",858,"Coretta Scott King Young Women's Academy 1190 Northwest Dr NW",15,0,382,13,3,0,0,0,49,3,449,16
"09C",5,38,53,4,5,"09",858,"Jackson Memorial Baptist Church 534 Fairburn Rd
Split (09C, 10E)",79,1,2679,97,9,1,8,0,424,9,3199,108
"09D",5,38,53,4,5,"09",858,"Salem Baptist Church 2283 Baker Road",55,2,1807,52,15,1,2,0,264,19,2143,74
"09E",5,38,53,4,5,"09",858,"Dogwood Senior Center
1953 Donald L. Hollowell Pkwy Nw",391,33,2159,109,44,4,47,1,434,32,3075,179
"09F",5,6,53,4,5,"09",859,"Morris Brandon Primary Ctr. School 2845 Margaret Mitchell Dr
Split (08E, 09F)",2530,205,521,52,94,10,88,9,509,71,3742,347
"09G",5,38,55,4,5,"09",970,"The Fairmont
1429 Fairmont Ave NW
Split (08P, 09G, 09H)",2028,246,835,78,133,13,132,14,532,82,3660,433
"09H",5,38,55,3,5,"09",861,"The Fairmont
1429 Fairmont Ave NW
Split (08P, 09G, 09H)",477,56,402,31,51,5,31,4,184,16,1145,112
"09I",5,38,55,4,5,"09",970,"Grove Park Recreation Center 750 Francis Pl Nw
Split (03B, 03H, 09I)",90,4,1031,50,11,1,2,0,175,12,1309,67
"09K",5,38,53,4,5,"09",858,"Northwest Library at Scotts Crossing 2489 Perry Blvd Nw
Split (09A, 09K, 09M)",218,14,4232,172,52,4,13,4,662,33,5177,227
"09M",5,38,53,4,5,"09",858,"Northwest Library at Scotts Crossing 2489 Perry Blvd Nw
Split (09A, 09K, 09M)",1108,77,768,43,74,7,46,5,390,37,2386,169
"10A",5,38,61,6,5,"10",864,"The Kindezi School - West 286 Wilson Mill Road",39,2,2611,45,16,0,4,0,376,5,3046,52
"10B",5,38,55,6,5,"10",865,"West Manor Park 3240 West Manor Cir
Split (10B, 10I)",67,4,3164,120,11,2,10,0,460,25,3712,151
"10C",5,38,61,6,5,"10",864,"C.T. Martin Natatorium & Recreation Center 3201 M L King Jr Dr SW
Split (10C, 10D)",39,1,2228,106,7,2,1,0,288,18,2563,127
"10D",5,38,53,4,5,"10",866,"C.T. Martin Natatorium & Recreation Center 3201 M L King Jr Dr SW
Split (10C, 10D)",73,5,4057,114,43,2,5,0,551,20,4729,141
"10E",5,38,53,4,5,"10",866,"Jackson Memorial Baptist Church 534 Fairburn Rd
Split (09C, 10E)",32,1,845,23,5,0,2,0,138,1,1022,25
"10F",5,38,53,4,5,"10",866,"Berean Seventh Day Advent. Church 291 Hamilton E Holmes Dr
Split (03S, 10F)",19,1,964,22,8,0,2,0,133,7,1126,30
"10G",5,38,56,6,5,"10",867,"St Paul's Episcopal Church 306 Peyton Rd
Split (10G, 10H1, 10H2)",28,3,1069,23,4,0,2,0,152,4,1255,30
"10H1",5,38,53,6,5,"10",873,"St Paul's Episcopal Church 306 Peyton Rd
Split (10G, 10H1, 10H2)",6,4,357,12,7,0,0,0,48,4,418,20
"10H2",5,38,55,6,5,"10",865,"St Paul's Episcopal Church 306 Peyton Rd
Split (10G, 10H1, 10H2)",44,1,2112,81,28,0,8,0,294,13,2486,95
"10I",5,38,57,6,5,"10",868,"West Manor Park 3240 West Manor Cir
Split (10B, 10I)",5,0,271,9,4,0,0,0,42,2,322,11
"10J",5,38,56,4,5,"10",869,"Westside Community Church 2114 Martin Luther King Jr Dr",31,2,944,32,12,1,1,0,179,6,1167,41
"10K",5,39,57,4,5,"10",870,"Beecher Hills Elementary School 2257 Bollingbrook Dr SW
Split (10K, 11H)",82,2,1212,41,15,0,6,0,199,10,1514,53
"10M",5,39,57,4,5,"10",870,"Mcghee, Joseph Tennis Center 820 Beecher Ct",288,22,2031,72,16,4,11,1,376,13,2722,112
"10P",5,38,53,4,5,"10",866,"Collier Park Recreation Center 3691 Collier Dr NW",28,3,1297,36,7,1,6,0,182,4,1520,44
"10R",5,38,53,6,5,"10",873,"Concord Baptist Church 3270 Boulder Park Dr SW",12,0,711,18,8,0,2,0,91,1,824,19
"11B",5,38,55,5,6,"11",520,"Ralph Bunche Middle School 1925 Niskey Lake Rd Sw",83,1,4380,175,22,0,9,0,588,33,5082,209
"11C",5,38,55,6,6,"11",874,"Fickett School 3935 Rux Rd",50,3,2572,77,10,2,7,0,363,22,3002,104
"11E1",5,38,61,5,6,"11",962,"William Walker Recreation Center 2405 Fairburn Rd Sw
Split (11E1, 11E2, 11E3, 11P)",18,0,1092,50,9,0,1,0,143,14,1263,64
"11E2",5,39,55,5,6,"11",877,"William Walker Recreation Center 2405 Fairburn Rd Sw
Split (11E1, 11E2, 11E3, 11P)",22,2,785,20,7,0,2,0,99,5,915,27
"11E3",5,39,61,5,6,"11",875,"William Walker Recreation Center 2405 Fairburn Rd Sw
Split (11E1, 11E2, 11E3, 11P)",73,12,2772,164,53,3,24,2,486,25,3408,206
"11G",5,39,58,5,6,"11",529,"Adams Park Library
2231 Campbellton Rd SW
Split (11G, 12I, 12L)",74,4,2062,97,16,0,3,0,258,31,2413,132
"11H",5,39,57,4,6,"11",878,"Beecher Hills Elementary School 2257 Bollingbrook Dr SW
Split (10K, 11H)",24,1,580,16,9,0,1,0,102,4,716,21
"11J",5,39,60,5,6,"11",974,"Continental Colony Elementary School 3181 Hogan Rd",36,0,1727,58,8,1,3,1,227,6,2001,66
"11K",5,39,58,4,6,"11",880,"Cascade Elementary School 2326 Venetian Dr Sw",95,4,1587,37,6,0,2,0,248,12,1938,53
"11M",5,39,55,4,6,"11",881,"Therrell, D.M. High School 3099 Panther Trail Sw
Split (11M, 11N, 11R)",66,6,2812,114,22,2,8,0,415,16,3323,138
"11N",5,39,55,5,6,"11",877,"Therrell, D.M. High School 3099 Panther Trail Sw
Split (11M, 11N, 11R)",28,1,1985,52,7,0,4,0,289,12,2313,65
"11P",5,39,55,5,6,"11",877,"William Walker Recreation Center 2405 Fairburn Rd Sw
Split (11E1, 11E2, 11E3, 11P)",39,2,1708,77,10,0,1,0,255,17,2013,96
"11R",5,39,58,4,6,"11",880,"Therrell, D.M. High School 3099 Panther Trail Sw
Split (11M, 11N, 11R)",41,0,1703,86,7,1,3,0,248,9,2002,96
"12A",5,36,58,5,6,"12",531,"Metropolitan Library
1332 Metropolitan Pkway Sw",813,47,3615,165,72,2,39,0,721,59,5260,273
"12D",5,36,60,5,6,"12",885,"Perkerson Park Rec Center 770 Deckner Ave
Split (12D, 12G)",65,4,1086,72,12,2,3,0,183,16,1349,94
"12E1",5,36,59,5,6,"12",882,"Cleveland Avenue School 2672 Old Hapeville Rd
Split (12E1, 12H1, 12H2, 12J)",100,4,1371,78,36,1,19,0,218,14,1744,97
"12F",5,36,59,5,6,"12",882,"Dobbs Elementary School 2025 Jonesboro Rd Se
Split (01C, 01S, 12F)",75,4,884,25,27,0,6,0,164,9,1156,38
"12G",5,36,59,5,6,"12",882,"Perkerson Park Rec Center 770 Deckner Ave
Split (12D, 12G)",41,5,671,28,12,0,5,0,115,5,844,38
"12H1",5,36,59,5,6,"12",882,"Cleveland Avenue School 2672 Old Hapeville Rd
Split (12E1, 12H1, 12H2, 12J)",55,3,905,56,16,0,8,2,118,9,1102,70
"12H2",5,36,60,5,6,"12",885,"Cleveland Avenue School 2672 Old Hapeville Rd
Split (12E1, 12H1, 12H2, 12J)",78,1,2401,102,22,1,3,0,361,13,2865,117
"12I",5,39,58,5,6,"12",886,"Adams Park Library
2231 Campbellton Rd SW
Split (11G, 12I, 12L)",15,1,872,44,4,0,2,0,122,9,1015,54
"12J",5,36,60,5,6,"12",885,"Cleveland Avenue School 2672 Old Hapeville Rd
Split (12E1, 12H1, 12H2, 12J)",68,3,2417,127,20,0,8,1,349,20,2862,151
"12K",5,36,57,5,6,"12",887,"Pittman Park Rec Center 950 Garibaldi St
Split (12K, 12N)",420,40,2398,121,47,5,33,2,488,30,3386,198
"12L",5,36,58,5,6,"12",531,"Adams Park Library
2231 Campbellton Rd SW
Split (11G, 12I, 12L)",21,3,601,39,4,0,0,0,93,3,719,45
"12M",5,36,60,5,6,"12",885,"South Atlanta High School 800 Hutchens Rd",75,7,2365,96,25,0,4,0,327,12,2796,115
"12N",5,36,58,5,6,"12",531,"Pittman Park Rec Center 950 Garibaldi St
Split (12K, 12N)",58,3,838,30,11,1,3,0,127,7,1037,41
"12S",5,36,58,5,6,"12",531,"Louise Watley Library at Southeast Atlanta 1463 Pryor Road Sw
Split (01J, 12S)",68,7,1569,129,15,0,7,1,257,30,1916,167
"AP01A",6,56,49,1,2,"LRG",745,"New Prospect Elementary 3055 Kimball Bridge Rd
Split (AP01A, AP01B)",2903,213,418,47,115,11,660,31,856,52,4952,354
"AP01B",6,56,49,1,1,"LRG",730,"New Prospect Elementary 3055 Kimball Bridge Rd
Split (AP01A, AP01B)",663,74,163,26,48,4,60,11,168,33,1102,148
"AP01C",6,56,49,1,5,"LRG",731,"Haynes Bridge Middle School 10665 Haynes Bridge Rd
Split (AP01C, AP01D)",1441,92,198,11,107,2,172,5,336,32,2254,142
"AP01D",6,56,49,1,7,"LRG",732,"Haynes Bridge Middle School 10665 Haynes Bridge Rd
Split (AP01C, AP01D)",551,73,165,24,36,8,35,5,140,34,927,144
"AP021",6,56,49,2,2,"LRG",734,"Wills Recreation Center 11925 Wills Rd
Split (AP021, AP022, AP02B)",2156,112,381,32,76,4,141,7,464,30,3218,185
